Date,Open,High,Low,Close,Volume
20160104,34.410,34.750,33.680,34.680,631147.000
20160105,34.700,35.070,34.520,34.750,354464.000
20160106,34.320,35.060,34.160,34.970,1035994.000
20160107,34.520,34.580,33.901,33.960,772226.000
20160108,34.150,35.145,33.910,34.870,826874.000
20160111,35.350,36.170,34.870,34.880,1184401.000
20160112,35.120,35.740,32.770,33.780,1048091.000
20160113,33.870,34.303,32.800,32.845,791661.000
20160114,33.040,33.520,32.800,33.170,656870.000
20160115,32.300,33.990,32.270,33.840,1097658.000
20160119,34.070,34.620,33.390,33.920,782682.000
20160120,33.460,35.260,32.710,35.000,1050519.000
20160121,34.970,35.290,33.931,34.160,692089.000
20160122,34.520,34.960,33.820,34.450,391471.000
20160125,34.220,34.740,33.960,34.040,347453.000
20160126,34.120,34.960,33.820,34.910,245320.000
20160127,34.830,35.470,34.420,34.960,539562.000
20160128,35.220,35.540,33.840,34.330,462574.000
20160129,34.380,35.800,34.380,35.800,498216.000
20160201,35.460,36.470,35.350,36.250,452320.000
20160202,35.930,36.110,35.390,35.890,371621.000
20160203,36.100,36.190,34.790,35.780,446681.000
20160204,35.530,36.580,35.370,36.360,418343.000
20160205,36.270,36.300,35.325,35.530,949943.000
20160208,35.060,35.310,33.510,33.990,668865.000
20160209,33.500,34.420,32.780,32.940,757435.000
20160210,33.230,34.080,32.970,33.130,795605.000
20160211,32.430,32.900,31.420,31.490,1218982.000
20160212,31.830,32.110,30.610,31.040,1158394.000
20160216,30.720,31.040,30.260,30.900,1171563.000
20160217,31.170,31.770,30.970,31.320,2267511.000
20160218,31.430,31.680,31.120,31.420,803035.000
20160219,31.390,31.390,30.850,31.310,814707.000
20160222,31.550,32.570,31.550,32.440,935237.000
20160223,32.300,33.190,32.090,32.840,750437.000
20160224,33.770,35.580,32.750,35.430,1809704.000
20160225,35.500,35.850,34.680,34.980,1258745.000
20160226,34.850,35.450,34.850,34.990,800961.000
20160229,34.940,35.520,34.860,35.220,719440.000
20160301,35.260,36.090,35.000,35.690,636707.000
20160302,35.610,36.150,35.370,35.890,444010.000
20160303,35.820,36.400,35.480,35.670,756776.000
20160304,35.730,35.940,35.030,35.240,721708.000
20160307,35.120,35.940,34.780,35.900,716563.000
20160308,35.810,35.980,35.440,35.460,546745.000
20160309,35.570,36.340,35.300,36.070,564479.000
20160310,36.170,36.310,35.110,35.380,613375.000
20160311,35.610,36.670,35.410,36.570,588417.000
20160314,36.430,36.770,35.920,36.300,306453.000
20160315,36.160,36.380,35.205,35.230,505749.000
20160316,35.210,35.710,34.900,35.290,514418.000
20160317,35.280,35.390,34.340,35.120,392647.000
20160318,35.280,36.230,35.120,36.130,573959.000
20160321,36.090,36.250,35.380,35.730,403744.000
20160322,35.550,36.050,35.220,35.910,340445.000
20160323,35.890,36.360,35.570,35.910,399591.000
20160324,35.670,35.900,35.060,35.390,786778.000
