Date,Open,High,Low,Close,Volume
20160104,21.130,21.200,20.581,21.010,6889980.400
20160105,21.030,21.279,20.851,21.020,4343864.169
20160106,20.661,20.721,19.774,19.934,14160637.667
20160107,19.555,19.764,19.076,19.186,19421410.868
20160108,19.415,19.734,19.067,19.087,6606616.506
20160111,19.196,19.575,18.937,19.176,7822728.551
20160112,19.366,19.600,19.156,19.505,6856256.322
20160113,19.425,19.525,18.429,18.479,9292435.614
20160114,18.010,18.369,17.547,18.329,11273149.758
20160115,17.751,17.841,17.263,17.681,11266738.239
20160119,17.861,17.930,16.884,17.243,7014118.123
20160120,16.964,17.990,16.101,17.671,16641255.430
20160121,17.671,18.578,17.651,18.289,15095934.260
20160122,18.598,18.807,17.935,18.219,6695059.660
20160125,18.200,18.289,17.233,17.362,8231308.778
20160126,17.532,18.469,17.422,18.419,8738435.844
20160127,18.269,18.439,17.736,17.870,7113959.035
20160128,18.100,18.110,17.063,17.123,9308191.112
20160129,17.213,17.751,17.113,17.731,7645007.883
20160201,17.711,17.995,17.462,17.900,5699338.410
20160202,17.801,17.801,17.033,17.223,6840445.752
20160203,17.332,17.452,16.535,17.332,6135031.509
20160204,17.183,18.090,17.143,18.030,7001765.294
20160205,17.970,18.050,17.392,17.552,6753847.628
20160208,17.342,17.572,17.023,17.422,10197950.668
20160209,17.342,18.169,17.342,17.581,6563932.760
20160210,17.671,18.284,17.656,18.010,6432042.016
20160211,17.621,17.920,17.472,17.801,6821688.415
20160212,18.040,18.578,17.935,18.488,7050850.742
20160216,18.777,19.057,18.399,18.917,7036923.655
20160217,19.037,19.724,19.037,19.615,9389703.878
20160218,19.615,19.904,18.977,19.545,7924281.832
20160219,19.445,19.884,19.027,19.804,10188253.983
20160222,20.093,20.422,19.515,19.834,6577256.451
20160223,19.784,20.238,19.714,19.814,5713786.136
20160224,19.635,19.874,19.166,19.824,6878352.629
20160225,19.864,20.213,19.600,20.143,5152967.627
20160226,21.180,21.369,20.183,20.646,12157818.193
20160229,20.631,20.741,20.073,20.711,10076825.531
20160301,20.910,21.080,20.562,20.881,5552814.152
20160302,20.890,21.329,20.881,21.309,6333655.910
20160303,21.279,21.588,21.170,21.518,4300249.127
20160304,21.608,21.822,21.399,21.807,5424590.629
20160307,21.708,21.867,21.439,21.488,5078280.281
20160308,21.309,21.359,20.851,20.861,5612923.120
20160309,20.990,21.030,20.452,20.711,4676754.547
20160310,20.841,20.890,20.043,20.452,4307323.975
20160311,20.721,21.189,20.372,21.189,4654234.750
20160314,21.568,21.658,21.209,21.249,7538879.619
20160315,21.080,21.160,20.851,21.040,4120100.058
20160316,20.980,21.300,20.860,21.250,5973859.000
20160317,21.140,21.270,20.750,21.230,4565314.000
20160318,21.380,22.120,21.380,22.010,7985435.000
20160321,22.130,22.600,22.060,22.400,9343033.000
20160322,22.120,22.370,21.970,22.270,7620959.000
20160323,22.270,22.330,21.810,21.930,4680909.000
20160324,21.840,22.070,21.650,22.060,7053990.000
