Date,Open,High,Low,Close,Volume
20160104,44.327,45.170,43.841,45.155,2557449.260
20160105,45.368,46.003,44.604,44.932,2249780.593
20160106,44.267,44.535,42.534,43.037,4573250.467
20160107,42.392,43.541,42.164,42.769,3783959.379
20160108,43.087,43.721,42.749,43.384,4527167.166
20160111,43.077,43.503,41.549,42.541,3778878.007
20160112,43.047,43.285,41.510,42.006,3666267.827
20160113,42.154,42.700,41.371,41.460,4881484.434
20160114,41.410,41.867,40.567,41.609,2283996.921
20160115,40.419,40.567,39.060,40.101,4552956.784
20160119,40.607,40.696,39.694,40.329,2301285.963
20160120,39.665,40.111,38.564,39.585,3396107.489
20160121,39.714,41.034,39.268,40.339,3060125.765
20160122,40.994,41.163,39.794,40.399,2985718.670
20160125,40.548,41.093,39.575,39.774,3058974.157
20160126,39.209,39.298,37.830,38.231,6996168.255
20160127,38.197,38.802,36.878,37.185,8447196.380
20160128,40.220,40.835,36.064,38.603,10638056.980
20160129,38.971,40.032,37.820,39.675,4829628.813
20160201,39.536,40.028,38.792,39.794,3405611.829
20160202,39.447,39.476,38.355,39.189,2685052.275
20160203,39.546,39.843,38.425,39.526,3376292.491
20160204,39.585,41.272,39.556,40.905,4794856.358
20160205,40.865,41.073,40.290,40.647,2690634.987
20160208,39.923,40.359,38.187,38.971,3119932.050
20160209,38.395,38.683,37.542,38.395,2891981.230
20160210,38.713,39.293,38.484,38.663,2120725.355
20160211,37.969,38.286,37.602,37.810,3660397.438
20160212,38.110,38.750,36.970,38.720,3193951.000
20160216,39.320,39.741,39.030,39.690,2276498.000
20160217,40.130,41.650,40.130,41.370,2427363.000
20160218,41.600,41.850,41.190,41.600,1801598.000
20160219,41.430,42.085,41.300,42.000,2376262.000
20160222,42.510,43.290,42.240,42.940,2003619.000
20160223,42.640,42.830,41.940,42.220,1499455.000
20160224,41.780,42.250,40.910,42.140,1603393.000
20160225,42.160,43.320,41.770,43.310,1439337.000
20160226,43.560,43.910,43.290,43.370,1467062.000
20160229,43.330,43.650,42.990,43.160,1509884.000
20160301,43.760,44.180,43.300,44.060,1537426.000
20160302,44.320,45.170,44.190,44.910,2106629.000
20160303,44.970,46.570,44.700,46.500,1963226.000
20160304,46.310,47.140,45.865,46.760,2025977.000
20160307,46.350,47.620,46.300,46.940,2524417.000
20160308,46.720,47.230,46.460,46.850,2360787.000
20160309,47.020,48.000,46.530,47.540,1996754.000
20160310,47.750,47.940,47.020,47.630,1479279.000
20160311,48.010,49.420,47.960,48.940,2250319.000
20160314,48.890,48.970,48.150,48.390,1735984.000
20160315,48.160,48.360,46.970,47.350,2540640.000
20160316,47.320,48.950,47.060,48.580,3031317.000
20160317,48.710,48.960,47.960,48.730,3083375.000
20160318,48.860,49.830,48.800,49.595,2640251.000
20160321,49.320,49.986,49.250,49.755,1606614.000
20160322,49.320,49.750,48.749,49.670,1710426.000
20160323,49.520,49.725,48.290,48.360,1879153.000
20160324,48.040,48.040,47.175,47.870,1761162.000
