Date,Open,High,Low,Close,Volume
20160104,67.765,68.153,66.900,67.427,2020003.723
20160105,67.795,68.006,67.248,67.655,1627876.563
20160106,66.442,66.522,64.373,65.209,2156950.516
20160107,63.876,64.502,62.603,62.812,3866892.076
20160108,62.971,64.632,62.961,63.319,2133409.717
20160111,63.547,64.085,63.060,63.697,2527216.595
20160112,64.214,64.950,63.776,64.502,3427486.984
20160113,64.642,64.711,60.424,60.534,2279255.214
20160114,60.514,61.638,59.310,60.882,3969868.532
20160115,59.092,60.225,58.375,59.480,4045583.792
20160119,59.917,60.525,58.137,58.833,2140781.832
20160120,57.689,60.479,56.565,59.658,4246604.424
20160121,59.678,62.543,59.410,61.469,2439408.492
20160122,62.593,63.498,61.996,62.642,2544997.790
20160125,62.603,62.652,60.066,60.206,2196209.140
20160126,60.484,62.209,60.290,61.946,1793206.883
20160127,61.041,62.692,60.593,61.131,1745432.578
20160128,61.638,62.135,59.639,59.977,2341390.177
20160129,60.255,61.926,60.255,61.926,1249107.698
20160201,61.578,62.931,60.892,62.473,1055994.158
20160202,61.668,61.697,60.106,60.225,1384276.026
20160203,60.544,60.859,58.992,60.569,1682933.674
20160204,60.126,61.817,60.026,61.717,1958010.236
20160205,61.260,61.668,60.255,60.663,1500640.923
20160208,60.096,60.265,58.067,59.748,3091844.460
20160209,59.141,61.538,58.932,60.892,2838296.695
20160210,61.369,62.702,60.892,61.717,1554809.198
20160211,60.574,62.294,60.564,61.777,1968007.054
20160212,62.344,63.796,61.817,63.667,1111702.000
20160216,64.015,65.547,63.876,64.691,2223611.049
20160217,65.398,67.387,65.248,66.472,2767301.757
20160218,65.338,66.084,64.303,65.089,4062378.968
20160219,64.900,66.064,64.353,65.965,2127252.336
20160222,66.571,67.526,66.442,66.900,3065322.418
20160223,66.651,67.049,66.362,66.462,2136703.457
20160224,65.994,67.377,65.328,67.158,1264295.835
20160225,67.248,68.670,66.999,68.600,1426142.541
20160226,69.277,69.436,68.610,68.879,1224173.761
20160229,68.740,69.565,68.521,68.740,1722247.638
20160301,69.098,70.192,69.098,69.824,1847816.863
20160302,69.306,69.953,69.118,69.854,1701751.816
20160303,69.486,70.152,69.227,69.694,1645407.064
20160304,69.525,70.301,69.436,70.182,1610362.793
20160307,70.003,70.709,69.744,70.609,2839042.560
20160308,70.023,70.500,69.257,69.406,3409608.733
20160309,69.794,69.834,69.137,69.585,2903642.493
20160310,69.900,70.280,68.320,69.350,1156210.000
20160311,70.030,70.820,69.880,70.410,2602583.000
20160314,75.910,76.440,74.850,75.960,14817159.000
20160315,76.000,76.530,75.700,76.140,4708993.000
20160316,75.790,76.120,75.600,76.080,3933801.000
20160317,75.860,79.000,75.470,76.400,5221044.000
20160318,79.950,80.690,79.700,80.550,19150030.000
20160321,84.170,84.370,83.460,84.210,12969433.000
20160322,83.310,84.220,82.160,83.830,9374204.000
20160323,83.750,83.880,82.490,82.670,4504978.000
20160324,81.860,82.850,81.590,82.130,3620391.000
