Date,Open,High,Low,Close,Volume
20160104,52.547,53.769,51.847,53.414,1763022.716
20160105,52.991,53.553,52.035,52.813,1706852.855
20160106,51.384,51.502,49.275,49.758,2438775.204
20160107,48.535,49.275,47.569,47.806,2639546.668
20160108,47.747,48.161,46.140,47.096,1762428.919
20160111,47.343,47.510,44.330,45.076,3186802.309
20160112,45.677,46.633,43.755,45.381,3693975.507
20160113,46.022,46.692,44.248,44.287,2779913.319
20160114,44.563,46.574,43.725,45.943,3435292.964
20160115,43.981,44.740,43.035,44.474,3321831.102
20160119,44.701,44.839,41.695,42.542,2958698.974
20160120,42.335,42.877,39.437,42.227,3992280.701
20160121,41.843,45.627,41.695,44.622,3959606.387
20160122,47.343,48.456,45.145,46.352,4367839.268
20160125,44.671,45.953,43.272,43.291,2506048.194
20160126,44.780,45.874,43.415,45.174,2598779.145
20160127,44.662,47.564,44.415,45.440,4464852.860
20160128,45.874,50.172,45.854,48.742,4971040.049
20160129,48.940,50.241,48.102,50.073,3406425.718
20160201,48.811,49.442,47.816,49.196,2657139.540
20160202,47.776,48.111,45.627,45.953,2772659.810
20160203,47.234,48.703,45.243,48.663,2747310.701
20160204,49.156,51.276,49.087,50.586,4727742.560
20160205,48.309,51.009,48.309,49.570,3183928.041
20160208,48.358,49.156,47.490,48.920,2113681.871
20160209,49.836,49.896,46.061,47.352,2415123.000
20160210,47.380,48.090,46.220,46.280,2154948.000
20160211,45.460,46.430,44.300,45.750,2777551.000
20160212,47.050,48.550,46.370,47.400,2031534.000
20160216,48.250,48.750,47.410,48.620,2176972.000
20160217,49.620,53.160,49.510,52.920,3472181.000
20160218,53.110,53.655,50.180,51.890,2998402.000
20160219,50.840,51.590,50.000,51.570,1621888.000
20160222,52.960,54.320,52.800,53.880,2439225.000
20160223,53.480,54.040,50.560,51.090,2074572.000
20160224,49.940,51.500,49.020,51.320,1482550.000
20160225,51.530,51.700,49.650,51.480,1609971.000
20160226,52.720,54.250,52.110,53.130,2488892.000
20160229,53.260,54.290,52.310,52.960,2177389.000
20160301,54.840,55.060,52.660,54.750,2290431.000
20160302,54.100,57.370,53.510,57.360,2219197.000
20160303,57.160,59.270,56.730,58.970,2772741.000
20160304,59.430,63.540,58.350,61.970,4239468.000
20160307,61.000,63.490,61.000,62.940,3286850.000
20160308,62.270,62.390,60.020,60.700,2045784.000
20160309,61.600,63.310,60.530,62.230,2272009.000
20160310,61.820,62.310,59.930,61.970,2435972.000
20160311,61.430,63.720,61.420,63.400,1583117.000
20160314,62.110,62.940,60.580,61.110,2670946.000
20160315,60.250,61.550,58.570,61.540,1961495.000
20160316,62.430,63.110,61.410,62.450,1549729.000
20160317,62.750,63.750,61.440,63.140,2374000.000
20160318,63.520,64.070,60.570,60.840,2380788.000
20160321,60.790,61.390,59.700,60.980,1796426.000
20160322,59.910,61.400,59.400,59.860,1637536.000
20160323,59.590,60.660,57.700,57.820,2333634.000
20160324,56.900,58.190,56.350,58.090,2582451.000
