Date,Open,High,Low,Close,Volume
20160104,14.917,15.096,14.688,15.076,12096788.681
20160105,15.076,15.196,14.887,14.976,8310733.207
20160106,14.568,14.947,14.458,14.727,9178193.029
20160107,14.548,14.548,13.601,13.671,16308195.630
20160108,13.721,13.970,13.263,13.502,13265490.350
20160111,13.382,13.661,13.023,13.213,12990848.760
20160112,13.302,13.372,13.043,13.223,10991465.000
20160113,13.302,13.302,12.485,12.705,14379288.561
20160114,12.705,13.123,12.605,12.944,11298611.400
20160115,12.565,12.754,12.445,12.495,16945865.000
20160119,12.635,12.734,12.156,12.286,9719685.770
20160120,11.957,12.156,11.584,12.007,14842467.290
20160121,11.957,12.495,11.778,12.386,14910655.350
20160122,12.655,13.382,12.605,13.302,13220844.405
20160125,13.243,13.502,13.073,13.302,9194822.431
20160126,13.302,13.676,13.302,13.552,8882116.393
20160127,13.482,13.562,12.909,13.337,14629809.580
20160128,13.502,13.651,13.023,13.143,7656283.320
20160129,13.362,13.831,13.302,13.701,8035138.674
20160201,13.621,13.831,13.482,13.731,7432138.567
20160202,13.651,13.920,13.312,13.412,7643564.329
20160203,13.611,13.721,13.063,13.312,5809698.977
20160204,13.253,13.841,13.253,13.791,4996504.758
20160205,13.591,13.701,12.989,13.163,10852557.050
20160208,12.974,13.004,12.326,12.470,10890533.790
20160209,12.256,12.814,12.256,12.680,5250160.106
20160210,12.725,13.023,12.665,12.814,4475899.264
20160211,12.525,12.625,11.972,12.346,8048192.790
20160212,12.455,12.744,12.137,12.226,7583730.356
20160216,12.366,12.445,12.226,12.276,9572671.990
20160217,12.346,13.088,12.326,12.964,7378875.406
20160218,13.004,13.651,12.974,13.472,10064288.961
20160219,13.452,13.691,13.203,13.611,7885867.276
20160222,13.492,13.831,13.492,13.751,8307784.641
20160223,13.671,13.771,12.794,13.053,12745451.319
20160224,12.954,13.522,12.774,13.442,11163761.048
20160225,13.402,13.661,13.193,13.641,9923840.375
20160226,13.731,13.751,13.103,13.382,8830988.199
20160229,13.263,13.432,13.153,13.233,9168723.331
20160301,13.372,13.422,13.043,13.233,7223644.712
20160302,13.332,14.000,13.302,13.851,9590995.813
20160303,13.860,13.900,13.233,13.542,8403841.997
20160304,14.847,15.784,14.767,15.375,31599377.030
20160307,15.130,15.990,15.040,15.970,17759404.000
20160308,15.770,15.800,15.205,15.230,11478379.000
20160309,15.340,15.840,15.300,15.485,9660503.000
20160310,15.550,16.210,15.520,15.910,13589793.000
20160311,16.000,16.440,16.000,16.340,13765034.000
20160314,16.200,16.570,16.040,16.420,9005733.000
20160315,16.270,16.880,16.250,16.760,12631205.000
20160316,16.710,17.230,16.600,17.195,11796548.000
20160317,17.130,17.330,16.960,17.170,9011967.000
20160318,17.170,17.580,17.080,17.345,17206568.000
20160321,17.330,17.940,17.270,17.710,10253718.000
20160322,17.410,18.080,17.340,17.530,10210076.000
20160323,17.520,17.570,17.090,17.460,10446601.000
20160324,17.410,17.640,17.110,17.580,7612566.000
