Date,Open,High,Low,Close,Volume
20160104,11.491,11.531,11.323,11.471,13946658.780
20160105,11.521,11.649,11.451,11.570,11801062.240
20160106,11.412,11.412,11.076,11.155,15217978.908
20160107,10.927,10.947,10.601,10.650,22282500.430
20160108,10.710,10.799,10.433,10.453,16012426.763
20160111,10.542,10.631,10.383,10.542,16147350.295
20160112,10.611,10.766,10.453,10.710,16108854.165
20160113,10.710,10.804,10.324,10.463,26595892.111
20160114,10.482,10.700,10.423,10.502,26202687.773
20160115,10.047,10.265,9.879,9.998,20964036.480
20160119,10.156,10.176,9.582,9.662,24396150.870
20160120,9.444,9.523,9.137,9.444,26228301.610
20160121,9.503,9.899,9.395,9.830,21684977.230
20160122,10.018,10.126,9.622,9.681,15919514.840
20160125,9.681,9.701,9.345,9.385,13424334.665
20160126,9.434,9.691,9.404,9.543,9144663.199
20160127,9.533,9.780,9.459,9.503,9013730.574
20160128,9.642,9.662,9.315,9.375,12085972.459
20160129,9.474,9.612,9.296,9.592,29708548.752
20160201,9.543,9.899,9.483,9.849,19818002.988
20160202,9.721,9.859,9.612,9.770,20406316.995
20160203,9.731,9.741,9.226,9.553,14422222.797
20160204,9.493,9.825,9.493,9.751,10895597.885
20160205,9.711,10.008,9.652,9.790,14821139.010
20160208,9.711,9.711,9.108,9.266,14849635.273
20160209,9.187,9.315,9.048,9.098,17514716.551
20160210,9.137,9.365,9.088,9.182,11765299.116
20160211,9.039,9.098,8.811,8.910,13523451.201
20160212,8.989,9.335,8.930,9.315,8822221.989
20160216,9.454,9.741,9.345,9.711,10125463.006
20160217,9.741,9.988,9.741,9.968,11159874.460
20160218,10.018,10.552,9.988,10.403,18040333.960
20160219,10.373,10.377,9.938,10.205,11754159.719
20160222,10.314,10.631,10.314,10.552,10059703.620
20160223,10.492,10.512,10.136,10.195,12120401.686
20160224,10.166,10.739,9.988,10.680,20417872.470
20160225,10.057,10.344,9.839,10.235,33942727.440
20160226,10.245,10.868,10.245,10.522,21915633.757
20160229,10.522,10.730,10.482,10.561,11666737.606
20160301,10.720,10.898,10.552,10.799,15743407.781
20160302,10.809,10.937,10.650,10.779,11693659.097
20160303,10.848,11.170,10.828,10.997,14317736.870
20160304,11.026,11.194,10.977,11.046,14508246.010
20160307,10.990,11.400,10.950,11.310,11417659.000
20160308,11.260,11.287,10.960,11.050,11216916.000
20160309,11.090,11.450,11.090,11.355,11112937.000
20160310,11.430,11.560,11.145,11.420,13521732.000
20160311,11.520,11.700,11.450,11.690,11730067.000
20160314,11.630,11.710,11.360,11.460,12718136.000
20160315,11.380,11.450,11.200,11.390,9917795.000
20160316,11.400,11.670,11.350,11.625,11008266.000
20160317,11.620,12.250,11.590,11.730,17004005.000
20160318,11.780,12.220,11.780,12.210,18863533.000
20160321,12.140,12.240,11.980,12.200,11637013.000
20160322,12.090,12.300,12.060,12.255,9379871.000
20160323,12.240,12.280,11.970,12.010,11110839.000
20160324,11.980,12.100,11.715,12.080,10657981.000
