Date,Open,High,Low,Close,Volume
20160104,37.053,37.353,36.821,37.334,2776825.172
20160105,37.237,37.353,36.860,37.257,1635368.001
20160106,35.941,36.115,35.776,35.960,2752669.265
20160107,35.360,35.670,35.109,35.210,2950405.144
20160108,35.651,35.670,34.973,34.973,3359380.889
20160111,35.477,35.496,34.983,35.235,2049158.823
20160112,35.399,35.467,35.109,35.418,2476198.230
20160113,35.409,35.515,34.635,34.790,4248424.600
20160114,34.857,35.380,34.548,35.235,3076501.360
20160115,33.561,33.827,33.251,33.522,5155597.713
20160119,33.764,33.793,33.261,33.503,2900392.096
20160120,32.371,32.584,31.636,32.400,5786162.328
20160121,32.119,32.685,31.820,32.429,3567306.632
20160122,33.483,33.663,33.145,33.416,3113411.101
20160125,32.758,32.835,32.419,32.439,3363935.984
20160126,32.651,33.068,32.497,32.985,3418202.196
20160127,32.574,33.537,32.564,32.903,3863350.642
20160128,33.745,33.764,33.038,33.338,4409600.971
20160129,33.667,34.248,33.522,34.238,2931845.616
20160201,33.280,33.900,33.203,33.812,3160234.275
20160202,32.797,32.806,32.342,32.448,3497888.545
20160203,32.158,32.274,31.336,32.264,5331059.009
20160204,32.003,32.711,32.003,32.569,3735772.434
20160205,32.342,32.564,32.110,32.236,3242731.961
20160208,31.055,31.075,30.475,30.842,6186958.116
20160209,30.097,30.833,30.039,30.610,5335136.533
20160210,30.775,31.287,30.678,30.823,3768829.069
20160211,29.681,30.049,29.401,29.710,5864303.889
20160212,30.436,30.915,30.170,30.881,3911086.640
20160216,30.997,31.316,30.939,31.200,3457632.074
20160217,31.558,31.791,31.462,31.636,2459870.770
20160218,31.481,31.529,31.123,31.229,2645870.150
20160219,30.949,31.268,30.794,31.133,2816528.308
20160222,30.426,30.784,30.426,30.581,3875777.592
20160223,30.668,30.678,30.068,30.088,3322534.209
20160224,29.343,29.856,29.149,29.845,4481528.586
20160225,30.213,30.455,29.991,30.446,3653128.879
20160226,31.384,31.423,31.094,31.147,4077116.073
20160229,30.881,31.104,30.688,30.726,3075483.042
20160301,30.968,31.345,30.852,31.210,4392968.939
20160302,31.930,32.170,31.780,32.030,4290720.000
20160303,32.020,32.160,31.890,32.160,2869331.000
20160304,32.050,32.490,32.040,32.314,3435056.000
20160307,31.700,32.300,31.680,32.180,3033274.000
20160308,32.250,32.280,31.860,31.885,3082772.000
20160309,32.400,32.450,31.980,32.120,2559353.000
20160310,32.270,32.520,31.760,32.075,2297748.000
20160311,32.410,32.740,32.400,32.730,3687933.000
20160314,32.490,32.625,32.370,32.490,1965792.000
20160315,32.220,32.380,32.080,32.345,1978107.000
20160316,32.100,32.640,32.090,32.575,2632626.000
20160317,32.300,32.740,32.260,32.520,3027048.000
20160318,32.810,32.890,32.485,32.620,2011138.000
20160321,32.570,32.680,32.380,32.560,2138420.000
20160322,31.880,32.150,31.800,32.000,2295003.000
20160323,31.810,31.830,31.530,31.600,1871992.000
20160324,31.130,31.260,31.020,31.220,2511937.000
