Date,Open,High,Low,Close,Volume
20160104,15.080,15.270,14.900,15.160,7035371.000
20160105,15.210,15.410,15.030,15.390,8467489.000
20160106,15.160,15.220,14.920,15.060,8226849.000
20160107,14.900,15.070,14.530,14.540,7322118.000
20160108,14.560,14.780,14.490,14.510,5932798.000
20160111,14.470,14.840,14.450,14.740,9136086.000
20160112,14.920,15.000,14.225,14.340,12550515.000
20160113,14.340,14.360,13.380,13.460,13333335.000
20160114,13.530,13.880,13.170,13.770,11065441.000
20160115,13.420,13.450,12.860,13.160,10318722.000
20160119,13.280,13.370,12.800,12.820,10504350.000
20160120,12.630,13.000,12.170,12.830,11880087.000
20160121,12.920,13.890,12.760,13.500,14310141.000
20160122,13.750,14.305,13.575,13.800,17220983.000
20160125,13.810,13.930,13.485,13.570,9010039.000
20160126,13.630,14.120,13.590,13.860,12193687.000
20160127,13.810,14.090,13.400,13.550,7198419.000
20160128,13.730,13.820,13.110,13.180,10507498.000
20160129,13.390,14.080,13.270,13.830,13110803.000
20160201,13.720,13.880,13.550,13.716,6314574.000
20160202,13.530,13.530,13.020,13.240,9045955.000
20160203,13.320,13.680,12.980,13.650,9892811.000
20160204,13.590,14.290,13.530,14.195,13026568.000
20160205,14.120,14.550,13.910,14.145,10481526.000
20160208,14.040,14.050,13.410,13.760,12127802.000
20160209,13.560,14.340,13.560,13.840,10794904.000
20160210,13.900,14.540,13.840,14.080,8066822.000
20160211,13.830,14.040,13.665,13.870,9410993.000
20160212,14.070,14.480,13.980,14.420,9229296.000
20160216,14.610,14.885,14.530,14.830,12559481.000
20160217,15.620,16.000,14.600,14.970,19611777.000
20160218,15.040,15.515,14.890,15.310,8918148.000
20160219,15.170,15.270,14.890,15.070,7655252.000
20160222,15.230,15.590,15.140,15.310,8164998.000
20160223,15.230,15.460,14.930,14.960,7117731.000
20160224,14.860,15.120,14.635,15.050,7269786.000
20160225,15.140,15.510,14.990,15.510,6650121.000
20160226,15.590,15.740,15.335,15.400,8140785.000
20160229,15.420,15.540,15.240,15.315,7042504.000
20160301,15.480,15.880,15.460,15.845,8804126.000
20160302,15.820,16.000,15.780,15.940,7628085.000
20160303,15.990,16.230,15.930,16.120,10418098.000
20160304,16.180,16.580,16.080,16.480,6969818.000
20160307,16.390,16.850,16.310,16.840,9205612.000
20160308,16.730,16.850,16.220,16.265,10057256.000
20160309,16.320,16.370,15.990,16.180,9340805.000
20160310,16.320,16.500,15.730,16.060,9668637.000
20160311,16.290,16.670,16.170,16.640,7995196.000
20160314,16.800,17.170,16.645,16.860,15517833.000
20160315,16.650,16.730,16.370,16.560,6432862.000
20160316,16.450,16.970,16.450,16.920,9078078.000
20160317,16.980,16.980,16.120,16.740,13461786.000
20160318,16.810,17.080,16.750,16.975,9906340.000
20160321,16.990,17.260,16.670,16.820,7788201.000
20160322,16.720,16.775,16.340,16.490,10283747.000
20160323,16.480,16.510,16.010,16.180,11342598.000
20160324,16.100,16.250,15.770,16.180,6550943.000
