Date,Open,High,Low,Close,Volume
20160104,59.150,59.315,58.380,58.690,701102.000
20160105,59.440,59.750,58.770,59.160,808948.000
20160106,58.410,59.710,58.310,58.810,806093.000
20160107,58.000,58.380,55.090,55.890,1705852.000
20160108,56.300,56.730,55.530,55.810,795422.000
20160111,56.120,56.980,55.790,56.660,1203313.000
20160112,56.870,57.520,56.750,57.240,1612006.000
20160113,57.540,57.640,54.420,54.680,583413.000
20160114,55.010,55.500,53.520,55.380,855564.000
20160115,54.600,54.600,52.940,54.430,916615.000
20160119,54.940,55.240,51.330,52.140,1754969.000
20160120,51.300,51.410,48.750,50.710,1757808.000
20160121,50.490,52.140,48.050,50.900,584272.000
20160122,51.870,53.490,51.600,53.420,1391094.000
20160125,53.090,53.750,51.140,51.250,752111.000
20160126,51.490,52.290,50.790,51.760,463042.000
20160127,51.410,52.140,50.210,51.450,574547.000
20160128,52.040,52.570,50.160,50.500,566596.000
20160129,50.950,52.010,50.650,51.900,605775.000
20160201,51.350,52.240,51.100,51.910,901748.000
20160202,51.940,51.970,49.840,50.910,1274451.000
20160203,47.520,47.700,42.760,45.780,6083571.000
20160204,44.570,45.528,44.570,45.200,1627171.000
20160205,44.810,44.950,42.610,42.710,1640210.000
20160208,42.000,42.100,39.450,40.700,1831699.000
20160209,38.820,41.910,38.820,40.430,1422985.000
20160210,40.060,41.850,40.020,40.360,768593.000
20160211,39.640,40.600,39.370,39.950,1040605.000
20160212,41.140,42.390,40.830,41.500,1491110.000
20160216,42.490,43.960,42.490,43.140,1034121.000
20160217,43.010,44.654,42.975,43.920,972550.000
20160218,44.010,44.520,43.795,44.300,814759.000
20160219,44.150,44.730,43.890,44.260,735145.000
20160222,44.350,45.570,44.350,45.210,852024.000
20160223,45.070,45.070,43.960,44.050,484100.000
20160224,43.670,44.840,43.100,44.640,516007.000
20160225,44.850,44.850,43.880,44.310,444088.000
20160226,44.300,44.890,44.150,44.380,423947.000
20160229,45.000,45.080,44.150,44.430,590883.000
20160301,45.060,45.890,44.760,45.750,1049318.000
20160302,45.540,47.400,45.220,47.170,1368093.000
20160303,47.390,47.660,46.930,47.290,597930.000
20160304,47.410,48.820,47.410,47.740,765307.000
20160307,47.700,48.040,47.000,47.320,721354.000
20160308,47.090,47.450,46.680,46.970,514166.000
20160309,46.990,47.160,45.960,46.050,512214.000
20160310,46.210,46.700,45.000,45.570,485239.000
20160311,45.330,47.210,45.260,46.710,614104.000
20160314,46.870,47.320,46.650,46.760,384281.000
20160315,46.530,46.660,45.580,45.850,737755.000
20160316,45.560,47.160,45.490,47.087,855215.000
20160317,47.080,47.540,47.030,47.430,486938.000
20160318,47.020,47.780,46.830,47.070,588868.000
20160321,47.160,47.470,46.680,47.010,342388.000
20160322,46.870,47.020,46.210,46.700,572858.000
20160323,46.590,46.930,45.520,45.620,413752.000
20160324,45.860,46.190,45.020,45.670,589968.000
