Date,Open,High,Low,Close,Volume
20160104,134.882,134.882,132.883,134.575,4586517.260
20160105,135.377,135.508,133.486,134.456,3167475.120
20160106,133.021,134.219,132.269,133.843,3712074.251
20160107,132.348,133.655,131.091,131.398,5906602.440
20160108,131.833,132.467,129.992,130.230,4198173.380
20160111,130.626,132.467,130.428,131.922,4409848.910
20160112,132.298,132.615,129.804,131.576,4617561.980
20160113,132.150,132.922,129.764,129.873,4389493.410
20160114,130.596,132.437,129.893,131.487,5252471.040
20160115,129.438,129.566,127.557,128.646,8040300.990
20160119,128.814,130.764,126.765,126.824,8349146.470
20160120,117.262,122.736,116.807,120.628,15215683.510
20160121,120.083,123.835,119.356,121.627,8309537.020
20160122,123.409,123.479,120.539,121.301,7153990.000
20160125,120.994,122.992,120.410,120.845,4968526.390
20160126,121.014,122.360,121.004,121.350,4188218.190
20160127,121.489,122.162,119.430,119.757,4634975.500
20160128,120.301,121.588,119.776,120.964,3610806.030
20160129,121.716,123.469,121.716,123.429,5143886.880
20160201,123.102,124.023,122.459,123.568,3242240.908
20160202,122.429,122.885,121.400,121.726,2938462.094
20160203,122.736,124.181,121.053,123.419,4099607.710
20160204,123.815,127.201,123.538,126.359,4892824.470
20160205,125.933,127.339,124.577,127.250,6747530.925
20160208,126.000,127.510,124.130,127.020,5998921.000
20160209,126.120,126.930,123.770,124.030,5542933.000
20160210,125.000,125.290,119.840,120.160,6049274.000
20160211,118.780,119.689,116.900,117.830,6644596.000
20160212,119.260,121.050,118.350,121.030,4240935.000
20160216,121.830,123.090,121.340,122.650,3080538.000
20160217,123.710,126.570,123.250,126.070,4258472.000
20160218,130.000,134.000,129.750,132.470,9271195.000
20160219,132.150,133.650,130.840,133.090,4432100.000
20160222,133.840,134.310,132.405,133.760,3671972.000
20160223,132.770,133.420,132.000,132.390,3012756.000
20160224,131.550,133.500,129.680,132.800,3732749.000
20160225,133.290,134.510,130.854,134.500,3948763.000
20160226,134.630,134.920,131.950,132.010,3972465.000
20160229,132.140,133.360,130.890,131.020,3383554.000
20160301,132.240,134.640,132.030,134.320,3482240.000
20160302,133.700,137.450,133.220,136.280,4648935.000
20160303,137.220,137.970,136.070,137.820,4655160.000
20160304,137.535,139.420,137.020,137.800,3610970.000
20160307,137.280,140.520,136.870,140.110,4800767.000
20160308,139.390,140.370,137.420,139.030,4880824.000
20160309,139.310,142.180,139.180,140.410,3930627.000
20160310,141.240,141.470,138.080,140.220,3674234.000
20160311,141.650,142.927,140.500,142.340,3841540.000
20160314,142.320,143.190,141.040,142.810,3419841.000
20160315,141.740,143.330,141.540,142.950,3062048.000
20160316,142.620,144.880,142.110,144.830,3926529.000
20160317,144.780,147.320,144.450,147.040,5268785.000
20160318,147.400,147.560,145.510,147.140,5021188.000
20160321,146.670,148.710,146.670,148.620,3156314.000
20160322,148.630,149.290,147.830,148.110,3098057.000
20160323,148.000,148.080,145.130,145.480,4107134.000
20160324,144.750,148.220,144.480,147.960,4316217.000
