Date,Open,High,Low,Close,Volume
20160104,15.950,16.170,15.830,16.160,375175.000
20160105,16.160,16.160,15.620,15.870,502236.000
20160106,15.710,16.060,15.570,15.610,659687.000
20160107,15.300,15.590,15.010,15.020,658789.000
20160108,15.070,15.320,14.910,14.990,836552.000
20160111,15.070,15.530,15.060,15.260,763899.000
20160112,15.350,15.470,14.835,15.230,1278178.000
20160113,15.310,15.320,14.695,14.925,927593.000
20160114,14.880,15.280,14.485,14.820,929010.000
20160115,14.580,14.665,13.980,14.390,1224487.000
20160119,14.520,14.680,13.980,14.230,568410.000
20160120,14.010,14.320,13.490,14.220,698974.000
20160121,14.230,14.410,13.980,14.350,491702.000
20160122,14.460,14.890,14.430,14.610,450924.000
20160125,14.570,14.707,13.900,13.930,388686.000
20160126,13.950,14.300,13.890,14.210,284821.000
20160127,14.150,14.390,13.960,14.200,410002.000
20160128,14.350,14.350,13.930,14.070,377509.000
20160129,14.090,14.530,14.000,14.470,625515.000
20160201,14.400,14.580,14.200,14.270,739830.000
20160202,14.170,14.220,13.860,13.880,575663.000
20160203,13.910,13.990,13.540,13.780,626954.000
20160204,13.760,13.990,13.430,13.840,496283.000
20160205,13.760,13.910,13.670,13.770,538041.000
20160208,13.580,13.690,12.830,13.200,761448.000
20160209,13.000,13.310,12.762,13.050,735145.000
20160210,13.100,13.330,12.850,12.990,703856.000
20160211,12.750,12.880,12.480,12.710,748407.000
20160212,12.810,13.390,12.750,13.225,327142.000
20160216,13.370,13.700,13.260,13.700,277357.000
20160217,13.750,14.200,13.700,14.080,545079.000
20160218,14.140,14.310,13.848,14.270,430888.000
20160219,14.250,14.280,14.010,14.280,432027.000
20160222,14.380,14.790,14.350,14.690,434571.000
20160223,14.680,14.820,14.150,14.350,624548.000
20160224,14.120,14.540,13.860,14.300,456975.000
20160225,14.270,14.660,14.240,14.650,285145.000
20160226,14.770,15.290,14.740,14.920,463594.000
20160229,14.950,14.960,14.580,14.790,435781.000
20160301,14.930,15.390,14.870,15.310,328389.000
20160302,15.310,15.400,15.060,15.380,273075.000
20160303,15.370,15.920,15.330,15.750,355003.000
20160304,15.710,16.000,15.616,15.800,333282.000
20160307,15.780,16.190,15.650,16.180,485418.000
20160308,16.060,16.090,15.775,15.890,222134.000
20160309,15.970,16.010,15.550,15.740,349581.000
20160310,15.880,15.979,15.460,15.690,240769.000
20160311,15.760,16.300,15.760,16.190,456162.000
20160314,16.150,16.370,16.100,16.180,266660.000
20160315,16.110,16.112,15.850,15.910,297434.000
20160316,15.870,17.180,15.780,17.010,1400486.000
20160317,18.070,18.260,16.860,17.750,1338046.000
20160318,18.200,18.350,17.810,17.960,584088.000
20160321,17.950,17.990,17.330,17.800,360608.000
20160322,17.700,17.900,17.430,17.820,344690.000
20160323,17.740,17.750,17.390,17.430,307892.000
20160324,17.390,17.790,17.130,17.600,521850.000
