Date,Open,High,Low,Close,Volume
20160104,187.560,188.250,179.880,181.280,2408941.000
20160105,181.780,183.050,176.770,178.020,1795022.000
20160106,175.560,180.070,175.000,177.550,1070424.000
20160107,170.900,174.415,167.010,167.720,2349167.000
20160108,168.000,172.450,164.900,165.170,1493866.000
20160111,173.310,173.649,161.200,165.680,2995842.000
20160112,167.160,169.960,162.889,168.610,1666446.000
20160113,168.920,171.370,163.080,164.500,1695560.000
20160114,165.420,176.580,161.000,175.110,2016091.000
20160115,168.880,174.430,168.631,171.310,1860332.000
20160119,173.710,174.115,165.340,169.580,1684972.000
20160120,167.050,173.880,162.205,171.410,1800874.000
20160121,172.320,172.990,167.990,169.180,926448.000
20160122,172.710,177.555,170.710,176.650,1456585.000
20160125,176.620,179.060,173.680,174.480,951607.000
20160126,173.900,175.440,168.580,172.900,1015172.000
20160127,173.190,174.700,161.130,162.420,2220420.000
20160128,164.430,165.250,152.460,154.200,3553820.000
20160129,154.810,159.280,153.590,157.870,2642943.000
20160201,156.730,160.260,154.750,158.940,1659288.000
20160202,157.000,159.900,152.780,154.660,1438951.000
20160203,148.190,152.780,140.100,149.570,3586893.000
20160204,146.280,148.840,140.920,143.370,1581379.000
20160205,142.660,143.130,134.540,136.050,2071681.000
20160208,135.010,137.230,130.370,135.360,1780437.000
20160209,133.580,143.150,131.630,139.490,1789629.000
20160210,140.490,145.750,138.190,138.700,1245155.000
20160211,136.580,140.090,135.000,138.400,992536.000
20160212,139.880,143.210,137.050,142.710,910323.000
20160216,144.350,149.590,144.000,149.110,1338791.000
20160217,148.880,156.380,148.880,155.630,1371181.000
20160218,154.630,155.940,149.690,150.160,1995208.000
20160219,149.230,152.950,148.510,151.290,1009235.000
20160222,153.000,154.655,151.400,152.940,778951.000
20160223,151.540,154.100,149.110,149.940,1286011.000
20160224,148.390,149.870,143.010,149.370,1279051.000
20160225,150.030,153.300,148.560,152.400,1186112.000
20160226,153.040,156.570,151.650,155.310,929278.000
20160229,154.520,156.830,150.240,150.240,851912.000
20160301,152.200,159.520,151.090,159.510,1188435.000
20160302,158.660,161.860,155.810,157.130,911256.000
20160303,156.840,158.380,155.000,157.470,678913.000
20160304,158.620,159.130,155.000,156.140,820700.000
20160307,155.000,163.150,153.480,161.620,931959.000
20160308,156.090,157.470,150.100,150.430,1838169.000
20160309,150.320,153.770,147.585,153.000,1512704.000
20160310,154.560,157.890,153.030,155.050,1219486.000
20160311,156.480,159.000,154.230,158.580,1192607.000
20160314,158.460,159.360,154.060,154.760,955972.000
20160315,153.850,154.740,147.750,149.940,1070261.000
20160316,149.890,153.150,147.630,149.200,981125.000
20160317,148.470,149.480,142.410,147.210,1458516.000
20160318,148.130,151.070,145.470,150.240,1650811.000
20160321,154.250,157.128,152.745,155.130,1218986.000
20160322,154.650,156.960,152.520,156.360,991132.000
20160323,156.230,158.230,152.100,152.580,807293.000
20160324,151.900,155.950,149.510,155.330,870126.000
