Date,Open,High,Low,Close,Volume
20160104,93.976,94.594,92.850,94.116,2580642.116
20160105,95.043,95.821,94.285,95.651,1807465.911
20160106,94.136,96.180,93.867,96.030,2255326.140
20160107,94.500,96.425,93.150,94.440,2290542.000
20160108,94.980,95.400,93.020,93.180,1878498.000
20160111,93.820,94.300,93.140,94.000,1815681.000
20160112,94.690,95.160,93.940,94.840,1144275.000
20160113,95.110,95.630,91.570,91.700,1778402.000
20160114,92.310,95.490,91.130,94.320,2337589.000
20160115,91.540,92.960,90.580,91.510,2388563.000
20160119,92.930,93.290,90.040,90.870,2126343.000
20160120,89.530,92.880,88.640,91.980,2664182.000
20160121,92.800,93.670,91.210,91.950,1344789.000
20160122,93.070,94.000,92.350,93.600,956420.000
20160125,93.470,93.800,91.590,91.730,1183351.000
20160126,91.940,92.710,91.030,92.650,1048052.000
20160127,92.360,93.260,90.450,90.760,838671.000
20160128,91.820,92.220,90.700,92.030,1076226.000
20160129,92.700,95.630,92.090,95.500,1492899.000
20160201,95.280,96.980,94.630,96.370,1150733.000
20160202,95.310,95.680,93.960,94.140,2214476.000
20160203,95.000,96.410,94.000,95.880,1684206.000
20160204,95.780,96.930,94.820,96.770,1520032.000
20160205,96.090,96.265,91.240,91.790,2752546.000
20160208,90.910,91.230,88.880,90.900,2597177.000
20160209,90.080,92.150,89.490,90.130,1820520.000
20160210,91.280,92.410,89.950,90.260,1782796.000
20160211,88.170,92.070,87.860,91.410,1905800.000
20160212,93.030,94.700,91.480,94.570,2055012.000
20160216,93.700,95.910,93.680,95.360,1795268.000
20160217,95.820,98.680,95.410,98.350,1454044.000
20160218,98.290,98.660,96.095,96.450,1606698.000
20160219,96.500,97.620,95.310,97.190,1882999.000
20160222,98.180,98.710,97.000,98.245,1518535.000
20160223,97.490,98.150,96.240,97.390,1687423.000
20160224,96.350,98.980,95.680,98.840,2103233.000
20160225,99.160,100.160,97.940,100.069,2188969.000
20160226,100.920,101.000,94.100,95.750,3622559.000
20160229,95.370,97.320,94.960,96.650,2075245.000
20160301,97.630,98.870,96.580,98.850,2063360.000
20160302,98.530,99.640,98.040,98.620,1449561.000
20160303,98.060,98.500,96.390,97.720,1704959.000
20160304,98.100,99.260,97.010,99.180,1747800.000
20160307,98.150,99.750,97.620,99.390,1882529.000
20160308,98.640,100.250,98.040,99.270,1810383.000
20160309,99.370,100.060,98.900,99.490,1339984.000
20160310,99.550,100.270,96.850,98.040,1548316.000
20160311,99.040,100.280,98.490,99.980,1395581.000
20160314,99.610,100.170,99.210,99.430,967486.000
20160315,99.140,99.690,98.710,99.330,876851.000
20160316,99.400,100.540,98.740,100.280,1065226.000
20160317,100.140,101.220,99.590,100.800,1109067.000
20160318,101.340,102.290,100.030,101.990,2021262.000
20160321,101.460,102.010,100.930,102.000,763713.000
20160322,101.670,102.520,101.160,102.150,828462.000
20160323,101.670,102.050,101.060,101.700,1332436.000
20160324,101.380,102.120,100.620,101.890,1061291.000
