Date,Open,High,Low,Close,Volume
20160104,26.367,26.450,25.884,26.436,892710.050
20160105,26.475,26.927,26.317,26.893,689689.755
20160106,26.642,26.819,26.490,26.681,659407.989
20160107,26.298,26.376,25.688,25.801,720205.204
20160108,25.953,26.022,25.098,25.206,1517523.377
20160111,25.294,25.619,25.024,25.491,1094897.718
20160112,25.648,25.717,24.763,24.970,930550.098
20160113,24.999,25.363,24.635,24.655,871529.415
20160114,24.684,24.979,24.310,24.704,1114443.858
20160115,24.301,24.586,23.927,24.438,1032802.498
20160119,24.704,24.743,24.143,24.438,925588.637
20160120,24.173,24.438,23.258,24.173,1375241.519
20160121,24.271,24.940,23.996,24.458,931250.042
20160122,24.763,25.284,24.743,25.093,1059583.974
20160125,25.068,25.142,24.753,24.852,1315208.641
20160126,25.048,25.402,24.940,25.393,1839401.084
20160127,25.294,25.786,25.186,25.412,1130411.173
20160128,25.707,25.950,25.520,25.673,831925.981
20160129,25.973,27.203,25.806,27.075,2690888.401
20160201,26.799,26.967,26.475,26.632,1279104.870
20160202,26.465,26.553,25.924,26.194,1047375.408
20160203,26.376,26.721,25.865,26.662,1426253.677
20160204,26.691,27.105,26.475,26.908,1514958.024
20160205,26.622,26.711,26.288,26.573,1375968.417
20160208,26.327,26.386,25.658,26.239,3170060.610
20160209,25.983,26.327,25.845,26.131,3510094.253
20160210,26.160,26.563,26.022,26.298,1433556.350
20160211,25.816,26.317,25.737,26.170,1449841.143
20160212,26.357,26.986,26.298,26.937,938954.725
20160216,27.272,28.177,27.045,28.167,1288068.871
20160217,28.236,28.708,27.832,28.570,934160.388
20160218,28.393,28.993,28.206,28.787,1040952.617
20160219,28.620,28.728,28.103,28.482,886571.614
20160222,28.787,29.052,28.733,28.969,733232.862
20160223,28.895,29.161,28.663,28.797,768029.690
20160224,28.639,28.695,28.324,28.654,1098938.272
20160225,28.846,29.466,28.324,29.436,1036919.225
20160226,29.367,29.515,28.954,29.072,815017.526
20160229,29.121,29.485,28.757,28.915,945406.263
20160301,29.043,29.544,29.023,29.476,1197386.292
20160302,29.407,29.515,29.043,29.505,1153201.390
20160303,29.500,30.290,29.220,30.190,1389877.000
20160304,30.190,30.560,29.860,29.990,933515.000
20160307,29.770,30.840,29.690,30.820,1223259.000
20160308,30.700,31.050,30.560,30.940,1398841.000
20160309,31.040,31.570,30.740,31.450,1783629.000
20160310,31.500,31.610,30.317,30.600,1579110.000
20160311,30.930,31.830,30.670,31.770,1170668.000
20160314,31.770,31.955,31.470,31.675,899387.000
20160315,31.440,31.650,31.070,31.190,774916.000
20160316,31.070,31.590,30.900,31.500,971051.000
20160317,31.620,32.680,31.610,32.620,1355457.000
20160318,32.660,33.170,32.380,32.780,1593038.000
20160321,32.570,32.600,31.930,32.410,824010.000
20160322,32.360,32.987,32.170,32.950,1061468.000
20160323,32.890,32.990,32.640,32.840,1075060.000
20160324,32.700,32.820,32.380,32.760,685401.000
