Date,Open,High,Low,Close,Volume
20160104,91.290,91.430,89.900,91.070,1697206.000
20160105,91.080,91.500,89.130,89.720,2248619.000
20160106,87.920,88.670,86.900,87.530,2260855.000
20160107,85.810,85.990,84.510,84.730,2421526.000
20160108,85.180,85.510,83.830,83.980,1984033.000
20160111,83.360,84.370,81.810,83.180,3969178.000
20160112,84.090,84.580,82.570,83.770,1946583.000
20160113,84.490,84.890,82.240,82.460,2780619.000
20160114,82.830,83.980,81.820,82.820,2100678.000
20160115,80.770,82.170,80.620,81.220,2248173.000
20160119,81.940,82.290,80.690,81.690,1893068.000
20160120,80.200,82.160,79.150,81.350,2856426.000
20160121,81.830,82.510,80.580,81.650,3592148.000
20160122,82.580,83.210,81.500,82.150,1880323.000
20160125,84.050,84.050,80.950,81.060,1520578.000
20160126,81.920,84.340,81.910,84.310,2310295.000
20160127,87.500,88.010,84.620,86.200,3084675.000
20160128,87.360,88.770,86.610,88.740,3094415.000
20160129,89.260,90.050,88.700,90.050,2374749.000
20160201,88.480,90.290,88.370,89.890,2195775.000
20160202,89.300,89.710,88.200,88.600,3177327.000
20160203,89.760,90.000,87.970,89.980,1878956.000
20160204,89.320,92.705,89.210,91.480,1646606.000
20160205,91.000,91.370,89.940,90.390,1750455.000
20160208,89.250,90.580,88.670,90.300,2248321.000
20160209,89.480,91.050,89.250,90.380,1205116.000
20160210,90.630,91.860,90.100,90.410,1590939.000
20160211,88.570,90.370,88.300,89.570,1572156.000
20160212,90.440,92.110,90.022,91.860,1410597.000
20160216,92.920,93.711,91.680,93.550,1906733.000
20160217,94.000,95.210,93.770,94.890,1918651.000
20160218,95.100,95.850,94.730,95.570,1451443.000
20160219,95.140,95.890,94.320,95.830,2220546.000
20160222,96.420,97.340,96.210,96.440,1465876.000
20160223,96.190,96.560,94.680,94.750,1453523.000
20160224,94.040,94.570,92.990,94.210,2436938.000
20160225,94.640,95.100,93.970,94.980,1456817.000
20160226,95.500,95.770,94.760,94.920,1147440.000
20160229,95.130,95.670,94.250,94.250,1220036.000
20160301,95.130,97.120,94.714,96.840,1101749.000
20160302,96.400,97.080,96.100,97.040,956594.000
20160303,96.880,97.060,95.850,96.520,1358624.000
20160304,96.670,98.110,96.210,97.720,1448917.000
20160307,97.000,98.050,97.000,97.760,1197871.000
20160308,97.310,97.570,96.440,97.110,1147866.000
20160309,97.400,97.750,96.556,96.870,1218762.000
20160310,97.250,97.630,96.130,97.050,1096070.000
20160311,98.170,98.670,97.760,98.170,1183749.000
20160314,97.780,98.510,97.460,98.020,1004066.000
20160315,97.100,97.990,96.735,97.970,1174794.000
20160316,97.820,98.760,97.410,98.340,1220745.000
20160317,98.450,101.041,98.070,100.670,2114545.000
20160318,101.000,101.300,100.310,101.240,2044229.000
20160321,101.030,101.910,100.640,101.750,1242184.000
20160322,101.670,102.470,101.190,102.270,1503774.000
20160323,102.300,102.475,101.660,102.070,1570979.000
20160324,101.440,101.820,101.060,101.440,1238377.000
