Date,Open,High,Low,Close,Volume
20160104,71.639,72.088,70.373,71.111,785686.288
20160105,71.141,71.939,70.872,71.859,943880.645
20160106,70.782,71.425,70.274,70.712,574725.427
20160107,69.665,69.725,68.220,68.698,807385.855
20160108,68.778,69.306,67.851,67.960,731161.445
20160111,68.668,69.217,66.774,67.153,1270748.896
20160112,68.888,69.635,67.153,67.502,1784694.141
20160113,67.701,68.249,65.218,65.537,1352916.547
20160114,66.056,66.555,64.381,65.368,2139075.413
20160115,63.882,65.328,63.394,64.999,1949462.743
20160119,65.837,65.867,64.351,65.069,1197544.273
20160120,64.241,66.026,63.798,65.488,1979089.677
20160121,67.791,68.429,65.817,66.794,2547294.042
20160122,67.482,68.449,67.272,68.020,1563414.427
20160125,68.519,69.675,67.821,68.638,1719327.030
20160126,68.878,71.650,68.698,71.201,1574325.035
20160127,71.271,72.078,69.376,69.765,1244685.784
20160128,70.184,70.732,68.987,70.044,907907.227
20160129,70.044,72.517,70.044,72.487,1180617.011
20160201,71.839,73.245,71.769,73.095,964328.465
20160202,72.946,73.594,71.171,71.460,1062101.849
20160203,71.819,72.407,70.862,72.108,806495.099
20160204,72.058,74.960,71.999,74.790,1349114.242
20160205,74.421,74.860,73.993,74.541,944664.846
20160208,74.252,75.119,72.836,74.980,1098725.040
20160209,74.312,75.847,74.282,74.890,928686.977
20160210,75.390,76.470,73.130,73.290,1143837.000
20160211,72.670,73.460,71.540,72.975,916586.000
20160212,73.840,74.680,73.590,74.430,971112.000
20160216,75.040,75.990,73.860,75.550,698872.000
20160217,75.870,77.540,75.800,77.120,985312.000
20160218,77.090,77.610,76.475,77.380,1446790.000
20160219,76.830,77.250,75.560,76.730,1196175.000
20160222,77.790,78.810,77.010,77.350,706734.000
20160223,77.270,77.510,75.995,76.160,652299.000
20160224,75.710,76.090,74.460,75.810,728066.000
20160225,75.980,77.180,75.590,77.150,622984.000
20160226,77.500,78.570,77.370,78.050,645897.000
20160229,78.060,78.220,76.290,76.290,754227.000
20160301,76.630,78.090,76.600,77.690,807693.000
20160302,77.720,78.100,76.990,77.330,595312.000
20160303,77.240,78.720,77.240,78.520,610015.000
20160304,78.650,80.120,78.310,79.400,650778.000
20160307,78.730,80.000,78.530,79.950,706770.000
20160308,79.380,79.970,78.080,78.290,723459.000
20160309,78.540,79.810,78.330,79.750,712161.000
20160310,80.140,81.260,80.060,80.980,1209699.000
20160311,81.340,82.450,80.840,82.360,1276439.000
20160314,81.890,82.720,81.440,82.130,1160656.000
20160315,81.780,81.950,81.120,81.730,637210.000
20160316,81.320,82.810,81.320,82.420,549129.000
20160317,82.480,84.610,82.150,84.460,883922.000
20160318,84.660,86.880,84.240,86.710,1578380.000
20160321,86.190,86.940,85.790,86.380,994711.000
20160322,86.010,86.410,85.600,85.720,414587.000
20160323,85.560,86.410,85.290,86.010,631384.000
20160324,85.500,86.198,85.220,86.010,499379.000
