Date,Open,High,Low,Close,Volume
20160104,41.350,41.950,41.040,41.920,589376.000
20160105,41.750,42.120,41.040,41.330,561132.000
20160106,40.480,40.900,40.300,40.520,775547.000
20160107,40.050,40.300,39.260,39.445,972017.000
20160108,39.600,39.960,38.590,38.740,741256.000
20160111,38.860,39.160,38.000,38.390,1211404.000
20160112,38.900,39.170,38.280,39.070,1105593.000
20160113,39.390,39.630,37.830,38.210,1190907.000
20160114,38.550,38.810,37.590,38.370,723132.000
20160115,37.130,37.790,36.750,37.650,1259401.000
20160119,38.000,38.040,36.260,36.480,1138558.000
20160120,35.870,37.190,35.200,36.780,1970714.000
20160121,36.870,37.440,36.370,36.620,857547.000
20160122,37.350,38.410,36.900,37.405,884398.000
20160125,37.120,37.710,36.650,36.730,790646.000
20160126,36.890,37.470,36.540,37.460,1584873.000
20160127,37.400,38.330,36.980,37.460,1142575.000
20160128,37.890,38.090,37.385,37.710,647514.000
20160129,37.820,39.220,37.450,39.210,846505.000
20160201,38.790,39.220,38.150,39.120,993841.000
20160202,38.130,38.910,38.110,38.660,1641666.000
20160203,38.840,38.840,36.190,37.350,2966569.000
20160204,37.220,38.270,37.100,37.390,1796589.000
20160205,37.010,37.980,36.820,37.045,1542044.000
20160208,36.480,36.616,34.970,35.710,1173639.000
20160209,35.350,35.780,35.100,35.500,1226434.000
20160210,35.670,36.020,35.390,35.400,874254.000
20160211,34.910,35.580,34.760,35.040,1377251.000
20160212,35.370,36.171,34.940,36.070,1022561.000
20160216,36.790,37.225,36.040,37.180,934223.000
20160217,37.690,38.850,37.690,38.430,960818.000
20160218,38.670,38.800,37.580,37.990,625797.000
20160219,37.430,38.120,36.690,38.000,768871.000
20160222,38.460,39.190,38.460,38.615,815099.000
20160223,38.430,39.130,38.050,38.220,635032.000
20160224,37.680,38.545,37.270,38.500,543587.000
20160225,38.690,38.990,37.910,38.470,430550.000
20160226,38.860,39.160,38.560,38.860,606926.000
20160229,38.840,39.100,38.260,38.660,656952.000
20160301,38.850,39.740,38.760,39.660,535279.000
20160302,39.480,40.100,39.320,39.980,472547.000
20160303,40.040,40.700,39.720,40.580,498086.000
20160304,40.700,40.850,40.160,40.730,812444.000
20160307,40.580,41.920,40.400,41.770,876386.000
20160308,41.410,41.640,40.390,40.780,790615.000
20160309,41.090,41.110,40.470,40.760,526272.000
20160310,40.820,41.010,39.870,40.590,502200.000
20160311,40.920,41.925,40.750,41.740,642379.000
20160314,41.480,41.680,40.930,41.500,452298.000
20160315,41.040,41.550,40.860,41.350,554515.000
20160316,41.220,42.650,41.100,42.395,879056.000
20160317,42.380,43.980,42.260,43.850,1129500.000
20160318,43.980,44.580,43.730,44.090,649763.000
20160321,43.910,44.180,43.600,44.150,431860.000
20160322,44.120,44.770,43.950,44.580,558692.000
20160323,44.300,44.410,43.630,43.670,549522.000
20160324,43.350,43.400,42.920,43.270,628583.000
