Date,Open,High,Low,Close,Volume
20160104,100.978,100.978,98.734,99.817,10842374.140
20160105,99.985,100.710,99.846,100.179,5680516.381
20160106,99.131,100.243,98.883,99.677,6769448.110
20160107,98.585,99.370,98.168,98.516,8453500.160
20160108,99.161,99.221,97.146,97.424,8629352.690
20160111,97.533,97.920,95.389,96.858,7004311.470
20160112,97.285,97.920,96.540,97.553,6031288.290
20160113,97.781,98.268,96.143,96.322,6978593.600
20160114,96.401,98.754,96.302,98.159,8713398.020
20160115,95.806,97.295,95.557,96.302,10318611.800
20160119,97.225,97.702,96.203,96.798,10539927.270
20160120,95.418,96.620,93.850,95.091,11802023.970
20160121,95.309,95.945,93.602,95.260,9979918.670
20160122,96.371,96.491,95.260,96.044,7408693.510
20160125,95.816,96.987,95.349,95.796,8025390.160
20160126,96.411,100.611,96.312,100.452,16054018.430
20160127,99.767,102.636,99.767,101.425,18367713.200
20160128,101.792,102.299,101.117,101.564,11565403.150
20160129,101.941,103.996,101.882,103.569,11708188.420
20160201,102.854,104.036,102.477,103.569,8686175.890
20160202,102.656,103.510,102.259,102.666,8399753.602
20160203,102.904,103.629,101.276,103.410,8733283.580
20160204,102.864,103.336,101.981,103.182,9290235.840
20160205,101.762,102.030,99.062,99.797,13967714.610
20160208,99.588,102.775,99.270,101.256,12718048.980
20160209,100.502,101.504,100.246,101.256,9337868.190
20160210,101.316,102.169,100.638,100.988,9255556.390
20160211,99.936,101.286,99.251,100.948,10990999.950
20160212,101.087,101.246,99.995,101.077,7431129.880
20160216,101.951,102.308,100.919,101.564,8996710.990
20160217,102.011,102.497,101.494,101.762,7711258.940
20160218,102.090,103.924,101.762,103.470,9711724.810
20160219,103.310,104.680,103.310,104.130,8252341.000
20160222,104.800,104.800,104.000,104.740,5903149.000
20160223,104.650,104.790,103.960,104.080,5580385.000
20160224,103.340,105.080,102.970,104.940,8221585.000
20160225,105.080,106.390,104.770,106.380,7227165.000
20160226,106.810,106.920,105.410,105.780,8052229.000
20160229,105.470,106.200,105.040,105.120,7103352.000
20160301,105.940,107.240,105.440,107.210,7163894.000
20160302,106.920,107.410,106.430,107.040,8711087.000
20160303,106.820,107.000,105.620,106.670,5767549.000
20160304,106.510,106.980,106.070,106.470,5731445.000
20160307,106.000,106.920,105.490,106.720,5419275.000
20160308,106.520,106.770,105.965,106.260,6264237.000
20160309,106.840,107.020,106.090,106.780,5799178.000
20160310,107.040,107.490,106.060,107.150,7734070.000
20160311,107.430,107.990,107.210,107.660,6148914.000
20160314,107.920,108.300,107.310,107.630,6204241.000
20160315,107.620,108.350,106.760,107.770,6957816.000
20160316,107.730,107.780,106.870,107.450,6190747.000
20160317,107.540,107.610,106.430,106.750,6925866.000
20160318,106.990,107.840,106.360,107.450,10964222.000
20160321,107.410,107.750,106.550,107.280,6888299.000
20160322,107.220,107.640,106.970,107.400,6524011.000
20160323,107.290,108.827,107.200,108.490,7041763.000
20160324,107.830,108.610,107.750,108.300,5208406.000
