Date,Open,High,Low,Close,Volume
20160104,13.771,13.771,13.494,13.667,1820944.846
20160105,13.702,13.801,13.573,13.712,1274287.019
20160106,13.454,13.583,13.285,13.424,2089260.161
20160107,13.077,13.295,12.745,12.789,2138638.728
20160108,12.908,12.983,12.591,12.611,2770279.765
20160111,12.204,12.829,12.204,12.720,4422171.114
20160112,12.839,12.869,12.541,12.859,4477801.804
20160113,12.710,12.809,11.986,12.055,6476489.444
20160114,12.114,12.412,11.628,12.333,4453412.153
20160115,11.847,12.313,11.688,12.243,2882661.143
20160119,12.452,12.462,12.134,12.219,3233420.320
20160120,11.916,12.174,11.608,12.045,3895238.242
20160121,12.095,12.561,11.886,11.911,3900753.199
20160122,12.184,12.521,12.144,12.492,2079970.214
20160125,12.402,12.531,12.025,12.035,2285521.129
20160126,11.241,12.382,11.241,12.144,4095942.306
20160127,12.035,12.263,11.747,11.876,3538972.148
20160128,12.293,12.333,11.827,11.876,2392386.979
20160129,11.986,12.541,11.966,12.492,2379600.014
20160201,12.353,12.452,12.020,12.124,1949488.574
20160202,11.886,11.906,11.197,11.450,4133144.013
20160203,11.569,11.777,10.983,11.678,2677251.951
20160204,11.599,12.263,11.579,12.214,3647712.061
20160205,12.134,12.551,12.035,12.214,4720907.808
20160208,11.995,12.025,11.192,11.489,4166993.423
20160209,11.202,11.678,11.152,11.420,3109461.242
20160210,11.560,12.070,11.530,11.610,3832856.000
20160211,11.280,11.610,11.070,11.460,2568746.000
20160212,11.700,12.165,11.640,12.050,1827972.000
20160216,12.270,12.650,12.130,12.550,1852196.000
20160217,12.680,13.205,12.640,12.795,2312740.000
20160218,12.830,12.840,12.475,12.630,1496694.000
20160219,12.500,12.560,12.320,12.370,1766479.000
20160222,12.530,12.935,12.480,12.780,1737640.000
20160223,12.690,12.750,12.470,12.510,1148154.000
20160224,12.270,12.700,12.030,12.620,1474166.000
20160225,12.630,12.800,12.470,12.790,1011168.000
20160226,12.940,13.070,12.850,12.930,1039061.000
20160229,12.950,13.110,12.830,12.920,1640432.000
20160301,13.100,13.610,13.080,13.540,3394064.000
20160302,13.520,13.560,13.140,13.465,2278802.000
20160303,13.600,13.980,13.520,13.915,1966477.000
20160304,13.940,14.065,13.690,13.850,2316613.000
20160307,13.750,14.030,13.690,14.005,1953862.000
20160308,13.860,13.990,13.640,13.670,2537892.000
20160309,13.750,13.900,13.630,13.760,1072626.000
20160310,13.900,13.900,13.345,13.550,1327523.000
20160311,13.830,14.250,13.760,14.160,1549026.000
20160314,14.050,14.120,13.720,13.950,1266970.000
20160315,13.820,13.850,13.370,13.580,1324612.000
20160316,13.530,14.100,13.470,14.040,1865880.000
20160317,14.000,14.830,14.000,14.660,3266072.000
20160318,14.840,14.840,14.240,14.300,2842835.000
20160321,14.300,14.460,14.110,14.320,1559615.000
20160322,14.170,14.350,14.060,14.240,1477353.000
20160323,14.220,14.240,14.020,14.140,1311932.000
20160324,14.000,14.030,13.790,14.010,1004815.000
