Date,Open,High,Low,Close,Volume
20160104,63.950,64.060,63.010,63.700,22308551.000
20160105,63.770,64.130,63.040,63.730,14985932.000
20160106,62.720,63.130,62.340,62.820,21010831.000
20160107,61.460,62.000,60.080,60.290,25574127.000
20160108,61.140,61.270,58.850,58.900,19753138.000
20160111,58.830,59.220,58.040,58.840,18703587.000
20160112,59.460,59.560,58.100,58.980,19833607.000
20160113,59.460,59.675,56.910,57.370,26748337.000
20160114,58.160,59.380,57.290,58.170,28208431.000
20160115,56.450,57.570,56.220,57.000,34354394.000
20160119,57.730,57.970,56.510,57.020,20811381.000
20160120,55.630,56.190,54.660,55.510,32795775.000
20160121,55.740,56.520,55.060,55.250,25362222.000
20160122,56.500,57.160,56.300,56.920,20368050.000
20160125,56.480,56.850,55.600,55.670,19719811.000
20160126,55.980,57.150,55.810,57.070,15578891.000
20160127,56.940,58.270,56.560,57.050,19497594.000
20160128,57.520,57.970,56.630,57.250,14356035.000
20160129,57.830,59.540,57.510,59.310,20718810.000
20160201,59.160,59.650,58.440,58.850,15710833.000
20160202,57.880,57.990,56.750,57.020,19822886.000
20160203,57.420,57.795,55.010,57.430,29643538.000
20160204,57.060,58.520,57.060,58.390,20650678.000
20160205,58.590,59.140,57.420,57.730,20131322.000
20160208,56.690,56.920,55.530,56.520,25197984.000
20160209,55.290,56.690,55.130,56.230,24413357.000
20160210,56.780,57.410,55.470,55.520,19557814.000
20160211,53.910,53.910,52.500,53.030,41172401.000
20160212,55.650,57.570,55.170,57.450,34424633.000
20160216,58.230,58.613,57.640,58.340,19744094.000
20160217,58.850,59.250,58.390,58.770,18746631.000
20160218,58.860,58.860,57.250,57.810,15949316.000
20160219,57.500,58.170,57.070,57.810,14377238.000
20160222,58.470,58.880,58.420,58.560,13259212.000
20160223,57.900,58.090,55.960,56.120,29414127.000
20160224,55.200,56.210,54.325,56.120,23960104.000
20160225,56.130,57.030,56.040,57.020,13008039.000
20160226,57.640,58.110,57.140,57.540,19401456.000
20160229,57.510,57.605,56.290,56.290,15943887.000
20160301,56.760,59.190,56.670,59.190,21961518.000
20160302,59.200,59.900,58.960,59.750,19835042.000
20160303,59.600,59.960,59.103,59.960,14639305.000
20160304,60.110,60.550,59.530,60.050,15719227.000
20160307,59.540,60.050,59.320,59.930,11670036.000
20160308,59.210,59.500,58.680,58.780,12795538.000
20160309,59.150,59.540,58.680,59.110,11871435.000
20160310,59.590,59.670,57.810,58.610,19090347.000
20160311,59.390,59.510,58.650,59.370,18749940.000
20160314,59.150,59.310,58.600,59.120,11214856.000
20160315,58.570,59.210,58.430,59.190,9687361.000
20160316,58.980,59.750,58.470,58.940,16248380.000
20160317,58.810,59.130,57.990,58.750,16792585.000
20160318,60.050,60.970,59.660,60.480,25360462.000
20160321,60.220,60.850,59.960,60.430,11126125.000
20160322,59.950,60.580,59.620,60.250,10190055.000
20160323,60.130,60.510,59.860,59.940,10446960.000
20160324,59.300,59.510,58.870,59.470,11223060.000
