Date,Open,High,Low,Close,Volume
20160104,48.954,49.848,48.368,49.798,4298821.240
20160105,49.272,50.344,48.368,49.629,5159669.084
20160106,48.696,48.964,47.375,48.160,3840869.163
20160107,46.740,49.282,46.690,48.170,7429571.940
20160108,48.140,48.170,45.816,45.925,3753672.143
20160111,46.204,46.988,45.558,46.482,3401854.142
20160112,47.038,47.216,45.995,46.770,2910434.241
20160113,46.869,47.266,45.518,45.628,2599780.635
20160114,45.737,46.225,44.317,45.469,3477305.350
20160115,44.436,45.717,44.178,45.131,3575027.892
20160119,45.439,46.144,44.247,45.816,4064980.053
20160120,45.221,46.293,44.367,45.767,4261489.870
20160121,45.965,47.887,45.648,47.405,5297613.519
20160122,47.961,48.755,47.199,47.673,4096299.773
20160125,47.594,47.852,46.432,46.571,2966262.848
20160126,47.038,47.951,46.799,47.703,2061839.623
20160127,47.355,48.507,47.326,47.703,1746321.571
20160128,49.331,49.461,47.147,47.604,1572787.914
20160129,48.090,48.835,47.862,48.706,1776415.694
20160201,48.120,49.838,47.475,49.510,2562063.602
20160202,49.828,49.828,48.319,48.805,3065293.291
20160203,48.984,50.424,48.497,50.195,3869234.270
20160204,48.934,48.934,46.467,47.087,5326161.640
20160205,47.097,48.607,46.372,47.832,4335070.929
20160208,47.812,51.526,47.504,50.513,6486192.365
20160209,49.868,51.367,49.739,49.987,4155775.159
20160210,50.265,50.503,48.805,48.855,2497426.897
20160211,48.239,49.024,47.633,48.845,2813523.197
20160212,48.597,49.351,46.968,48.557,3521269.355
20160216,49.292,51.288,49.163,50.533,4158364.539
20160217,50.980,52.420,50.722,51.883,6874301.762
20160218,51.794,52.698,50.811,52.380,6473579.070
20160219,47.465,49.401,46.323,48.835,18570315.210
20160222,48.974,51.029,48.974,51.020,4590078.015
20160223,51.039,51.208,49.838,50.493,2595401.492
20160224,50.166,51.635,49.133,51.556,3119920.200
20160225,51.566,52.390,50.295,52.062,2646076.492
20160226,52.350,52.390,51.447,52.142,2173055.896
20160229,51.953,52.132,50.871,50.950,2672924.071
20160301,51.307,51.993,50.712,51.913,2472521.980
20160302,52.003,52.459,51.754,52.370,2989940.874
20160303,52.540,53.220,52.150,53.060,1861727.000
20160304,53.040,55.310,52.570,54.500,5268527.000
20160307,53.100,55.560,53.020,54.650,3946373.000
20160308,54.010,55.990,54.000,55.110,4329022.000
20160309,55.390,56.250,54.870,55.840,3219571.000
20160310,56.290,57.080,55.630,57.020,3805555.000
20160311,57.270,57.650,56.030,56.480,2471912.000
20160314,56.020,56.560,55.600,56.040,1689846.000
20160315,55.810,56.890,55.500,56.780,2282071.000
20160316,56.270,56.990,56.050,56.870,1646816.000
20160317,56.850,58.500,56.500,58.240,2176034.000
20160318,58.010,59.370,57.270,58.520,2347775.000
20160321,57.880,58.700,57.390,57.720,2307044.000
20160322,57.640,58.200,56.720,56.750,2442853.000
20160323,56.910,56.980,55.900,56.040,2010577.000
20160324,55.900,56.130,55.450,55.960,1891115.000
