Date,Open,High,Low,Close,Volume
20160104,17.310,17.960,17.160,17.920,2253875.000
20160105,17.930,18.000,17.260,17.840,2626502.000
20160106,17.530,17.870,17.250,17.440,1914974.000
20160107,17.100,17.660,17.030,17.180,2883196.000
20160108,17.280,17.320,16.440,16.540,2573073.000
20160111,16.660,16.770,16.005,16.190,1787840.000
20160112,16.490,16.910,16.400,16.730,2489303.000
20160113,16.790,17.070,16.130,16.230,1853804.000
20160114,16.270,16.710,15.678,16.420,1459283.000
20160115,15.990,16.370,15.670,16.110,2418812.000
20160119,16.260,16.370,15.520,15.690,2491696.000
20160120,15.430,16.080,15.100,15.760,3707013.000
20160121,15.730,16.350,15.550,15.860,3630625.000
20160122,16.240,16.480,15.780,16.010,2063216.000
20160125,16.200,16.925,15.950,16.630,2873744.000
20160126,16.840,17.240,16.370,17.050,2398293.000
20160127,16.850,17.555,16.610,17.000,1561913.000
20160128,17.240,17.300,16.840,17.080,1223044.000
20160129,17.130,17.820,17.090,17.810,1814443.000
20160201,17.630,18.040,17.350,17.830,2400039.000
20160202,18.650,18.950,18.000,18.360,3899708.000
20160203,18.410,18.751,17.760,18.570,2589992.000
20160204,18.250,19.170,18.080,18.500,1405313.000
20160205,18.360,18.360,17.410,17.430,2004346.000
20160208,17.170,17.250,15.750,16.200,3148796.000
20160209,16.040,16.360,15.260,15.640,2496101.000
20160210,15.660,16.330,15.510,15.890,2574526.000
20160211,15.770,15.990,15.210,15.472,1437454.000
20160212,15.730,16.160,15.410,16.075,950846.000
20160216,16.390,16.840,16.150,16.720,1204026.000
20160217,16.980,17.460,16.870,17.440,2274993.000
20160218,17.260,17.330,16.810,17.030,1458861.000
20160219,16.790,17.040,16.410,17.020,1696625.000
20160222,17.190,17.900,17.190,17.695,2071833.000
20160223,17.800,18.730,17.600,18.250,3094866.000
20160224,18.000,19.150,17.830,18.990,3138340.000
20160225,18.980,19.520,18.600,19.480,1851117.000
20160226,19.610,19.750,19.235,19.560,2448582.000
20160229,19.590,20.360,19.330,19.810,5470671.000
20160301,20.920,22.250,20.360,22.000,12544931.000
20160302,22.030,22.680,21.675,22.570,6730541.000
20160303,22.570,23.215,22.480,23.070,3963711.000
20160304,23.030,23.910,22.860,23.300,3150235.000
20160307,23.210,23.670,23.120,23.560,1638493.000
20160308,23.380,23.650,23.090,23.250,1292831.000
20160309,23.460,23.540,22.890,23.300,1447490.000
20160310,23.430,23.700,22.830,23.130,1876207.000
20160311,23.290,24.180,23.155,24.030,1714967.000
20160314,23.900,24.120,23.680,24.070,1519972.000
20160315,23.970,24.270,23.780,24.195,2286865.000
20160316,24.060,24.275,23.665,24.170,1822588.000
20160317,24.440,25.187,24.100,24.850,3055815.000
20160318,24.980,25.270,24.850,25.000,2011591.000
20160321,24.880,25.020,24.550,24.840,1224162.000
20160322,24.670,24.890,24.380,24.710,1003925.000
20160323,24.520,24.670,24.280,24.350,1218046.000
20160324,24.250,24.340,23.620,24.050,1806494.000
