Date,Open,High,Low,Close,Volume
20160104,12.899,12.938,12.760,12.879,17387534.200
20160105,12.919,12.988,12.661,12.770,17670523.906
20160106,12.571,12.720,12.502,12.541,19412159.932
20160107,12.343,12.492,12.065,12.095,19552581.550
20160108,12.204,12.253,11.806,11.816,13865873.376
20160111,11.906,11.980,11.668,11.856,22078446.340
20160112,12.015,12.035,11.658,11.975,13902334.415
20160113,12.055,12.095,11.494,11.598,21173190.100
20160114,11.687,11.836,11.469,11.742,16006228.520
20160115,11.280,11.499,11.201,11.434,18910742.140
20160119,11.568,11.608,11.171,11.251,13777749.420
20160120,11.022,11.241,10.704,11.131,27853198.210
20160121,10.933,11.389,10.744,11.082,21973457.890
20160122,11.280,11.489,11.181,11.241,18881606.279
20160125,11.211,11.231,10.734,10.774,18461307.409
20160126,10.833,10.992,10.774,10.853,15757437.126
20160127,10.814,11.196,10.784,10.853,16242962.770
20160128,11.022,11.171,10.878,10.997,13599005.472
20160129,11.072,11.121,10.873,11.092,15195171.435
20160201,11.171,11.171,10.943,11.002,13470575.790
20160202,10.833,10.833,10.625,10.694,15025000.020
20160203,10.754,10.774,10.248,10.724,22453403.270
20160204,10.665,10.923,10.645,10.833,16930954.579
20160205,11.002,11.022,10.694,10.734,16850315.349
20160208,10.635,10.635,10.367,10.486,14248014.128
20160209,10.287,10.655,10.262,10.575,13518432.550
20160210,10.645,10.724,10.377,10.446,21447001.016
20160211,10.099,10.118,9.811,9.925,24956609.582
20160212,10.118,10.516,10.079,10.406,14865066.934
20160216,10.734,11.002,10.511,10.833,16283307.189
20160217,10.963,11.067,10.784,10.843,15995672.376
20160218,10.903,10.903,10.426,10.565,22954160.150
20160219,10.486,10.694,10.416,10.625,12685152.640
20160222,10.764,10.863,10.694,10.853,10888188.708
20160223,10.823,10.833,10.496,10.546,9748143.503
20160224,10.416,10.496,10.158,10.466,11141774.046
20160225,10.506,10.655,10.416,10.610,10544667.919
20160226,10.790,10.870,10.620,10.720,20573604.000
20160229,10.710,10.725,10.450,10.540,16444324.000
20160301,10.600,10.990,10.570,10.900,29064645.000
20160302,10.910,11.310,10.910,11.305,20961647.000
20160303,11.310,11.470,11.220,11.460,11686656.000
20160304,11.570,11.740,11.490,11.550,13156320.000
20160307,11.460,11.540,11.350,11.430,6572270.000
20160308,11.290,11.340,11.030,11.095,10835507.000
20160309,11.140,11.205,10.850,10.895,10825077.000
20160310,10.990,11.070,10.750,10.955,11982150.000
20160311,11.090,11.260,11.035,11.215,10625212.000
20160314,11.220,11.230,11.030,11.140,11569933.000
20160315,11.030,11.170,10.960,11.160,10993706.000
20160316,11.150,11.340,10.960,11.015,13819843.000
20160317,10.960,11.200,10.860,11.130,14217126.000
20160318,11.230,11.450,11.200,11.405,14863055.000
20160321,11.350,11.530,11.330,11.435,10401022.000
20160322,11.300,11.490,11.260,11.410,11104065.000
20160323,11.360,11.400,11.190,11.260,11607688.000
20160324,11.170,11.200,11.010,11.190,8043285.000
