Date,Open,High,Low,Close,Volume
20160104,26.170,26.190,25.510,25.740,3523682.000
20160105,25.860,26.680,25.760,26.560,2474572.000
20160106,26.330,26.650,26.270,26.330,4284939.000
20160107,25.850,26.100,25.650,25.660,4180778.000
20160108,25.800,25.890,25.170,25.230,2953440.000
20160111,25.280,25.720,25.270,25.610,3069636.000
20160112,25.890,25.890,25.233,25.510,3925165.000
20160113,25.560,25.980,25.180,25.220,3245672.000
20160114,25.390,25.550,25.150,25.260,2661247.000
20160115,24.840,25.465,24.750,25.400,4275773.000
20160119,25.740,25.870,25.590,25.710,2813596.000
20160120,25.320,25.720,24.850,25.350,5113744.000
20160121,25.570,26.320,25.405,26.010,6279148.000
20160122,26.380,26.835,26.270,26.590,4073189.000
20160125,26.600,26.870,26.180,26.200,3266467.000
20160126,26.220,26.750,26.220,26.730,2782011.000
20160127,26.580,26.720,26.265,26.445,2118966.000
20160128,26.670,26.780,26.360,26.440,2492545.000
20160129,26.690,27.210,26.495,27.180,3798297.000
20160201,26.990,27.580,26.750,27.290,3933837.000
20160202,27.160,27.350,27.050,27.190,3577423.000
20160203,27.970,28.080,27.440,27.740,4808046.000
20160204,27.640,27.925,27.536,27.820,2948725.000
20160205,27.810,27.810,27.450,27.570,3135563.000
20160208,27.570,27.680,26.350,26.860,3412379.000
20160209,26.670,27.290,26.570,27.020,3287716.000
20160210,27.150,27.360,26.705,26.740,3682947.000
20160211,26.360,26.540,26.050,26.290,3230496.000
20160212,26.580,26.680,26.120,26.280,3616711.000
20160216,26.660,26.720,26.240,26.510,3602753.000
20160217,26.830,27.020,26.610,26.765,2628742.000
20160218,26.730,26.850,26.520,26.770,2363606.000
20160219,26.790,27.120,26.540,26.900,1905394.000
20160222,27.150,27.290,26.880,27.070,1759351.000
20160223,26.960,27.200,26.860,26.900,1942523.000
20160224,26.780,26.860,26.350,26.560,2318320.000
20160225,26.790,27.130,26.750,27.110,2369713.000
20160226,27.150,27.150,26.650,26.700,3472856.000
20160229,26.690,26.870,26.580,26.740,3788570.000
20160301,27.020,27.390,26.890,27.380,2028372.000
20160302,27.260,27.500,27.200,27.490,1648565.000
20160303,27.430,27.630,27.310,27.620,1245733.000
20160304,27.600,27.670,27.350,27.600,1763569.000
20160307,27.350,27.490,27.110,27.450,1691306.000
20160308,27.330,27.470,27.190,27.320,2225077.000
20160309,27.380,27.605,27.250,27.370,1890877.000
20160310,27.410,27.560,26.970,27.330,2291883.000
20160311,27.600,27.800,27.390,27.780,2594917.000
20160314,27.680,27.850,27.630,27.790,1618276.000
20160315,27.660,28.130,27.650,28.080,2030190.000
20160316,27.920,28.400,27.820,28.370,2863139.000
20160317,28.330,29.110,28.210,29.050,4568518.000
20160318,28.990,28.990,28.470,28.500,3802765.000
20160321,28.320,28.475,27.850,27.900,1949584.000
20160322,27.890,28.230,27.810,28.000,2108723.000
20160323,27.990,28.030,27.760,27.790,1649628.000
20160324,27.670,27.890,27.520,27.790,1694617.000
