Date,Open,High,Low,Close,Volume
20160104,67.478,68.619,67.449,68.123,1994332.349
20160105,67.826,68.500,67.796,68.173,1884071.160
20160106,67.161,67.687,65.554,66.010,1369793.390
20160107,64.889,66.129,64.880,65.395,1621506.070
20160108,65.604,65.772,64.175,64.681,1434371.586
20160111,65.227,65.227,64.294,64.979,1092406.906
20160112,64.691,65.921,64.622,65.207,698547.140
20160113,65.276,65.762,64.146,64.284,1088770.448
20160114,64.642,66.596,64.284,66.120,2194076.256
20160115,63.451,64.651,63.124,64.027,1574677.058
20160119,65.425,65.425,63.550,63.798,866896.286
20160120,63.679,65.038,63.461,64.522,2551220.842
20160121,64.671,64.820,63.828,64.076,856414.290
20160122,65.108,65.336,64.235,64.562,895298.735
20160125,64.443,64.731,64.037,64.136,967231.936
20160126,64.175,64.780,63.937,64.612,989541.688
20160127,64.691,64.870,63.788,63.908,1462955.394
20160128,63.917,65.802,63.828,64.929,1175099.318
20160129,65.743,66.437,65.465,66.437,2119234.293
20160201,65.862,67.062,65.812,66.576,1957540.783
20160202,65.772,66.239,65.336,65.643,3476892.603
20160203,66.110,66.457,65.068,66.248,1517794.261
20160204,66.268,66.566,65.792,66.338,1455062.043
20160205,65.951,66.050,64.582,65.013,1446093.351
20160208,64.136,64.532,63.065,63.610,1309758.181
20160209,63.114,63.898,62.846,63.441,2101195.156
20160210,63.669,64.066,63.263,63.610,2597956.867
20160211,62.540,63.360,62.330,62.880,1838899.000
20160212,63.290,64.070,62.890,63.800,974874.000
20160216,64.100,65.330,63.890,64.740,1711625.000
20160217,64.900,65.640,64.740,65.570,2301129.000
20160218,65.560,65.690,64.820,64.850,3324661.000
20160219,65.590,66.670,65.340,65.690,3967840.000
20160222,65.990,66.760,65.690,66.160,4589653.000
20160223,65.760,66.200,65.500,65.680,1202857.000
20160224,65.120,66.370,65.070,66.330,869831.000
20160225,66.240,67.460,66.190,67.450,940763.000
20160226,67.620,68.200,67.390,68.000,1766801.000
20160229,67.880,68.420,67.670,67.740,1473693.000
20160301,68.220,69.080,67.750,68.980,1946157.000
20160302,68.900,68.900,68.070,68.420,1312409.000
20160303,68.360,68.710,68.080,68.690,1154888.000
20160304,69.040,69.040,68.030,68.280,1084553.000
20160307,68.090,68.920,68.030,68.830,548075.000
20160308,68.420,68.890,67.710,67.750,1637185.000
20160309,67.940,68.370,67.790,68.040,970939.000
20160310,68.130,69.170,68.030,68.710,1608907.000
20160311,69.000,69.410,68.770,69.200,1279911.000
20160314,68.970,69.620,68.970,69.570,969776.000
20160315,69.230,69.940,69.170,69.695,1106393.000
20160316,69.420,70.260,69.120,70.150,875075.000
20160317,70.420,70.960,70.150,70.880,686381.000
20160318,71.080,71.330,70.670,71.180,1010077.000
20160321,71.000,71.315,70.700,71.240,326331.000
20160322,71.290,71.570,70.970,71.440,414583.000
20160323,71.570,71.570,70.960,70.980,467035.000
20160324,70.910,70.910,70.110,70.780,765832.000
