Date,Open,High,Low,Close,Volume
20160104,14.629,15.238,14.579,15.012,32231290.690
20160105,15.091,15.386,14.737,15.307,28335547.870
20160106,14.904,15.022,14.373,14.530,27174088.050
20160107,14.216,14.612,13.891,13.999,27090973.310
20160108,14.275,14.806,13.912,14.511,28463648.920
20160111,14.619,14.668,13.665,13.911,30264181.070
20160112,14.068,14.363,12.711,13.380,45039285.400
20160113,13.577,13.852,12.534,12.741,40807964.600
20160114,12.839,13.813,12.731,13.734,36259818.000
20160115,12.839,13.321,12.564,12.761,39769815.230
20160119,12.947,13.188,12.004,12.338,34002596.970
20160120,11.846,12.053,11.011,11.807,49370664.290
20160121,12.633,14.373,12.259,13.640,68474201.100
20160122,14.668,15.553,14.402,15.071,60657106.900
20160125,14.884,15.469,13.931,13.950,33824282.600
20160126,14.157,14.904,13.862,14.717,30478350.940
20160127,14.442,15.041,13.827,13.980,38379946.420
20160128,14.996,15.572,14.768,15.155,42839393.200
20160129,15.570,16.470,15.480,16.440,41262651.000
20160201,15.970,16.050,14.910,15.180,36669380.000
20160202,14.790,14.870,14.400,14.660,28629674.000
20160203,14.860,15.650,14.310,15.600,28410849.000
20160204,15.750,16.200,15.320,15.670,30721693.000
20160205,15.430,15.710,15.040,15.660,20863897.000
20160208,14.940,15.120,13.990,14.920,38151907.000
20160209,14.600,15.400,14.190,14.610,25538319.000
20160210,14.560,15.090,14.030,14.600,21674301.000
20160211,14.060,14.550,13.260,13.960,32649217.000
20160212,14.250,14.970,14.230,14.950,20389318.000
20160216,15.540,15.800,15.330,15.620,23156109.000
20160217,17.480,17.620,16.770,17.160,51587399.000
20160218,17.780,17.950,17.070,17.890,37045018.000
20160219,17.610,17.620,17.020,17.370,26395611.000
20160222,17.920,18.140,17.650,17.910,23994449.000
20160223,17.800,17.900,17.350,17.425,17104330.000
20160224,16.960,17.770,16.720,17.710,19718597.000
20160225,17.460,17.910,17.230,17.740,17089318.000
20160226,18.120,18.210,17.710,17.780,18348460.000
20160229,17.970,18.500,17.820,18.070,21248711.000
20160301,18.280,18.300,17.810,18.100,18347999.000
20160302,18.050,18.700,17.820,18.625,24111104.000
20160303,18.580,19.000,18.350,18.900,28455941.000
20160304,19.080,19.320,18.070,18.510,31954311.000
20160307,18.580,18.925,18.500,18.780,25680593.000
20160308,18.630,18.690,17.800,17.800,21217068.000
20160309,18.080,18.520,17.880,17.990,18635397.000
20160310,18.100,18.100,17.350,17.700,27548280.000
20160311,18.050,19.010,18.050,18.620,25606630.000
20160314,18.380,18.840,18.190,18.750,16987849.000
20160315,18.530,18.560,17.670,18.070,15926860.000
20160316,18.220,19.010,18.200,18.890,23572957.000
20160317,19.040,19.110,18.780,18.820,16654859.000
20160318,19.220,19.220,18.550,18.720,24367952.000
20160321,18.710,18.770,18.181,18.370,12521063.000
20160322,18.210,18.650,18.210,18.500,14331438.000
20160323,18.470,18.630,17.710,17.760,20701515.000
20160324,17.360,18.090,17.000,18.080,18145943.000
