Date,Open,High,Low,Close,Volume
20160104,53.100,53.100,51.915,52.390,3052049.000
20160105,52.460,52.750,51.730,52.120,2508464.000
20160106,49.780,50.720,47.700,48.320,7265004.000
20160107,47.670,47.900,46.750,47.110,6857846.000
20160108,47.700,48.000,46.700,46.770,4341704.000
20160111,46.960,47.190,46.176,46.980,3322377.000
20160112,48.060,48.210,46.860,47.660,3304505.000
20160113,47.830,48.030,45.970,46.260,3637634.000
20160114,46.260,47.350,45.440,47.050,3332713.000
20160115,45.600,45.940,44.090,45.020,5291959.000
20160119,45.160,45.510,42.385,42.990,5353970.000
20160120,42.400,45.160,41.880,44.810,5865182.000
20160121,44.940,47.120,44.870,45.770,3963051.000
20160122,46.580,46.850,45.450,45.850,2213615.000
20160125,45.680,45.860,44.900,44.990,2933474.000
20160126,45.190,46.020,44.810,45.985,2358334.000
20160127,45.570,46.050,44.220,44.630,3948107.000
20160128,44.950,45.130,42.730,42.890,5517961.000
20160129,43.190,44.300,42.970,44.150,3287949.000
20160201,43.630,44.400,41.350,43.930,5907620.000
20160202,43.530,43.560,41.970,42.370,3334460.000
20160203,42.890,42.950,41.250,42.510,2933203.000
20160204,42.560,44.020,41.990,43.895,3012785.000
20160205,43.900,44.410,43.370,44.140,2972138.000
20160208,43.750,43.940,42.250,42.650,2715234.000
20160209,42.390,43.510,42.230,42.850,2149368.000
20160210,43.000,44.400,42.710,43.130,2487561.000
20160211,42.110,42.970,41.455,42.140,2976248.000
20160212,42.880,43.750,42.087,43.620,1813101.000
20160216,44.330,46.190,44.130,46.050,2924184.000
20160217,46.740,48.940,46.690,47.910,4717481.000
20160218,47.770,47.990,46.360,46.640,2776775.000
20160219,46.320,46.430,44.300,45.350,3082459.000
20160222,46.010,46.930,45.650,45.850,2364926.000
20160223,45.680,46.330,44.540,45.470,2170359.000
20160224,44.710,45.280,43.470,45.190,2296898.000
20160225,45.220,46.270,44.750,46.270,2135203.000
20160226,46.600,47.605,46.220,47.210,2210473.000
20160229,47.170,47.380,46.250,46.250,1777745.000
20160301,46.890,48.000,46.080,47.970,2460222.000
20160302,47.910,48.540,46.760,47.710,2158976.000
20160303,47.660,50.540,47.520,50.290,4165608.000
20160304,50.430,53.020,50.250,51.330,4193891.000
20160307,50.820,52.810,50.720,52.650,2705893.000
20160308,52.100,53.225,50.480,50.690,2595926.000
20160309,50.910,51.075,49.980,50.980,1283105.000
20160310,50.980,51.670,50.360,51.000,1614830.000
20160311,51.100,52.100,50.180,51.880,2344045.000
20160314,51.100,51.860,50.190,50.840,1621874.000
20160315,50.260,50.450,48.890,49.240,2112154.000
20160316,49.130,50.120,48.520,50.110,2210282.000
20160317,49.310,49.720,47.070,49.320,2225912.000
20160318,49.560,50.483,49.350,50.230,2168926.000
20160321,50.300,50.660,49.860,50.600,1451116.000
20160322,50.390,50.650,49.960,50.220,1787866.000
20160323,50.040,50.160,48.310,48.440,2012753.000
20160324,48.210,48.890,47.110,48.850,2170722.000
