Date,Open,High,Low,Close,Volume
20160104,42.092,42.171,41.635,42.092,13305512.420
20160105,41.983,42.295,41.844,42.241,12714414.870
20160106,41.874,42.181,41.715,42.003,14594909.760
20160107,41.328,41.789,41.129,41.308,17126661.400
20160108,41.328,41.794,41.090,41.189,13149591.230
20160111,41.258,41.536,40.971,41.258,14237151.550
20160112,41.993,42.122,41.546,41.774,20359222.010
20160113,41.844,42.241,41.467,41.526,15856827.720
20160114,41.665,41.854,41.318,41.536,14004172.620
20160115,40.633,41.268,40.609,41.169,18097750.390
20160119,41.447,41.794,41.328,41.586,13468073.960
20160120,41.129,41.298,40.435,41.080,18911284.460
20160121,41.129,41.215,40.768,41.060,14471995.410
20160122,41.318,41.913,41.129,41.725,12580522.510
20160125,41.913,42.171,41.606,41.844,11136053.970
20160126,41.834,42.171,41.606,41.745,11049954.240
20160127,41.854,42.132,41.486,41.755,13173656.920
20160128,41.854,42.390,41.735,42.231,15491809.060
20160129,42.529,42.925,42.320,42.588,15518173.560
20160201,42.270,42.816,42.241,42.667,15754910.950
20160202,42.380,42.459,42.072,42.112,11048852.610
20160203,42.469,42.608,41.953,42.390,14870028.000
20160204,42.370,42.558,42.072,42.181,13440582.250
20160205,42.489,42.657,41.933,42.107,15594066.130
20160208,41.844,42.370,41.576,42.330,16154105.220
20160209,41.903,43.154,41.903,42.985,23874225.420
20160210,43.005,43.064,42.181,42.221,15172712.550
20160211,41.705,42.280,41.655,42.062,15829360.400
20160212,42.390,42.826,42.231,42.777,13201216.630
20160216,42.985,43.124,42.687,43.015,10535267.140
20160217,43.084,43.283,42.945,43.134,11057168.980
20160218,43.292,43.392,42.965,43.273,10031316.980
20160219,43.243,43.422,42.945,43.422,11478596.340
20160222,43.412,43.818,43.292,43.590,18317040.150
20160223,43.392,43.709,43.322,43.342,10203506.071
20160224,43.227,43.600,43.035,43.550,10066922.580
20160225,43.620,43.838,43.521,43.818,10163419.310
20160226,43.699,43.714,42.772,42.806,16491853.510
20160229,42.836,43.273,42.588,42.786,10461240.750
20160301,43.044,43.352,42.836,43.342,10887673.160
20160302,43.134,43.426,43.084,43.422,11219990.100
20160303,43.273,43.640,43.203,43.610,12211227.980
20160304,43.441,43.809,43.342,43.769,12468394.565
20160307,43.570,43.799,43.521,43.650,9452704.000
20160308,43.580,44.126,43.471,43.967,14094292.640
20160309,44.047,44.483,43.947,44.463,17657193.270
20160310,44.493,44.910,44.334,44.900,28159277.720
20160311,45.000,45.250,44.910,45.190,14637589.000
20160314,45.040,45.470,45.000,45.280,11795064.000
20160315,45.080,45.560,45.070,45.240,12833048.000
20160316,45.050,45.170,44.550,45.056,14312912.000
20160317,45.010,45.910,44.965,45.770,17287214.000
20160318,45.850,45.870,45.390,45.580,17408693.000
20160321,45.430,45.890,45.360,45.670,8323004.000
20160322,45.540,45.730,45.390,45.480,9326569.000
20160323,45.400,45.710,45.350,45.480,6983629.000
20160324,45.340,45.600,45.190,45.590,8677134.000
