Date,Open,High,Low,Close,Volume
20160104,37.685,37.755,37.086,37.715,1342939.718
20160105,37.695,37.945,37.620,37.825,1085169.610
20160106,37.216,37.346,36.727,36.977,1152786.600
20160107,36.278,36.757,36.068,36.098,1304122.245
20160108,36.298,36.477,35.798,35.848,1348639.361
20160111,36.018,36.128,35.469,35.779,1447600.116
20160112,36.078,36.198,35.439,35.838,1745159.744
20160113,35.918,36.118,35.010,35.130,1316134.727
20160114,35.249,35.952,35.100,35.709,1342903.813
20160115,34.860,35.479,34.840,35.379,1402153.066
20160119,35.858,35.858,34.670,35.030,1395945.636
20160120,34.341,34.700,34.012,34.211,3056648.755
20160121,34.161,34.760,34.141,34.321,1602964.764
20160122,34.930,35.090,34.471,34.950,845381.125
20160125,34.850,34.925,34.091,34.151,843310.633
20160126,34.291,34.800,34.201,34.581,905911.837
20160127,34.740,35.848,34.690,35.489,1677435.453
20160128,35.838,36.088,35.429,35.903,843965.710
20160129,36.148,36.967,36.068,36.956,1143077.861
20160201,36.737,37.126,36.487,36.907,854105.167
20160202,36.517,36.622,36.038,36.158,1223487.027
20160203,36.447,36.517,35.329,36.228,1613641.150
20160204,36.238,36.587,35.978,36.487,1553530.959
20160205,36.437,36.677,36.088,36.228,1386499.598
20160208,33.812,36.492,33.782,36.258,2279245.840
20160209,35.838,36.557,35.649,36.328,1365180.796
20160210,36.477,36.897,36.188,36.218,1402853.715
20160211,35.319,35.769,35.130,35.469,1317524.086
20160212,35.519,36.048,35.279,35.798,1589697.958
20160216,36.597,36.597,36.018,36.457,1005750.310
20160217,36.797,37.446,36.797,37.316,1595766.530
20160218,37.346,37.446,37.088,37.176,560388.321
20160219,37.066,37.146,36.817,36.847,738678.189
20160222,37.266,37.446,37.186,37.376,866912.101
20160223,37.206,37.426,36.358,36.422,950429.369
20160224,35.978,36.168,35.729,36.118,1203016.650
20160225,36.128,36.377,35.928,36.373,1345455.978
20160226,36.600,37.160,36.310,36.615,1148427.000
20160229,36.540,36.730,36.255,36.340,1305635.000
20160301,36.730,37.400,36.600,37.260,1024847.000
20160302,37.320,37.540,37.130,37.390,1185077.000
20160303,37.390,37.700,37.220,37.680,991780.000
20160304,37.710,38.060,37.520,37.880,991465.000
20160307,37.510,37.670,37.310,37.390,1075596.000
20160308,37.080,37.180,36.650,36.680,1064916.000
20160309,36.950,36.950,36.230,36.360,1249078.000
20160310,36.520,36.680,36.050,36.590,1483218.000
20160311,36.850,37.760,36.830,37.730,1162863.000
20160314,37.560,37.770,37.170,37.630,896651.000
20160315,37.120,37.630,37.120,37.610,822517.000
20160316,37.570,37.870,37.490,37.770,960809.000
20160317,37.750,38.860,37.600,38.770,1135416.000
20160318,38.920,39.400,38.760,39.360,1814329.000
20160321,39.190,39.455,39.060,39.350,800703.000
20160322,39.320,39.615,39.030,39.240,675809.000
20160323,39.220,39.315,38.620,38.650,906811.000
20160324,38.360,38.560,38.185,38.370,543667.000
