Date,Open,High,Low,Close,Volume
20160104,91.647,91.764,90.388,91.066,1916206.430
20160105,91.483,93.847,91.115,93.498,2011141.770
20160106,92.364,93.351,90.775,91.705,2429601.032
20160107,91.066,94.292,91.037,93.469,3366292.772
20160108,93.924,94.350,89.942,90.310,2233798.221
20160111,90.717,91.662,89.419,90.107,1515788.245
20160112,91.289,93.779,91.018,92.112,1901090.771
20160113,92.345,92.800,89.185,89.351,1716686.761
20160114,89.303,91.835,87.840,91.231,1923577.388
20160115,89.506,90.727,88.043,89.448,2430293.635
20160119,90.272,91.328,89.284,90.165,1798599.634
20160120,88.944,89.707,85.893,87.947,2176404.587
20160121,88.111,90.785,87.569,90.456,1884175.431
20160122,91.376,93.013,90.717,92.916,2605397.404
20160125,92.820,93.381,91.967,92.326,1688569.195
20160126,92.364,93.769,91.889,92.645,1069476.029
20160127,92.645,92.781,90.378,91.027,1357649.643
20160128,91.996,92.422,90.456,91.531,1341523.090
20160129,92.471,93.779,92.074,93.149,1443902.892
20160201,92.732,94.108,92.355,93.556,2724261.486
20160202,93.197,94.311,91.541,92.209,1756621.382
20160203,92.752,92.945,90.611,92.190,1728152.785
20160204,88.547,90.097,85.738,85.835,4767696.780
20160205,85.379,85.379,81.950,82.405,4169530.319
20160208,81.969,82.124,77.435,78.588,4674121.910
20160209,78.307,80.962,78.297,79.741,3838657.925
20160210,80.080,82.008,79.925,81.417,2736033.120
20160211,80.225,82.395,80.211,81.359,2905733.666
20160212,82.153,82.928,76.873,79.402,5913024.929
20160216,80.254,80.719,79.005,80.700,3060745.257
20160217,81.340,82.660,81.260,81.850,3229273.000
20160218,81.220,83.825,80.710,83.700,2650830.000
20160219,83.220,84.070,82.280,83.920,2089792.000
20160222,83.940,84.480,83.000,83.960,2911508.000
20160223,83.910,84.760,83.270,83.930,2131675.000
20160224,83.700,83.850,81.866,83.140,2675191.000
20160225,81.810,85.930,81.040,85.680,4249777.000
20160226,85.520,86.230,84.240,84.390,1700415.000
20160229,84.400,85.900,83.590,84.790,1629399.000
20160301,85.390,86.930,84.620,86.910,2579547.000
20160302,86.390,87.490,86.010,87.170,1525863.000
20160303,87.210,87.250,85.150,86.690,2158140.000
20160304,87.010,87.930,86.765,87.500,1478553.000
20160307,87.140,88.150,85.370,85.890,2592190.000
20160308,85.710,86.620,85.450,85.940,1923841.000
20160309,86.190,86.340,85.200,85.740,1051187.000
20160310,86.320,87.030,85.350,86.350,889826.000
20160311,87.000,87.140,85.760,86.300,934425.000
20160314,87.000,87.000,85.840,86.590,1081604.000
20160315,86.380,87.820,86.110,87.020,983605.000
20160316,86.770,87.460,86.300,87.090,1047694.000
20160317,85.910,87.030,85.510,86.750,1240372.000
20160318,87.070,88.770,86.870,87.770,1960837.000
20160321,87.800,87.900,86.602,86.770,1059783.000
20160322,86.550,86.750,85.426,85.730,2692615.000
20160323,85.750,85.830,85.000,85.270,3564642.000
20160324,85.190,86.470,85.100,85.820,1080819.000
