Date,Open,High,Low,Close,Volume
20160104,54.870,55.039,53.271,53.758,436219.586
20160105,53.837,55.654,53.758,54.840,594201.371
20160106,53.897,54.542,53.400,53.907,587384.490
20160107,52.874,53.360,52.308,52.556,506590.703
20160108,53.082,53.539,52.109,52.248,710302.885
20160111,52.427,52.894,51.702,52.437,536345.409
20160112,53.033,55.049,52.923,55.019,636580.919
20160113,55.237,55.481,53.226,53.380,511782.434
20160114,53.609,55.992,53.350,55.416,599222.923
20160115,53.897,54.810,53.410,54.592,481174.936
20160119,55.059,59.041,53.917,55.803,1731982.222
20160120,54.959,55.128,52.467,54.304,664451.574
20160121,54.622,54.800,53.281,53.340,586646.315
20160122,54.046,54.721,53.718,54.612,527134.017
20160125,54.254,54.572,53.142,53.291,341022.790
20160126,51.205,51.205,48.246,48.494,2243369.258
20160127,48.494,49.110,45.276,45.783,1873987.004
20160128,46.170,46.170,43.628,45.187,2246556.256
20160129,45.346,46.240,45.018,45.803,1007734.747
20160201,45.594,46.270,45.356,45.356,788096.044
20160202,44.780,45.028,43.826,44.025,652028.055
20160203,44.790,45.028,43.191,43.777,687151.642
20160204,43.667,44.839,43.419,44.194,748976.865
20160205,43.807,44.333,42.148,42.188,468675.717
20160208,41.552,41.751,40.688,41.314,629965.322
20160209,40.857,41.910,40.827,41.314,1074704.645
20160210,41.711,42.148,41.105,41.205,655110.179
20160211,40.589,40.956,39.864,40.499,799525.568
20160212,41.244,41.711,40.713,41.642,518161.288
20160216,41.900,43.320,41.731,42.903,744047.084
20160217,43.191,44.313,42.645,44.015,955041.493
20160218,43.737,45.157,41.344,41.860,1030779.559
20160219,41.791,41.830,40.648,41.622,981628.137
20160222,42.436,42.853,42.039,42.516,530595.898
20160223,42.396,42.764,41.741,42.198,644085.357
20160224,41.860,42.287,41.254,42.247,436581.095
20160225,42.476,42.992,41.910,42.992,395676.696
20160226,43.201,43.648,42.386,42.615,418409.128
20160229,42.526,43.360,42.446,42.923,284740.632
20160301,43.350,44.075,42.615,44.065,440394.295
20160302,44.075,45.177,43.866,45.038,543894.255
20160303,45.207,45.455,44.691,45.445,386352.568
20160304,45.525,46.647,45.480,46.200,549940.838
20160307,46.438,46.786,45.902,46.538,403082.703
20160308,46.389,46.389,45.308,45.425,315928.170
20160309,45.793,45.902,44.750,45.227,346849.822
20160310,45.793,46.518,45.624,46.200,535720.020
20160311,46.520,47.885,46.280,47.590,565945.000
20160314,47.340,47.500,46.500,46.930,532698.000
20160315,46.760,46.930,46.420,46.720,439075.000
20160316,47.070,47.870,46.590,47.720,472280.000
20160317,47.640,48.540,47.510,48.370,409286.000
20160318,48.270,49.060,48.100,48.940,709382.000
20160321,48.810,49.330,48.590,49.250,525164.000
20160322,48.830,49.230,48.590,49.030,512770.000
20160323,49.030,49.290,48.680,48.970,500455.000
20160324,48.800,49.180,48.420,48.900,408132.000
