Date,Open,High,Low,Close,Volume
20160104,40.984,41.083,40.219,40.755,1173104.684
20160105,40.914,41.282,40.686,41.182,955775.405
20160106,40.358,40.805,39.613,40.080,1639887.117
20160107,39.395,40.350,39.196,39.941,1942210.276
20160108,40.259,40.855,40.001,40.120,2065815.309
20160111,40.298,40.438,38.898,39.414,1324107.374
20160112,39.871,40.110,39.008,39.370,819296.455
20160113,39.554,39.752,37.707,37.836,1099617.681
20160114,37.885,38.868,37.478,38.511,932181.800
20160115,37.677,38.640,37.488,38.422,1227767.555
20160119,38.849,38.948,37.726,38.034,744857.065
20160120,37.488,37.955,36.386,37.538,1345942.861
20160121,37.637,38.719,37.359,38.451,1044969.346
20160122,39.008,39.712,38.675,39.107,796457.147
20160125,39.067,39.663,38.908,39.077,1165717.188
20160126,39.276,39.802,39.067,39.583,603192.148
20160127,39.405,39.852,38.978,39.276,534407.992
20160128,39.633,39.673,38.988,39.434,700416.746
20160129,39.812,41.291,39.802,41.222,1164382.025
20160201,40.964,41.441,40.499,41.341,1070724.169
20160202,42.702,42.702,39.484,40.497,1582125.527
20160203,41.282,41.341,39.752,40.547,1336701.569
20160204,40.438,41.162,40.438,40.904,855734.501
20160205,40.914,41.004,40.070,40.487,832920.212
20160208,40.060,40.328,39.276,40.189,984908.674
20160209,39.683,40.964,39.673,40.686,783616.994
20160210,41.133,41.858,40.755,41.341,689374.150
20160211,40.715,41.113,40.472,40.884,930226.172
20160212,41.441,42.066,41.043,42.026,865665.539
20160216,42.533,42.741,41.977,42.672,783861.824
20160217,43.000,43.248,42.687,43.158,794022.071
20160218,43.248,43.695,42.960,43.377,734252.473
20160219,43.238,43.521,42.851,43.387,888687.954
20160222,43.675,44.340,43.496,44.241,610215.919
20160223,44.261,44.509,43.903,43.913,578490.715
20160224,43.516,44.569,43.417,44.449,632719.038
20160225,44.598,44.688,43.893,44.400,898685.485
20160226,44.698,45.174,44.360,45.016,922834.956
20160229,44.976,45.502,44.350,44.350,837567.450
20160301,44.847,46.008,44.608,45.770,742952.942
20160302,45.800,46.416,45.601,46.396,960204.115
20160303,46.297,46.863,46.098,46.813,410463.967
20160304,46.803,46.863,46.227,46.743,526903.868
20160307,46.664,46.743,46.257,46.555,513836.162
20160308,46.068,46.515,45.443,45.850,678752.565
20160309,46.346,46.416,45.711,45.919,576873.524
20160310,46.148,46.336,44.966,45.800,673290.552
20160311,46.200,46.490,45.845,46.430,699326.000
20160314,46.310,46.946,46.210,46.750,455547.000
20160315,46.560,46.810,46.360,46.480,498810.000
20160316,46.450,47.320,46.210,47.120,615942.000
20160317,47.110,48.230,46.930,48.120,698624.000
20160318,48.130,48.450,47.860,48.130,1101174.000
20160321,48.190,48.190,47.510,47.660,538978.000
20160322,47.410,47.770,47.135,47.460,560914.000
20160323,47.520,47.740,47.020,47.040,904979.000
20160324,46.950,47.200,46.410,47.170,498080.000
