Date,Open,High,Low,Close,Volume
20160104,117.158,117.377,115.279,116.591,425285.831
20160105,116.909,119.410,116.313,118.868,529695.203
20160106,117.615,118.629,115.786,116.790,436843.810
20160107,114.374,116.869,114.205,115.001,522775.445
20160108,115.378,116.587,113.589,113.857,585885.151
20160111,114.414,115.766,114.175,115.199,384309.161
20160112,116.015,116.691,114.175,116.253,427004.960
20160113,116.880,117.078,112.631,113.519,429524.729
20160114,113.569,114.036,112.088,112.863,438046.840
20160115,110.855,111.848,109.225,111.024,567020.352
20160119,112.307,112.560,109.006,109.225,621388.629
20160120,107.714,108.320,105.258,107.405,590946.839
20160121,107.733,109.503,107.236,108.191,665606.318
20160122,109.245,110.945,109.245,110.925,397951.398
20160125,110.905,111.268,109.483,109.652,322567.545
20160126,109.523,111.699,109.483,111.283,401360.292
20160127,110.338,111.481,109.225,109.563,708768.797
20160128,111.839,113.897,109.612,111.312,806900.257
20160129,112.177,116.184,112.038,116.134,747667.438
20160201,117.675,118.043,116.343,116.850,754879.668
20160202,115.965,116.830,115.478,116.035,616297.778
20160203,117.128,117.526,115.100,116.880,575654.087
20160204,116.880,117.854,116.144,116.671,502161.323
20160205,116.850,117.287,116.035,116.889,730267.111
20160208,115.458,116.591,114.822,116.532,587209.556
20160209,115.110,118.440,115.110,117.456,509837.468
20160210,117.844,118.550,116.869,117.386,320553.721
20160211,115.209,115.627,111.770,114.016,441256.713
20160212,114.513,115.339,113.311,114.623,378532.268
20160216,115.597,116.631,114.494,115.518,526917.767
20160217,116.561,117.675,115.696,116.432,555049.080
20160218,116.850,117.523,115.587,116.760,421452.285
20160219,116.671,117.009,115.552,116.899,466227.334
20160222,117.138,119.226,117.138,117.913,501342.512
20160223,117.526,118.719,117.019,117.108,344607.029
20160224,116.502,117.546,115.696,117.207,278561.106
20160225,116.989,118.540,116.870,118.480,276621.725
20160226,118.960,119.870,118.650,118.920,352084.000
20160229,118.840,119.520,117.290,117.310,480024.000
20160301,117.770,119.330,117.380,118.930,569149.000
20160302,118.800,119.830,118.150,119.480,534461.000
20160303,119.740,120.600,118.450,120.570,489580.000
20160304,120.230,120.760,119.020,119.480,479412.000
20160307,119.070,119.940,116.890,118.020,506781.000
20160308,117.660,119.000,116.550,117.930,414138.000
20160309,118.740,118.980,117.360,117.610,422597.000
20160310,118.070,118.985,115.750,116.980,597313.000
20160311,118.340,119.740,117.970,119.050,524413.000
20160314,118.550,119.060,117.480,117.820,236281.000
20160315,116.950,118.300,116.810,117.800,407614.000
20160316,117.660,118.390,116.670,117.930,384965.000
20160317,118.300,118.630,117.510,117.980,442623.000
20160318,118.130,119.530,118.030,118.760,685926.000
20160321,118.290,119.590,117.920,118.790,461160.000
20160322,118.500,119.900,117.800,119.400,1194907.000
20160323,119.320,120.850,119.130,119.570,478607.000
20160324,118.710,119.130,117.500,118.390,375677.000
