Date,Open,High,Low,Close,Volume
20160104,41.404,41.691,41.175,41.672,2714887.365
20160105,41.910,42.078,41.471,41.592,2546278.804
20160106,40.858,41.166,39.985,40.223,2481292.460
20160107,39.380,39.697,38.725,38.883,3325806.385
20160108,39.022,39.191,38.358,38.407,2752690.814
20160111,38.695,38.973,38.219,38.764,2558039.041
20160112,39.161,39.300,38.735,39.201,1816712.323
20160113,39.082,39.687,38.546,38.596,3689728.264
20160114,38.725,39.370,38.467,39.221,2625240.633
20160115,37.326,38.824,37.038,38.645,6740175.930
20160119,39.290,39.786,38.836,39.261,4134349.528
20160120,40.947,41.969,38.983,40.808,7544958.320
20160121,41.542,42.019,41.066,41.681,6141644.260
20160122,42.366,42.515,40.781,41.404,3148302.616
20160125,41.294,41.374,40.461,40.511,4021249.175
20160126,40.660,40.997,40.302,40.759,3899434.568
20160127,40.779,41.314,40.520,40.913,3006225.761
20160128,41.433,41.513,40.590,40.967,3069703.494
20160129,41.195,42.435,41.175,42.396,2911161.417
20160201,41.989,42.520,41.830,42.217,2045908.233
20160202,42.812,42.812,41.324,41.443,4607077.983
20160203,41.731,41.731,40.689,41.205,3875219.535
20160204,41.304,41.791,40.689,41.672,2429380.086
20160205,41.602,41.761,40.560,40.749,2981019.212
20160208,40.431,40.719,40.014,40.550,3277963.137
20160209,40.144,40.987,39.985,40.590,2239845.635
20160210,41.040,41.350,40.230,40.280,2159643.000
20160211,39.740,41.580,39.680,41.200,3886426.000
20160212,41.990,42.080,40.695,41.650,2657663.000
20160216,41.790,42.970,41.650,42.730,2596688.000
20160217,42.930,43.820,42.670,43.650,2452335.000
20160218,43.840,43.960,43.025,43.040,2559880.000
20160219,43.020,43.540,42.840,43.170,2174688.000
20160222,43.630,43.860,43.190,43.540,1401834.000
20160223,43.120,43.560,42.990,43.090,1282120.000
20160224,42.160,43.430,42.160,43.345,1536104.000
20160225,43.450,43.810,42.940,43.810,1087825.000
20160226,44.130,44.180,43.630,43.880,961222.000
20160229,44.010,44.190,43.610,43.620,1185630.000
20160301,41.990,42.770,41.880,42.450,9840501.000
20160302,42.070,42.830,42.020,42.300,11753548.000
20160303,42.170,42.730,41.770,42.510,4421891.000
20160304,42.530,42.790,42.160,42.420,3520312.000
20160307,42.220,43.550,42.150,43.470,3550182.000
20160308,43.060,43.530,42.600,42.810,2093292.000
20160309,42.870,43.340,42.720,43.200,1703258.000
20160310,43.300,43.700,42.680,43.260,1162452.000
20160311,43.570,44.290,43.460,44.230,1934554.000
20160314,44.050,44.230,43.550,43.710,1417596.000
20160315,43.530,43.800,43.380,43.740,1538698.000
20160316,43.640,43.850,43.330,43.760,2231126.000
20160317,43.660,44.150,43.540,43.990,2522116.000
20160318,44.160,44.660,43.560,44.570,2865824.000
20160321,44.370,44.499,43.960,44.350,1291434.000
20160322,44.110,44.530,43.860,44.400,925503.000
20160323,44.390,44.470,44.050,44.120,731983.000
20160324,44.010,44.270,43.770,44.260,799985.000
