Date,Open,High,Low,Close,Volume
20160104,82.823,83.022,81.224,82.297,6202081.920
20160105,82.317,84.809,82.297,83.548,7087891.940
20160106,82.118,84.293,81.924,83.022,4310307.090
20160107,81.224,82.237,80.271,80.847,5139723.825
20160108,81.105,81.930,80.480,80.688,5381456.866
20160111,80.738,81.085,78.285,79.725,4479413.470
20160112,80.053,80.440,78.970,79.834,4015850.271
20160113,80.182,80.261,78.543,78.762,4325715.904
20160114,78.732,82.168,78.066,81.959,7338757.240
20160115,79.665,81.026,79.526,80.678,5614590.839
20160119,81.741,84.214,81.393,82.625,8548101.380
20160120,81.284,82.893,79.854,82.059,8034652.860
20160121,81.989,82.049,80.013,80.847,4630116.660
20160122,81.830,82.585,81.344,81.939,3030457.720
20160125,81.930,82.635,81.056,81.165,2249092.912
20160126,81.731,81.731,80.331,81.403,4315808.780
20160127,81.046,82.684,80.400,81.165,4148878.420
20160128,81.304,81.920,76.011,76.299,9198571.690
20160129,76.775,78.871,76.696,78.474,5760133.810
20160201,77.669,78.613,76.746,77.818,3671154.217
20160202,77.123,77.758,75.554,75.762,4269876.020
20160203,75.931,77.014,73.667,75.554,6611770.790
20160204,75.852,76.008,72.932,73.737,5931530.380
20160205,73.647,75.306,73.022,73.806,5811521.027
20160208,73.041,74.064,72.326,73.677,3799025.470
20160209,72.922,74.442,72.217,73.240,4812471.310
20160210,73.890,74.870,72.980,73.050,4349984.000
20160211,72.200,72.660,70.830,71.350,4940312.000
20160212,71.570,71.730,70.420,71.250,5835597.000
20160216,71.950,73.420,71.900,73.320,3946984.000
20160217,73.990,74.920,73.090,74.650,3608554.000
20160218,73.420,74.550,73.070,73.450,5230186.000
20160219,72.510,73.030,72.200,72.610,6034212.000
20160222,72.910,73.640,72.100,72.990,4385200.000
20160223,73.100,74.500,73.000,73.490,4092095.000
20160224,73.330,74.280,72.640,74.110,3218257.000
20160225,74.270,74.890,73.760,74.830,4064854.000
20160226,75.420,75.790,73.390,73.600,4406069.000
20160229,73.420,73.420,71.970,71.990,4335264.000
20160301,72.630,72.810,71.860,72.720,4229616.000
20160302,72.730,74.050,72.440,74.000,6433506.000
20160303,73.800,73.905,72.580,73.250,4154106.000
20160304,73.370,74.060,72.900,73.600,3206344.000
20160307,73.170,73.960,72.800,73.380,3070103.000
20160308,72.940,74.560,72.890,73.010,2795786.000
20160309,73.510,73.940,73.000,73.530,2175866.000
20160310,74.000,74.230,72.430,73.020,4162601.000
20160311,73.470,74.950,73.190,74.640,3206849.000
20160314,74.260,74.630,73.790,73.910,2819856.000
20160315,71.820,72.010,69.600,71.240,13145233.000
20160316,71.290,72.910,71.170,72.480,4944869.000
20160317,72.230,72.350,67.880,69.070,14601179.000
20160318,69.200,71.050,69.060,70.920,7676682.000
20160321,70.800,71.050,69.840,70.260,5332493.000
20160322,70.210,72.240,70.160,71.900,6186143.000
20160323,71.980,72.240,70.910,71.190,3367084.000
20160324,70.650,71.440,70.200,71.120,2157994.000
