Date,Open,High,Low,Close,Volume
20160104,37.763,39.252,37.397,39.204,1882056.540
20160105,39.252,39.440,37.723,38.157,1365639.384
20160106,37.526,37.526,36.529,37.072,1698592.936
20160107,36.203,36.499,35.365,35.498,1217209.866
20160108,35.888,36.075,34.778,34.842,1450710.477
20160111,35.157,35.157,33.973,34.516,2092489.028
20160112,34.881,35.014,34.299,34.921,2210510.439
20160113,34.931,34.931,32.710,32.947,3411882.009
20160114,33.135,33.135,31.250,32.345,2568776.818
20160115,31.230,31.773,30.836,31.576,2149318.671
20160119,32.257,32.562,31.329,31.487,1643873.062
20160120,30.796,31.507,30.155,31.210,2322948.466
20160121,31.329,32.345,31.210,31.349,1592669.089
20160122,31.329,31.378,29.207,30.796,3078868.682
20160125,30.569,30.619,29.050,29.099,2339304.481
20160126,29.148,29.582,29.020,29.346,1523373.165
20160127,29.612,29.888,28.941,29.207,2060712.068
20160128,29.503,29.740,28.971,28.971,1551025.678
20160129,29.859,30.234,29.355,30.214,1676302.066
20160201,29.642,29.948,29.217,29.434,2184240.053
20160202,28.902,28.980,27.560,27.836,1777142.102
20160203,28.073,28.319,26.849,27.718,1327577.761
20160204,27.550,28.369,27.471,27.915,1301651.659
20160205,27.796,28.132,27.214,27.254,1203277.140
20160208,26.697,26.816,25.564,26.309,3164146.884
20160209,25.594,26.240,24.848,25.763,2330659.585
20160210,26.081,26.747,25.549,26.001,2122638.385
20160211,25.256,25.564,24.779,25.037,2559121.769
20160212,25.803,26.737,25.345,26.468,1459078.323
20160216,26.876,27.194,26.578,27.065,1203836.476
20160217,27.472,27.920,27.453,27.502,1595315.440
20160218,27.592,27.834,27.393,27.641,1758521.210
20160219,27.423,27.453,26.936,27.254,1141259.872
20160222,27.850,28.357,27.761,28.327,1269753.965
20160223,28.238,28.486,27.462,27.572,2141536.325
20160224,27.075,27.910,26.836,27.741,1854205.672
20160225,27.741,27.939,27.333,27.780,1637305.303
20160226,28.079,28.745,27.930,28.417,1001342.673
20160229,28.446,28.615,28.158,28.387,1341295.032
20160301,28.784,30.047,28.755,30.037,2071288.094
20160302,29.838,30.623,29.629,30.613,1500029.352
20160303,30.613,31.886,30.404,31.667,1723743.218
20160304,31.796,32.840,31.518,32.214,1909611.279
20160307,31.716,32.830,31.587,32.780,1466049.626
20160308,32.450,32.920,32.000,32.110,2395297.000
20160309,32.270,32.290,31.570,32.000,795098.000
20160310,32.240,32.240,29.970,31.170,2410191.000
20160311,31.840,33.410,31.760,33.230,1159867.000
20160314,32.980,33.160,32.010,32.840,1041929.000
20160315,32.400,32.490,31.800,32.030,1017488.000
20160316,32.370,33.720,32.150,33.590,1554896.000
20160317,33.470,34.760,33.470,34.380,1990060.000
20160318,34.700,35.390,34.350,34.680,1477716.000
20160321,34.640,35.050,34.140,34.590,854411.000
20160322,34.220,35.400,33.970,34.980,1491014.000
20160323,34.920,35.050,34.190,34.360,1306469.000
20160324,33.810,34.150,33.440,34.010,1135715.000
