Date,Open,High,Low,Close,Volume
20160104,212.653,214.162,209.805,211.591,1711959.009
20160105,212.981,217.298,212.405,216.633,1271253.880
20160106,216.197,219.343,214.638,216.048,1709438.925
20160107,212.554,214.609,210.549,211.730,1703420.782
20160108,213.398,214.728,210.758,211.184,1552980.602
20160111,213.338,214.872,211.601,213.666,2477744.929
20160112,214.410,216.464,212.901,216.246,1236843.905
20160113,217.616,217.973,212.435,212.842,1304641.366
20160114,212.812,215.502,210.668,214.638,1699248.878
20160115,210.400,215.393,210.132,214.370,2618275.811
20160119,215.680,219.124,211.572,213.765,2747817.465
20160120,211.452,214.579,206.053,209.060,2315918.963
20160121,209.616,210.410,207.185,209.180,1460318.876
20160122,212.107,212.266,209.418,210.460,1415103.715
20160125,210.251,211.155,208.425,209.418,1720992.395
20160126,199.880,209.646,198.967,208.356,4253030.626
20160127,208.316,210.053,205.448,206.262,2533961.936
20160128,206.927,207.859,204.624,204.942,1773522.750
20160129,206.271,209.467,204.574,209.318,2218509.586
20160201,208.088,209.755,207.056,208.237,1522321.650
20160202,207.929,209.398,206.083,208.842,1428039.760
20160203,210.410,212.038,208.553,211.333,1955781.306
20160204,211.909,211.909,207.711,208.673,1545758.489
20160205,208.763,210.976,207.929,210.361,1814554.358
20160208,207.760,213.537,207.611,213.001,2343242.725
20160209,211.522,215.700,210.639,214.390,1906713.157
20160210,214.390,215.869,212.018,212.316,1581430.925
20160211,209.616,211.155,202.073,205.587,2262397.843
20160212,206.748,208.366,203.999,204.525,2098553.964
20160216,205.964,207.929,205.299,207.572,1335439.356
20160217,208.425,211.403,207.532,211.075,1050658.992
20160218,210.658,213.884,210.410,212.495,929177.777
20160219,212.901,213.130,211.105,212.018,1130226.620
20160222,213.169,215.154,212.802,213.368,868021.139
20160223,213.219,214.122,212.266,213.566,1158110.685
20160224,211.978,215.363,211.899,214.926,1190378.401
20160225,215.373,218.506,214.390,218.380,1443973.350
20160226,219.220,219.798,217.100,217.190,1094616.000
20160229,216.670,218.100,215.730,215.730,1006270.000
20160301,216.590,218.350,214.880,218.110,1089606.000
20160302,218.090,218.860,215.770,217.140,1115890.000
20160303,216.480,218.620,215.540,218.560,727627.000
20160304,217.910,219.080,217.550,218.690,880257.000
20160307,217.500,218.400,215.300,215.880,914501.000
20160308,213.950,216.220,210.900,215.300,1323251.000
20160309,216.750,217.920,215.740,216.350,882901.000
20160310,216.940,218.560,215.600,216.470,1005633.000
20160311,218.000,218.930,215.960,217.040,1211623.000
20160314,215.620,217.608,215.310,216.620,841186.000
20160315,215.340,217.330,214.810,217.090,923928.000
20160316,217.140,218.940,216.170,218.200,822116.000
20160317,218.280,219.960,217.410,219.280,1116708.000
20160318,219.990,221.100,218.370,220.850,1531648.000
20160321,220.410,223.190,220.410,221.230,1069804.000
20160322,221.050,222.730,220.480,220.750,791102.000
20160323,220.890,222.550,220.370,221.270,681131.000
20160324,221.050,221.710,217.140,218.000,1179081.000
