Date,Open,High,Low,Close,Volume
20160104,77.456,77.894,76.520,77.406,2174601.229
20160105,77.844,78.233,76.829,77.825,1747027.392
20160106,76.311,76.490,72.227,73.253,4451932.398
20160107,71.809,73.223,71.172,71.421,3239624.737
20160108,72.088,72.297,69.150,70.195,4401031.761
20160111,70.843,71.092,69.369,70.654,2426518.501
20160112,72.227,72.656,70.036,71.152,2195208.615
20160113,70.096,72.008,68.527,68.811,2912796.997
20160114,69.498,72.546,68.602,71.670,4336291.160
20160115,68.971,68.981,65.868,67.686,5701949.866
20160119,68.821,69.259,66.690,67.178,2679503.511
20160120,67.138,70.076,66.749,69.279,4102647.409
20160121,69.668,69.757,67.307,67.835,3517683.922
20160122,69.269,70.176,67.895,68.443,2102147.710
20160125,68.891,68.921,67.556,67.725,2110007.528
20160126,67.785,68.642,67.178,68.483,1638803.420
20160127,70.584,70.584,66.969,67.198,2199622.036
20160128,68.234,70.713,67.865,69.170,4184884.472
20160129,69.747,72.158,69.747,71.510,3548672.780
20160201,71.500,73.024,70.753,72.327,2528239.496
20160202,71.311,71.948,69.837,70.265,3293164.719
20160203,71.042,71.510,69.040,71.122,2998967.446
20160204,71.072,71.774,70.275,71.181,1978508.509
20160205,70.574,70.893,67.755,68.692,2843836.586
20160208,67.855,68.089,64.738,65.803,2368758.803
20160209,64.817,66.142,63.931,65.295,2754737.015
20160210,65.734,66.421,64.827,65.186,3206857.762
20160211,64.160,64.534,62.845,63.951,3356625.262
20160212,65.305,66.351,63.971,65.783,1978267.351
20160216,66.540,68.194,66.381,67.317,2492501.924
20160217,67.845,69.045,67.347,68.971,2468868.538
20160218,69.279,69.279,67.457,67.496,2452114.745
20160219,68.871,71.142,68.871,69.498,4058435.592
20160222,70.206,71.172,69.200,70.066,3483750.470
20160223,69.439,70.066,68.672,68.971,1790871.457
20160224,68.483,70.245,67.915,70.195,1697614.894
20160225,70.235,72.168,69.857,72.138,2726910.976
20160226,72.566,73.861,72.197,73.512,2876205.428
20160229,73.064,74.319,72.795,72.984,2316649.359
20160301,73.203,75.633,72.715,75.245,2810999.813
20160302,75.036,75.195,73.532,74.259,2268356.393
20160303,74.249,74.697,73.602,74.558,1322922.397
20160304,74.916,74.946,73.502,74.030,1555204.002
20160307,73.740,75.080,73.410,75.040,2176245.000
20160308,74.710,75.090,73.260,73.320,2442171.000
20160309,73.550,74.410,73.060,73.810,1585341.000
20160310,74.130,75.960,73.830,75.230,2882280.000
20160311,75.630,76.500,75.210,76.170,2044207.000
20160314,75.660,77.000,75.360,76.910,1427549.000
20160315,77.060,77.480,76.550,77.170,2093637.000
20160316,77.100,77.870,76.500,77.810,2274399.000
20160317,78.560,79.500,77.480,79.270,2353777.000
20160318,79.570,80.050,78.835,79.420,2345196.000
20160321,79.190,79.800,78.950,79.760,1413964.000
20160322,80.050,80.430,79.110,80.190,1369550.000
20160323,79.850,80.010,79.320,79.350,1925047.000
20160324,78.740,78.900,77.490,78.880,1786747.000
