Date,Open,High,Low,Close,Volume
20160104,16.970,17.119,16.701,16.960,1984518.218
20160105,16.990,17.318,16.820,16.990,1424434.110
20160106,16.731,16.910,16.631,16.731,1776007.526
20160107,16.432,16.631,16.332,16.482,3167116.872
20160108,16.522,16.552,15.864,15.874,2688620.728
20160111,15.984,16.034,15.635,15.840,1958021.189
20160112,15.934,15.954,15.446,15.616,2233940.948
20160113,15.685,15.835,15.317,15.347,2416554.429
20160114,15.377,16.118,15.137,16.054,3024139.011
20160115,15.605,15.765,15.367,15.675,3384838.536
20160119,15.805,15.947,15.476,15.884,4661387.941
20160120,15.576,16.318,15.416,16.213,8201492.618
20160121,16.253,16.751,16.188,16.422,2666854.852
20160122,16.731,16.955,16.591,16.761,1873503.797
20160125,16.681,16.801,16.253,16.422,2178921.356
20160126,16.432,16.791,16.253,16.273,2888521.992
20160127,16.233,16.487,16.064,16.133,5761267.280
20160128,16.323,16.352,16.054,16.104,1754773.419
20160129,16.193,16.512,16.153,16.482,2331151.518
20160201,16.402,16.581,16.113,16.482,1506350.992
20160202,16.323,16.352,15.800,15.914,2188780.796
20160203,16.004,16.348,15.725,16.323,1706275.470
20160204,16.343,16.781,16.253,16.362,1680490.353
20160205,16.303,16.332,15.805,15.974,2347205.638
20160208,15.894,15.914,15.167,15.386,2273238.271
20160209,15.257,15.411,14.769,14.898,2170851.265
20160210,14.938,15.207,14.829,14.839,1542905.879
20160211,14.689,14.799,14.271,14.545,2567196.836
20160212,14.719,14.978,14.500,14.714,2163843.837
20160216,14.918,15.008,14.689,14.739,1725562.147
20160217,15.008,15.177,14.819,15.157,2721293.293
20160218,15.197,15.207,14.859,14.918,1563624.747
20160219,14.889,14.918,14.610,14.689,1777425.413
20160222,14.928,15.187,14.889,14.978,2548821.312
20160223,14.948,15.043,14.699,14.699,1629786.967
20160224,14.520,14.600,14.261,14.570,2491470.356
20160225,14.600,14.829,14.211,14.570,2247391.221
20160226,14.679,14.988,14.500,14.759,2066658.608
20160229,14.799,14.849,14.351,14.396,2312340.877
20160301,14.480,15.207,14.400,15.197,2216325.197
20160302,15.177,15.601,15.177,15.496,1787147.388
20160303,15.476,15.566,15.436,15.526,1335766.267
20160304,15.536,15.835,15.476,15.616,1430336.011
20160307,15.526,15.795,15.396,15.775,2419627.101
20160308,15.655,15.785,15.347,15.347,1650755.554
20160309,15.466,15.486,15.127,15.127,1515921.289
20160310,15.230,15.345,14.915,15.080,2800080.000
20160311,15.200,15.380,15.100,15.260,4011381.000
20160314,15.200,15.438,15.010,15.390,2229536.000
20160315,15.170,15.250,14.400,14.510,3893291.000
20160316,14.430,15.260,14.310,15.190,3852207.000
20160317,15.140,15.790,14.960,15.780,4250331.000
20160318,15.910,16.660,15.860,16.610,4226294.000
20160321,16.620,16.750,16.430,16.550,1888189.000
20160322,16.450,16.565,16.260,16.320,1838623.000
20160323,16.200,16.330,15.990,16.010,2094879.000
20160324,15.810,16.080,15.778,16.030,1811560.000
