Date,Open,High,Low,Close,Volume
20160104,41.625,42.114,41.106,41.905,5382154.085
20160105,42.324,43.003,41.360,42.384,8120933.360
20160106,41.895,43.422,41.725,42.793,5631405.830
20160107,42.873,43.083,41.486,41.875,7641685.090
20160108,42.334,42.983,42.035,42.145,6786567.100
20160111,42.224,42.813,41.176,41.965,5648170.820
20160112,42.434,42.693,41.256,42.604,5554099.580
20160113,42.833,42.903,40.008,40.338,5827929.860
20160114,40.238,40.892,39.190,40.378,7510954.200
20160115,39.240,40.088,38.770,39.699,7613693.362
20160119,40.596,40.667,39.060,39.519,6621843.200
20160120,38.940,40.178,37.074,39.250,11906801.120
20160121,39.919,41.426,38.861,39.429,11847992.910
20160122,39.928,40.028,38.785,38.930,6665841.500
20160125,39.280,39.310,38.062,38.132,8122883.400
20160126,38.132,38.421,37.703,38.301,5663045.391
20160127,38.671,38.930,36.815,37.223,8013272.193
20160128,37.413,37.872,35.646,36.125,8292780.090
20160129,36.107,37.603,35.437,37.543,7859323.170
20160201,37.553,38.521,37.323,38.231,6150142.540
20160202,37.952,38.052,36.185,36.390,5899554.440
20160203,36.784,37.034,35.576,36.764,7240655.700
20160204,36.375,37.633,36.355,37.473,5867248.480
20160205,37.203,37.533,35.447,35.626,7221699.630
20160208,35.067,35.077,33.899,34.658,8696076.850
20160209,34.319,35.718,34.239,35.187,6932670.260
20160210,35.606,36.016,35.177,35.476,5604853.820
20160211,34.907,35.696,34.708,35.267,5305745.870
20160212,35.736,36.185,35.027,36.165,6095022.810
20160216,36.535,37.114,36.275,37.004,5965913.058
20160217,37.403,38.620,37.393,38.421,6891804.550
20160218,38.651,39.040,38.331,38.940,6285370.851
20160219,38.840,39.384,38.501,39.250,5121425.644
20160222,39.489,40.927,39.479,40.747,9335783.320
20160223,40.627,41.159,40.328,40.997,5242390.070
20160224,40.487,41.326,39.908,41.276,6008064.663
20160225,41.516,42.524,41.402,42.514,7451977.321
20160226,42.574,42.783,41.855,42.095,6260588.629
20160229,41.855,42.434,41.541,41.865,5769457.870
20160301,42.220,42.790,42.070,42.480,5420420.000
20160302,42.350,42.490,41.570,41.930,5975910.000
20160303,42.000,42.140,41.410,42.040,5328553.000
20160304,42.160,42.240,41.190,41.500,5868391.000
20160307,41.130,41.840,40.710,41.480,5794115.000
20160308,40.640,42.030,39.990,41.580,7814768.000
20160309,41.590,42.410,41.310,42.305,6213887.000
20160310,42.380,42.570,41.670,42.250,4669689.000
20160311,42.530,43.460,42.400,43.340,5593809.000
20160314,43.170,44.030,43.105,43.810,5458650.000
20160315,43.530,43.800,43.160,43.640,5336820.000
20160316,43.490,44.290,43.305,44.160,4262712.000
20160317,44.080,44.200,43.500,43.610,5086582.000
20160318,43.600,44.580,43.430,44.500,6921368.000
20160321,44.500,45.390,44.490,44.990,5175644.000
20160322,44.530,45.050,44.350,44.620,3917382.000
20160323,44.720,44.938,44.168,44.440,3901246.000
20160324,44.350,44.350,43.270,44.070,4840299.000
