Date,Open,High,Low,Close,Volume
20160104,53.470,53.530,51.970,53.120,2154995.000
20160105,52.420,54.020,52.360,53.750,2060011.000
20160106,52.940,53.440,52.300,52.930,1917752.000
20160107,51.780,52.630,50.540,50.680,1803685.000
20160108,51.010,51.260,49.850,49.970,1660750.000
20160111,50.110,50.420,48.840,49.450,2023632.000
20160112,49.990,50.260,48.210,48.750,2664964.000
20160113,49.010,49.330,47.130,47.380,2718577.000
20160114,47.430,48.730,45.910,48.350,3692720.000
20160115,47.450,48.090,45.940,46.720,2910610.000
20160119,47.390,47.860,46.749,47.130,1928598.000
20160120,46.390,46.460,43.620,45.560,3145704.000
20160121,45.860,46.670,45.510,45.540,1794584.000
20160122,46.420,48.120,46.370,47.810,2354842.000
20160125,47.620,47.860,46.680,46.760,1279158.000
20160126,46.870,47.910,46.790,47.820,1529003.000
20160127,47.570,48.770,47.030,47.640,1462097.000
20160128,48.090,48.340,47.010,47.160,1618250.000
20160129,47.620,48.890,47.540,48.820,2457039.000
20160201,48.210,49.070,47.950,48.870,2587694.000
20160202,48.200,48.200,47.150,47.360,2200809.000
20160203,47.800,48.230,45.870,46.760,6426301.000
20160204,49.000,50.990,48.540,50.020,5689564.000
20160205,51.210,51.210,47.010,47.160,6402279.000
20160208,46.370,46.440,42.450,42.730,4597763.000
20160209,42.280,45.010,41.730,44.330,3971840.000
20160210,44.750,46.640,44.460,45.650,3414574.000
20160211,45.180,46.780,44.640,45.870,3582786.000
20160212,46.500,46.820,45.260,46.660,1656192.000
20160216,47.290,48.200,47.100,47.980,2416955.000
20160217,48.420,49.360,48.310,49.090,2301679.000
20160218,49.200,49.440,48.240,48.360,2113706.000
20160219,48.060,48.300,46.780,48.190,1924449.000
20160222,48.720,49.510,48.590,48.940,2001998.000
20160223,48.820,48.855,47.560,48.080,1497994.000
20160224,47.650,48.665,47.010,48.630,1953846.000
20160225,48.870,49.500,47.400,48.610,1914919.000
20160226,48.800,49.090,48.250,48.990,2252358.000
20160229,48.840,49.540,48.450,48.530,2823206.000
20160301,49.010,49.590,48.410,49.560,2198899.000
20160302,49.380,50.740,49.290,50.700,1936895.000
20160303,50.260,51.960,49.570,51.470,3633988.000
20160304,51.590,51.720,50.520,50.800,1978068.000
20160307,50.320,51.520,50.010,50.930,1669756.000
20160308,50.420,50.700,49.250,49.920,1981912.000
20160309,50.080,51.290,49.860,50.890,1731763.000
20160310,50.920,51.620,50.300,50.940,2109493.000
20160311,51.770,52.010,51.300,51.970,2684274.000
20160314,51.520,52.110,51.430,51.890,1120917.000
20160315,51.330,51.400,50.500,50.940,2412318.000
20160316,50.880,52.290,50.620,52.150,1277133.000
20160317,52.140,52.880,51.680,52.525,1334140.000
20160318,52.690,53.340,52.370,52.652,2472416.000
20160321,52.360,52.660,51.960,51.980,1453140.000
20160322,51.750,52.410,51.560,52.030,1310885.000
20160323,52.000,52.170,51.180,51.270,1226674.000
20160324,50.980,51.660,50.470,51.600,1223682.000
