Date,Open,High,Low,Close,Volume
20160104,31.354,31.502,29.951,30.257,923060.999
20160105,30.514,30.771,30.188,30.247,510030.803
20160106,29.704,30.188,28.943,30.050,663402.229
20160107,29.388,29.605,28.607,28.696,558876.730
20160108,28.893,28.982,28.044,28.113,546246.945
20160111,28.271,28.360,27.411,27.816,434233.584
20160112,28.231,29.220,27.569,28.291,1173903.295
20160113,28.340,29.378,28.222,28.320,826955.408
20160114,28.459,29.506,28.192,29.061,509744.444
20160115,27.984,28.172,27.194,27.886,692938.335
20160119,28.222,28.231,26.888,27.451,856676.558
20160120,26.897,26.917,25.672,26.473,725853.265
20160121,26.423,27.085,26.008,26.453,470028.706
20160122,27.075,27.559,27.016,27.510,648331.579
20160125,27.332,27.490,26.403,26.453,342181.749
20160126,26.670,27.273,26.542,26.986,464416.324
20160127,26.779,27.451,26.720,26.986,692719.731
20160128,27.342,27.500,26.492,26.621,693096.078
20160129,26.927,27.866,26.922,27.856,569315.285
20160201,27.668,27.816,27.224,27.629,361039.343
20160202,27.253,27.382,26.552,26.680,316526.801
20160203,26.779,27.125,26.127,26.690,495134.368
20160204,26.631,27.806,26.611,27.411,515162.495
20160205,27.352,27.856,27.233,27.362,380564.626
20160208,26.977,27.135,25.534,26.038,427111.138
20160209,25.613,26.117,24.951,25.020,581030.152
20160210,25.158,25.316,24.832,24.852,631561.931
20160211,24.477,24.862,24.210,24.259,602067.630
20160212,24.516,24.565,23.824,24.160,766782.354
20160216,24.575,25.484,24.417,25.455,949418.474
20160217,25.682,28.439,25.593,28.340,1584677.664
20160218,28.963,30.534,28.795,30.405,1194875.144
20160219,30.237,30.237,28.923,29.931,1059596.913
20160222,30.386,31.176,30.247,30.998,1257361.192
20160223,31.137,31.314,28.884,29.694,1302692.735
20160224,29.289,30.336,29.032,30.020,873529.126
20160225,30.030,30.630,29.470,30.610,707605.000
20160226,30.840,30.990,29.940,30.120,600033.000
20160229,30.090,31.590,30.060,31.000,706189.000
20160301,31.500,32.050,31.250,31.870,783526.000
20160302,31.750,32.160,31.420,31.930,519007.000
20160303,31.940,32.760,31.790,32.320,661953.000
20160304,32.460,32.890,32.310,32.590,656146.000
20160307,32.550,33.680,32.550,33.550,576668.000
20160308,33.310,33.310,31.230,31.680,560924.000
20160309,31.800,32.580,31.640,32.250,461486.000
20160310,32.410,32.710,31.190,31.910,508440.000
20160311,32.250,33.599,32.230,33.360,449316.000
20160314,32.980,33.370,31.020,31.140,1252919.000
20160315,30.820,31.200,29.900,30.510,928240.000
20160316,30.390,30.680,29.210,30.220,1100666.000
20160317,30.180,31.205,30.060,30.980,878014.000
20160318,30.970,31.740,30.880,31.240,571512.000
20160321,31.070,31.390,30.841,31.350,364734.000
20160322,31.100,31.690,31.070,31.510,341862.000
20160323,31.440,31.530,31.010,31.110,361005.000
20160324,31.000,31.250,30.810,31.240,366614.000
