Date,Open,High,Low,Close,Volume
20160104,85.420,86.400,84.697,86.371,2341848.833
20160105,86.945,87.479,85.390,86.747,2179944.764
20160106,84.262,84.717,81.836,82.678,3681219.174
20160107,79.945,81.767,78.826,79.252,4631347.690
20160108,79.718,80.737,78.361,78.767,3680256.665
20160111,78.064,78.193,74.777,75.559,5851928.550
20160112,76.668,77.490,75.084,77.391,4384211.490
20160113,78.163,78.628,74.074,74.183,4793405.353
20160114,74.163,76.896,73.203,75.612,4321133.316
20160115,73.975,75.203,73.401,74.233,4749354.850
20160119,74.272,75.223,71.461,73.263,4007965.530
20160120,71.025,72.678,68.372,71.619,4906507.049
20160121,71.708,74.045,70.837,73.817,4288322.030
20160122,76.658,79.203,76.450,77.698,5795994.962
20160125,77.718,77.856,75.044,75.114,3592931.800
20160126,75.678,76.955,74.797,76.866,3453603.390
20160127,76.480,77.886,75.262,75.945,2882852.800
20160128,77.965,79.391,76.391,76.609,3678362.783
20160129,76.737,77.728,75.322,77.292,4251115.312
20160201,76.817,77.183,75.233,76.391,5119658.180
20160202,74.480,75.530,73.084,74.441,4578597.404
20160203,74.639,75.688,70.787,74.718,5954758.690
20160204,75.064,79.660,75.064,78.866,5430176.617
20160205,78.054,80.539,77.856,78.955,5108666.602
20160208,77.529,77.559,72.411,74.955,4868320.040
20160209,74.252,75.728,73.322,74.985,3497951.280
20160210,74.837,76.837,73.807,74.272,2136886.034
20160211,72.569,73.995,71.431,72.688,3836173.996
20160212,74.074,75.767,72.668,75.688,3268775.767
20160216,76.837,77.619,76.134,77.133,3239271.850
20160217,78.213,80.232,78.044,78.282,3551635.566
20160218,78.708,79.450,77.935,79.411,3579547.613
20160219,78.866,79.203,77.153,77.391,3010981.602
20160222,78.599,80.589,78.599,79.727,2476821.747
20160223,79.292,79.510,75.827,76.243,2546007.435
20160224,75.243,77.629,74.292,77.480,2902353.056
20160225,77.460,78.560,76.330,78.200,2404615.000
20160226,80.640,81.160,79.465,80.150,3402667.000
20160229,80.520,82.010,79.940,80.210,3596879.000
20160301,81.090,81.610,79.750,80.890,3634360.000
20160302,81.360,81.720,79.390,80.410,3405158.000
20160303,80.170,80.900,79.720,79.890,3438876.000
20160304,80.390,83.250,79.750,81.990,5164322.000
20160307,82.110,84.260,81.851,84.250,3357790.000
20160308,83.190,84.100,80.540,80.580,6007899.000
20160309,81.950,82.930,81.290,82.590,6741714.000
20160310,82.680,85.040,82.360,84.990,4451741.000
20160311,86.490,87.830,86.080,87.480,4086879.000
20160314,86.810,87.450,84.630,84.730,4089478.000
20160315,83.700,84.260,82.520,84.220,4148578.000
20160316,83.300,86.420,83.300,86.360,3073828.000
20160317,86.550,89.180,86.350,88.610,4633268.000
20160318,89.720,89.990,86.790,87.570,6028970.000
20160321,87.620,88.200,85.520,86.220,3291307.000
20160322,85.790,86.700,84.850,86.070,2675330.000
20160323,85.850,85.920,84.260,84.710,3516895.000
20160324,83.610,85.400,83.280,85.370,2476477.000
