Date,Open,High,Low,Close,Volume
20160104,65.683,65.952,64.727,65.135,3637660.275
20160105,65.235,65.793,64.986,65.325,2341918.539
20160106,64.229,64.438,62.296,63.382,4001390.770
20160107,62.037,62.894,61.449,61.599,5602820.983
20160108,62.127,63.571,61.778,62.435,4066222.288
20160111,62.914,63.262,61.888,62.944,4363746.022
20160112,62.934,64.259,62.934,64.069,4801490.325
20160113,63.581,63.790,59.895,60.044,5353152.556
20160114,60.064,61.888,58.700,60.513,7087642.440
20160115,58.799,59.925,58.102,59.327,8171194.250
20160119,59.158,60.274,57.404,58.142,4880879.400
20160120,57.384,60.373,56.219,59.586,7555674.270
20160121,59.606,62.326,58.929,61.429,5920918.730
20160122,62.346,63.372,61.379,62.226,4518332.529
20160125,62.166,62.276,59.766,59.875,3108997.310
20160126,60.523,61.828,60.054,61.708,2984956.302
20160127,61.579,62.216,59.785,60.423,3905131.878
20160128,61.031,61.404,58.580,58.988,4477608.560
20160129,59.666,61.078,59.148,61.041,2810468.693
20160201,60.094,61.668,59.785,61.200,3320067.345
20160202,60.772,60.772,58.759,58.859,3810688.203
20160203,58.939,59.507,57.464,59.158,3433941.003
20160204,59.058,60.672,58.660,60.493,4169762.420
20160205,60.453,60.483,58.909,59.785,3471085.192
20160208,59.367,59.576,57.673,59.208,4499984.240
20160209,58.779,61.399,58.779,60.543,4996153.770
20160210,61.399,62.605,60.951,61.150,3368588.928
20160211,60.274,61.947,60.005,61.359,4523580.672
20160212,61.828,63.661,61.399,63.551,3564366.280
20160216,64.029,65.300,63.741,64.806,5128169.549
20160217,65.494,67.626,65.404,66.440,4731690.341
20160218,63.860,65.434,63.761,64.687,7726192.640
20160219,64.259,65.564,64.010,65.454,3469909.231
20160222,65.962,67.287,65.932,66.550,5182237.979
20160223,66.510,66.860,66.050,66.270,2806016.000
20160224,65.640,67.260,65.015,67.030,3578452.000
20160225,67.500,68.330,66.775,68.290,3896049.000
20160226,68.970,69.000,67.800,68.150,2799130.000
20160229,68.330,68.850,67.680,68.150,3252709.000
20160301,68.330,69.180,68.280,68.930,3255386.000
20160302,68.560,69.000,68.140,68.820,2539125.000
20160303,68.570,69.005,68.060,68.670,2263596.000
20160304,68.800,69.280,68.400,68.980,1647738.000
20160307,68.510,69.550,68.352,69.540,2541801.000
20160308,68.900,69.450,68.180,68.410,3995900.000
20160309,68.740,68.770,68.090,68.600,2186747.000
20160310,68.720,68.990,66.720,67.970,2168113.000
20160311,68.920,69.170,68.390,68.880,1723647.000
20160314,71.000,71.300,69.940,70.930,8550560.000
20160315,70.060,71.030,70.010,70.390,3783330.000
20160316,69.980,71.690,69.763,71.260,3227040.000
20160317,70.970,71.820,70.640,71.800,4390687.000
20160318,72.600,73.890,72.250,73.160,12184280.000
20160321,72.520,72.850,71.820,72.290,12189579.000
20160322,70.820,71.280,69.990,70.920,6749803.000
20160323,70.550,70.840,69.190,69.600,6459248.000
20160324,69.020,69.720,68.370,68.640,5205427.000
