Date,Open,High,Low,Close,Volume
20160104,194.738,195.307,192.503,194.469,1146963.693
20160105,194.818,196.485,194.249,195.298,890346.389
20160106,187.791,193.371,187.791,192.672,1086077.056
20160107,189.408,189.987,187.332,187.352,1761644.302
20160108,188.130,189.049,181.672,182.061,1434043.931
20160111,168.686,170.472,161.429,163.275,8871148.410
20160112,164.483,166.340,162.816,163.714,3228014.054
20160113,163.585,165.671,156.018,157.556,4028544.686
20160114,157.356,165.898,157.017,164.483,2878948.161
20160115,161.628,164.852,158.514,164.703,3081157.122
20160119,166.190,169.674,164.723,169.255,3345056.226
20160120,166.440,170.333,162.048,169.704,3371217.769
20160121,169.694,172.189,168.276,170.153,2024226.395
20160122,171.990,173.327,169.264,169.923,2314220.699
20160125,170.442,172.598,169.494,169.863,1890698.476
20160126,171.411,171.411,166.729,170.672,1695226.494
20160127,169.654,171.181,165.831,167.248,1756791.377
20160128,156.028,170.542,152.914,159.901,4041843.951
20160129,159.512,162.766,157.336,160.690,2401471.513
20160201,159.512,160.380,156.038,158.863,2487481.636
20160202,157.855,159.657,154.741,154.850,2841323.526
20160203,156.208,156.722,148.925,152.155,4124560.133
20160204,151.467,157.496,149.281,153.533,2511361.801
20160205,151.766,156.118,150.239,154.012,2534499.915
20160208,152.954,153.383,148.961,151.337,2638966.908
20160209,149.670,152.914,148.013,150.219,1829336.976
20160210,150.668,155.020,150.249,152.724,2143306.172
20160211,149.919,151.796,148.272,149.590,2651667.646
20160212,151.247,151.926,148.392,150.723,1789623.726
20160216,151.726,153.363,150.369,152.275,1245818.688
20160217,153.762,157.626,153.703,155.240,1943127.871
20160218,154.870,156.477,154.597,155.689,1213749.913
20160219,155.439,155.709,152.854,153.982,1298634.594
20160222,155.270,156.468,154.551,156.268,675332.805
20160223,155.719,156.537,153.493,153.732,1191513.827
20160224,153.014,154.940,151.636,154.391,953127.379
20160225,155.889,156.547,153.233,155.120,1056137.995
20160226,156.000,158.680,154.560,156.750,848477.000
20160229,156.560,157.980,155.280,155.610,1128571.000
20160301,154.400,156.640,154.380,156.620,1122597.000
20160302,156.330,161.735,155.800,158.640,1623376.000
20160303,158.160,163.040,157.610,162.700,1420419.000
20160304,162.590,164.920,162.410,162.740,1038733.000
20160307,162.000,163.970,161.660,163.040,901420.000
20160308,162.080,163.190,157.560,158.800,1634770.000
20160309,160.000,163.520,158.910,161.840,1234599.000
20160310,162.670,163.660,159.570,161.170,1178945.000
20160311,162.130,166.752,161.760,166.430,815752.000
20160314,166.380,167.199,163.960,164.910,761186.000
20160315,162.810,163.590,156.780,157.250,1596438.000
20160316,156.590,157.660,155.220,156.020,1544723.000
20160317,155.000,155.700,149.600,151.670,3013635.000
20160318,152.000,159.000,151.520,158.170,2142548.000
20160321,157.960,158.686,155.370,156.810,881011.000
20160322,156.580,157.440,155.000,156.630,1150380.000
20160323,157.000,158.129,154.890,155.030,1263267.000
20160324,154.020,158.400,153.750,157.290,1334679.000
