Date,Open,High,Low,Close,Volume
20160104,44.090,44.450,43.250,43.780,9015479.000
20160105,43.790,44.450,43.650,44.140,9335372.000
20160106,43.330,44.170,43.280,43.990,12012868.000
20160107,42.970,43.040,41.350,41.585,16735188.000
20160108,41.960,42.060,40.970,40.980,11039741.000
20160111,41.370,41.800,41.038,41.670,8689522.000
20160112,42.020,42.290,41.510,42.100,6299447.000
20160113,42.110,42.330,40.520,40.600,11373769.000
20160114,41.550,41.850,40.590,41.350,8829365.000
20160115,40.170,40.860,39.780,40.310,16197750.000
20160119,41.090,41.660,40.650,41.460,11641050.000
20160120,40.890,41.150,39.680,40.660,11207005.000
20160121,40.820,40.910,40.000,40.330,8847622.000
20160122,41.070,41.735,40.690,41.590,8400749.000
20160125,41.680,41.790,40.160,40.200,12251215.000
20160126,40.300,41.550,40.240,41.360,7381947.000
20160127,41.340,41.960,40.780,41.120,7164355.000
20160128,41.820,42.530,41.430,41.550,10391198.000
20160129,42.050,43.090,41.820,42.980,8479455.000
20160201,42.460,42.955,42.100,42.710,7121179.000
20160202,42.120,42.700,41.670,41.960,9976646.000
20160203,38.460,40.080,38.220,39.230,24700028.000
20160204,39.050,39.090,37.860,38.015,15959387.000
20160205,38.160,38.680,37.370,37.690,38788288.000
20160208,37.270,37.350,35.880,36.330,15342514.000
20160209,36.210,37.380,36.130,37.050,10453388.000
20160210,37.700,38.565,37.380,38.030,11274344.000
20160211,37.150,37.940,36.890,37.670,9887625.000
20160212,38.240,38.240,37.630,38.090,5706519.000
20160216,38.210,39.150,38.210,39.120,7581729.000
20160217,39.540,39.920,39.150,39.790,8111223.000
20160218,39.960,40.280,39.800,39.970,6402587.000
20160219,39.390,40.765,39.390,39.810,12525700.000
20160222,40.000,40.130,39.500,39.710,8910278.000
20160223,39.560,40.170,39.510,40.065,7096040.000
20160224,39.960,41.000,39.630,40.770,8223985.000
20160225,41.270,41.590,40.720,41.590,7308544.000
20160226,41.790,41.829,40.670,40.690,8860378.000
20160229,40.590,41.170,40.500,40.530,5942977.000
20160301,40.990,41.420,40.660,41.330,6041046.000
20160302,40.960,41.280,40.550,41.210,6558757.000
20160303,41.110,41.890,40.940,41.880,7486966.000
20160304,41.950,42.540,41.770,42.130,6330145.000
20160307,41.710,42.332,41.560,41.730,6115498.000
20160308,41.380,41.760,41.100,41.380,6539472.000
20160309,41.550,42.210,41.300,41.950,6592592.000
20160310,41.910,42.160,41.110,41.670,6478564.000
20160311,41.950,42.420,41.570,42.360,5527169.000
20160314,42.030,42.350,41.790,42.240,3447366.000
20160315,41.930,42.150,41.550,41.650,6228610.000
20160316,41.530,42.210,41.330,41.720,9826856.000
20160317,40.550,41.290,40.520,40.790,23784788.000
20160318,41.010,41.170,40.665,40.700,19190852.000
20160321,40.520,40.910,40.460,40.690,10946263.000
20160322,40.590,40.700,39.760,39.910,12935369.000
20160323,39.960,40.200,39.520,39.950,12694129.000
20160324,40.160,40.160,39.490,39.520,9363398.000
