Date,Open,High,Low,Close,Volume
20160104,46.707,46.915,45.864,46.895,6465122.530
20160105,46.578,46.935,45.795,46.023,7875760.546
20160106,45.329,45.349,43.664,43.971,12744576.500
20160107,42.930,43.079,41.939,42.117,13322712.110
20160108,43.029,43.044,41.592,41.661,7828007.140
20160111,41.949,42.031,40.611,41.324,9410715.050
20160112,42.028,42.226,40.987,41.622,7091938.440
20160113,44.913,44.913,42.474,42.553,20061223.250
20160114,43.227,43.624,42.018,43.099,7910654.190
20160115,41.790,42.891,41.642,42.697,9198952.600
20160119,43.475,43.693,41.969,42.365,8493354.710
20160120,41.523,42.266,40.412,41.840,8907650.290
20160121,41.949,43.148,41.761,42.316,7874668.160
20160122,43.227,43.896,43.178,43.803,7740082.870
20160125,43.396,43.803,42.544,42.643,5627983.050
20160126,42.702,43.485,42.702,43.109,5001057.760
20160127,43.039,43.882,42.603,42.891,4764664.410
20160128,43.376,43.654,42.801,43.406,4938093.510
20160129,43.803,44.338,42.980,44.278,6001406.180
20160201,43.921,44.080,43.441,43.882,5137264.830
20160202,43.148,43.218,42.068,42.385,8515259.040
20160203,42.820,42.860,41.200,41.970,11416450.000
20160204,40.620,40.840,39.270,39.750,16522182.000
20160205,39.950,40.040,38.600,38.810,11672748.000
20160208,38.320,38.350,36.640,37.140,9305147.000
20160209,36.270,37.430,35.800,37.160,8272777.000
20160210,37.620,37.969,36.840,36.870,6802391.000
20160211,35.560,35.740,35.000,35.190,12284515.000
20160212,35.840,37.860,35.815,37.430,12554354.000
20160216,38.130,38.320,37.560,38.010,4880083.000
20160217,38.550,39.510,38.430,39.260,6410459.000
20160218,39.320,39.470,38.950,39.210,5827419.000
20160219,38.870,39.170,38.490,39.100,4357510.000
20160222,40.260,40.260,39.000,39.230,4934878.000
20160223,39.090,39.150,37.895,38.430,6869289.000
20160224,37.750,38.670,37.280,38.550,6099162.000
20160225,38.610,39.430,38.410,39.419,4771227.000
20160226,39.820,40.620,39.400,40.100,7439757.000
20160229,40.040,40.230,39.440,39.550,5379253.000
20160301,39.970,41.800,39.930,41.670,6852387.000
20160302,41.860,42.240,41.530,42.010,4600185.000
20160303,42.010,42.460,41.760,42.390,3847638.000
20160304,42.690,42.840,41.790,42.320,5742867.000
20160307,41.970,42.960,41.880,42.850,4694481.000
20160308,42.330,42.480,41.280,41.780,6100632.000
20160309,42.290,42.460,41.580,42.000,3679513.000
20160310,42.190,42.930,41.610,42.240,5429521.000
20160311,42.970,44.370,42.900,44.250,6856541.000
20160314,43.800,44.160,43.470,43.870,4387904.000
20160315,43.620,43.800,42.970,43.780,4081271.000
20160316,43.830,44.320,43.190,43.790,4488569.000
20160317,43.760,44.260,43.150,44.080,4677289.000
20160318,44.220,44.780,43.992,44.730,6094455.000
20160321,44.750,44.960,44.220,44.510,3182405.000
20160322,44.020,44.400,43.850,44.080,3870698.000
20160323,44.000,44.020,43.260,43.400,5753203.000
20160324,42.800,42.800,41.700,42.300,6663535.000
