Date,Open,High,Low,Close,Volume
20160104,77.352,78.029,76.775,77.790,1902843.800
20160105,77.870,78.098,76.477,77.163,2434390.049
20160106,76.368,77.720,76.189,77.094,2637145.402
20160107,75.980,76.965,75.174,75.214,4428044.856
20160108,75.075,75.234,72.181,72.708,4625021.489
20160111,71.723,71.753,69.635,70.152,5660549.821
20160112,70.490,71.495,69.705,70.291,2133130.143
20160113,70.560,70.671,68.471,68.710,2525189.917
20160114,69.068,69.575,68.412,68.770,2923222.171
20160115,66.970,69.615,66.641,69.327,2560169.496
20160119,69.436,70.102,68.352,68.879,1700205.737
20160120,67.855,68.451,66.274,67.636,2444881.063
20160121,67.636,68.103,66.482,67.288,2630111.109
20160122,68.133,70.093,67.815,69.784,2632681.087
20160125,69.476,69.546,68.501,68.541,1689239.285
20160126,68.680,70.381,68.630,69.744,1953999.697
20160127,69.327,69.804,67.666,67.805,3979489.684
20160128,72.678,72.807,65.170,69.834,6604535.717
20160129,70.610,72.241,70.401,72.111,2308053.380
20160201,71.863,72.062,70.182,71.515,2681037.518
20160202,70.848,70.868,68.571,68.591,2040281.511
20160203,69.158,69.476,68.044,68.541,2458263.121
20160204,68.740,70.490,68.272,69.267,1839533.856
20160205,68.949,71.982,68.750,71.505,3617832.294
20160208,71.017,71.147,66.522,67.850,3097190.895
20160209,67.636,68.392,66.293,67.556,2183386.499
20160210,68.203,70.838,68.203,70.351,2585041.886
20160211,68.919,70.261,68.730,68.849,2329345.580
20160212,69.585,70.580,69.287,70.142,1393280.224
20160216,70.600,72.529,70.600,72.131,1722102.842
20160217,72.748,74.732,72.628,74.573,2365794.113
20160218,74.438,74.851,73.673,74.249,1580246.091
20160219,73.762,74.588,73.335,74.379,1167169.660
20160222,74.777,75.045,72.877,73.593,2177234.599
20160223,73.106,73.255,72.260,72.499,1610901.911
20160224,71.743,72.628,70.331,72.290,1629948.238
20160225,72.579,72.987,71.166,72.957,1501706.010
20160226,73.553,73.991,72.360,72.579,1201794.981
20160229,72.708,73.911,72.569,73.364,1338103.615
20160301,73.683,73.792,72.280,73.623,1836963.393
20160302,73.613,73.633,72.385,72.797,1563525.790
20160303,72.917,75.443,72.539,75.254,1890420.956
20160304,75.483,77.631,74.886,76.785,2322024.963
20160307,76.437,77.153,75.323,75.383,1501713.325
20160308,75.224,75.254,73.732,74.230,1380359.101
20160309,74.538,74.896,74.041,74.608,1125467.747
20160310,74.960,76.180,74.610,75.620,958953.000
20160311,76.000,76.220,75.180,75.390,1411083.000
20160314,75.390,76.000,75.226,75.430,885380.000
20160315,83.610,83.850,80.750,83.790,8477345.000
20160316,83.940,84.460,82.440,82.810,3142858.000
20160317,82.810,83.830,82.040,82.060,2560437.000
20160318,81.890,83.460,81.500,83.350,2513053.000
20160321,82.730,82.930,81.230,81.470,1803669.000
20160322,81.000,81.560,80.620,80.990,1294218.000
20160323,80.760,81.980,80.140,81.692,1645760.000
20160324,81.070,82.040,80.400,81.970,1407282.000
