Date,Open,High,Low,Close,Volume
20160104,54.152,54.242,53.467,54.023,2392679.458
20160105,53.934,54.699,53.834,54.441,2195896.646
20160106,53.645,54.331,53.377,53.794,2333958.232
20160107,52.800,53.516,52.711,53.377,4763118.271
20160108,53.486,53.665,52.572,52.632,2892860.471
20160111,52.125,52.840,51.459,51.876,3611625.780
20160112,52.224,52.423,51.548,52.343,2758052.367
20160113,53.109,53.238,51.767,51.926,2509843.298
20160114,52.085,53.695,51.896,53.228,2940531.033
20160115,51.697,52.731,51.528,51.896,3626664.052
20160119,52.443,52.522,51.553,51.826,2427281.094
20160120,50.713,51.757,50.504,51.230,2734265.419
20160121,51.660,51.780,50.990,51.280,2466918.000
20160122,52.030,52.480,51.860,52.280,1311914.000
20160125,52.270,52.300,51.540,51.590,1912714.000
20160126,51.870,52.330,51.760,51.940,1265155.000
20160127,51.900,52.430,51.320,51.630,1944657.000
20160128,51.940,52.070,51.450,51.790,1665190.000
20160129,52.210,53.370,52.080,53.320,1783550.000
20160201,53.210,53.480,52.820,53.250,1505249.000
20160202,52.630,52.650,52.110,52.330,1663762.000
20160203,52.600,52.910,51.250,52.850,2838820.000
20160204,53.340,54.660,52.950,54.160,4213177.000
20160205,53.680,54.740,53.680,54.640,3671537.000
20160208,53.980,55.330,53.970,55.010,3235380.000
20160209,54.640,55.630,54.610,55.290,2683839.000
20160210,55.560,56.675,55.460,55.510,1899023.000
20160211,54.330,55.290,54.320,54.920,2010493.000
20160212,55.790,56.170,55.500,56.075,1981233.000
20160216,56.460,56.770,56.263,56.510,1950385.000
20160217,56.770,57.470,56.770,57.370,2049608.000
20160218,57.230,57.610,57.135,57.500,2400085.000
20160219,57.240,57.555,57.095,57.290,2153515.000
20160222,57.540,57.890,57.370,57.540,1525561.000
20160223,57.340,57.675,57.010,57.085,1611370.000
20160224,56.700,57.650,56.500,57.460,1988554.000
20160225,57.590,57.770,57.270,57.770,2207303.000
20160226,58.000,58.170,57.480,57.490,1834521.000
20160229,57.500,57.650,57.015,57.050,1998685.000
20160301,57.460,58.120,57.270,58.100,1625872.000
20160302,58.040,58.060,57.610,57.830,2568988.000
20160303,57.640,57.850,57.240,57.750,2257389.000
20160304,58.140,58.140,57.370,58.000,2900811.000
20160307,57.480,57.965,56.980,57.680,2263257.000
20160308,57.370,58.160,57.290,57.440,2233650.000
20160309,57.380,57.880,57.110,57.700,1238481.000
20160310,57.910,58.300,57.226,57.750,1641434.000
20160311,57.730,58.770,57.730,58.740,1266923.000
20160314,58.480,58.960,58.410,58.830,1664699.000
20160315,58.360,59.140,58.210,59.140,1699805.000
20160316,58.800,59.250,58.630,58.940,1676707.000
20160317,59.000,60.130,58.750,59.860,2147491.000
20160318,59.920,60.120,59.570,59.810,2227261.000
20160321,60.000,60.000,59.520,59.770,907139.000
20160322,59.400,60.220,59.200,59.740,1488771.000
20160323,59.440,59.880,59.440,59.550,1144432.000
20160324,59.280,59.860,59.050,59.800,1446551.000
