Date,Open,High,Low,Close,Volume
20160104,73.240,73.980,71.410,72.530,1638336.000
20160105,72.960,74.409,72.040,73.200,1366266.000
20160106,71.990,73.260,69.080,70.270,1571008.000
20160107,67.730,69.510,66.040,66.900,1669590.000
20160108,67.680,68.710,64.820,65.025,1986762.000
20160111,65.230,66.390,62.040,65.130,2955741.000
20160112,65.670,69.050,63.400,65.970,2144562.000
20160113,66.440,67.920,61.630,61.830,1778326.000
20160114,62.050,66.650,58.550,65.720,2266261.000
20160115,63.850,66.089,62.550,65.790,2205629.000
20160119,67.190,67.450,62.140,64.430,1771111.000
20160120,62.690,65.980,61.250,64.640,1348384.000
20160121,64.880,66.720,63.110,63.640,1177463.000
20160122,65.100,66.350,63.500,64.300,1243372.000
20160125,64.210,64.990,62.690,63.490,1070942.000
20160126,63.670,64.830,61.500,64.290,1133094.000
20160127,64.280,65.998,61.890,62.380,1626077.000
20160128,63.440,63.490,56.490,57.270,2787314.000
20160129,57.160,59.390,56.920,58.030,2657122.000
20160201,57.720,63.050,57.500,62.250,2219375.000
20160202,65.000,68.200,62.680,65.710,5883431.000
20160203,66.830,68.850,64.270,68.320,3894200.000
20160204,67.150,71.180,67.150,68.780,2199152.000
20160205,69.220,71.420,68.830,69.450,2710803.000
20160208,68.600,68.770,63.100,65.130,2366232.000
20160209,64.260,66.610,60.630,63.050,3361591.000
20160210,63.920,65.390,62.110,62.490,2258919.000
20160211,60.180,61.737,59.400,60.550,2222390.000
20160212,61.440,63.010,58.850,62.340,1846571.000
20160216,63.890,64.290,62.400,64.220,1495158.000
20160217,65.420,68.110,64.920,67.300,1623796.000
20160218,67.090,67.320,64.630,66.190,1276007.000
20160219,66.210,66.900,64.000,64.730,1363015.000
20160222,65.640,66.000,63.670,65.260,1940938.000
20160223,65.000,67.560,64.950,65.340,1058136.000
20160224,64.320,66.400,63.120,66.220,1444691.000
20160225,66.520,68.780,65.900,67.310,1167921.000
20160226,67.830,70.589,67.310,69.210,1788113.000
20160229,68.050,68.680,64.605,65.010,3252411.000
20160301,65.620,65.880,63.371,65.600,2867336.000
20160302,65.580,66.820,64.810,66.470,1446488.000
20160303,65.470,65.550,62.900,63.590,1654249.000
20160304,63.540,64.220,61.530,62.140,1675910.000
20160307,62.100,67.230,61.130,64.910,1681178.000
20160308,64.840,64.920,61.780,61.940,1884708.000
20160309,62.190,64.300,61.920,63.410,1850996.000
20160310,63.460,64.180,62.095,63.510,1385113.000
20160311,64.790,69.080,64.430,68.990,2680710.000
20160314,68.780,69.860,67.580,69.580,1696694.000
20160315,67.775,67.775,57.690,59.500,9826615.000
20160316,58.245,58.500,50.900,55.690,18060874.000
20160317,56.360,56.710,51.040,53.410,8385866.000
20160318,53.310,57.000,51.140,54.590,8027537.000
20160321,54.930,59.780,54.530,58.940,4300450.000
20160322,57.830,61.830,57.210,61.050,2849879.000
20160323,60.970,61.940,59.610,60.460,1857787.000
20160324,59.680,61.460,58.651,60.060,2123564.000
