Date,Open,High,Low,Close,Volume
20160104,146.520,147.750,142.070,144.350,1219391.000
20160105,144.340,146.400,144.000,146.030,804235.000
20160106,143.940,146.700,142.590,146.330,1107749.000
20160107,143.660,146.360,142.940,145.200,1151421.000
20160108,145.340,146.070,143.960,144.210,771547.000
20160111,145.790,147.750,144.250,146.060,971192.000
20160112,146.790,149.350,146.220,147.300,1134948.000
20160113,146.090,149.380,143.420,143.780,1192821.000
20160114,144.240,144.980,140.580,142.440,1031828.000
20160115,138.890,142.140,138.430,141.130,1395427.000
20160119,143.110,146.040,142.450,144.750,987069.000
20160120,143.300,143.510,135.410,140.030,1711008.000
20160121,141.570,142.000,136.830,138.026,1625237.000
20160122,139.580,144.410,137.800,144.200,1544021.000
20160125,143.260,143.850,139.860,140.080,849536.000
20160126,140.240,141.400,138.310,139.050,700301.000
20160127,139.400,139.470,137.100,137.970,780700.000
20160128,138.800,139.150,136.040,137.200,1164864.000
20160129,137.050,137.050,128.530,135.050,7308931.000
20160201,137.250,138.470,135.250,137.440,1788080.000
20160202,136.500,138.730,134.800,136.120,1142146.000
20160203,136.860,137.660,133.190,134.860,1364310.000
20160204,134.620,134.870,127.680,128.460,2142976.000
20160205,127.250,128.180,123.190,123.740,2833059.000
20160208,121.650,122.040,115.750,117.720,2750271.000
20160209,116.570,120.790,116.030,118.910,1599578.000
20160210,120.650,121.290,115.720,116.820,1184230.000
20160211,114.880,119.860,113.080,118.900,1947799.000
20160212,121.880,123.620,119.170,122.360,1387098.000
20160216,123.360,125.460,122.130,124.300,1595066.000
20160217,124.310,126.930,123.760,125.440,1286730.000
20160218,125.440,127.370,124.700,126.070,1125209.000
20160219,125.810,129.410,124.620,127.580,1591327.000
20160222,128.580,130.330,127.890,129.820,1217482.000
20160223,129.060,130.810,128.050,128.780,1184650.000
20160224,128.050,133.160,126.140,132.460,1740556.000
20160225,132.010,133.190,130.548,133.110,1758371.000
20160226,127.750,133.690,126.640,130.790,4882061.000
20160229,130.460,130.460,125.490,125.520,1991742.000
20160301,126.080,129.880,125.250,129.740,2028190.000
20160302,129.950,129.950,126.960,127.760,1053711.000
20160303,127.430,128.580,126.200,128.470,844028.000
20160304,128.820,129.330,127.460,128.920,869073.000
20160307,127.900,128.785,126.500,127.990,1521354.000
20160308,127.450,131.160,126.870,129.330,1091054.000
20160309,128.960,130.700,128.740,130.050,573608.000
20160310,130.900,132.560,129.850,131.670,1206479.000
20160311,132.690,134.480,131.660,133.860,998846.000
20160314,133.250,133.860,131.000,131.960,895335.000
20160315,131.360,132.750,130.300,131.990,826861.000
20160316,133.330,136.440,133.000,136.250,1163684.000
20160317,135.830,136.640,134.810,136.190,921763.000
20160318,136.300,137.640,135.610,136.530,1736315.000
20160321,135.730,135.958,134.250,134.520,893172.000
20160322,133.910,135.420,133.030,134.620,891525.000
20160323,133.710,135.490,132.780,132.830,755273.000
20160324,132.390,132.890,129.250,131.260,1039348.000
