Date,Open,High,Low,Close,Volume
20160104,97.078,97.317,96.064,97.257,2903963.896
20160105,97.675,98.092,96.521,96.720,2982337.385
20160106,95.850,97.300,93.755,95.240,4532049.000
20160107,93.340,94.900,93.080,93.550,5146483.000
20160108,93.760,94.300,92.630,92.760,4277453.000
20160111,92.970,93.540,91.730,92.280,4507885.000
20160112,92.850,93.330,91.820,92.500,3808124.000
20160113,92.990,93.330,90.870,91.190,3937714.000
20160114,91.360,92.790,90.460,92.130,3404940.000
20160115,90.330,91.760,90.230,90.900,4127277.000
20160119,91.820,91.820,89.840,90.840,4286838.000
20160120,89.470,90.340,87.290,89.790,4709157.000
20160121,90.270,91.870,88.770,91.120,3765728.000
20160122,92.540,93.320,91.520,91.880,2885160.000
20160125,91.640,92.000,87.180,87.320,3415988.000
20160126,87.460,88.910,87.294,88.500,2310599.000
20160127,88.010,89.220,87.290,87.620,2091348.000
20160128,88.350,88.760,87.300,87.790,1966472.000
20160129,88.250,90.600,88.250,90.580,2828250.000
20160201,89.480,90.300,88.320,90.110,2269183.000
20160202,89.070,89.250,87.100,87.450,3012789.000
20160203,88.230,89.500,87.155,89.490,3964359.000
20160204,90.310,95.400,89.990,95.300,7605389.000
20160205,94.530,95.940,94.160,94.560,2699304.000
20160208,93.210,93.977,90.550,91.250,2444054.000
20160209,91.280,92.040,89.840,91.760,2605149.000
20160210,92.580,92.580,87.380,87.570,3361832.000
20160211,85.810,87.000,84.710,85.670,3190547.000
20160212,86.770,87.200,85.480,87.040,2004626.000
20160216,87.990,88.080,85.850,87.940,2620315.000
20160217,88.700,89.890,88.220,89.610,2938103.000
20160218,89.980,90.931,89.420,89.910,2009938.000
20160219,89.690,90.120,88.480,88.530,2424661.000
20160222,89.350,90.520,89.190,89.440,1362287.000
20160223,89.310,89.410,87.110,87.970,2057997.000
20160224,87.180,88.780,86.530,88.570,1547699.000
20160225,89.040,90.150,88.120,89.840,1420273.000
20160226,90.830,92.100,90.360,90.565,2414668.000
20160229,90.630,91.000,89.940,89.940,2153144.000
20160301,91.340,93.250,90.930,92.490,2488690.000
20160302,88.700,88.710,84.920,85.280,9757256.000
20160303,85.210,85.700,84.250,84.920,5171699.000
20160304,83.780,86.400,83.700,85.920,4187352.000
20160307,86.050,88.900,85.500,88.460,4281914.000
20160308,88.150,89.770,87.000,88.870,3001915.000
20160309,89.310,89.870,88.460,88.700,2085271.000
20160310,89.150,89.150,87.760,88.980,2995215.000
20160311,89.670,91.170,89.410,90.920,2834530.000
20160314,90.160,90.570,89.095,89.890,2583630.000
20160315,88.790,89.210,87.350,89.160,1851319.000
20160316,88.770,91.280,88.500,90.720,3185161.000
20160317,90.830,93.550,90.660,92.930,3594518.000
20160318,92.950,94.000,92.570,92.960,2738897.000
20160321,92.500,92.580,91.150,91.310,2188448.000
20160322,90.700,91.150,89.420,90.390,4636216.000
20160323,90.250,90.650,89.070,90.060,1527401.000
20160324,89.240,90.140,88.650,90.100,2388175.000
