Date,Open,High,Low,Close,Volume
20160104,12.471,12.908,12.292,12.739,12012724.750
20160105,12.759,12.769,12.243,12.670,9406542.700
20160106,12.183,12.183,11.061,11.200,15352082.460
20160107,10.753,11.096,10.475,10.595,18946024.840
20160108,10.704,10.833,9.790,10.267,32898500.970
20160111,10.326,10.336,9.304,9.542,21578262.220
20160112,9.631,9.691,8.648,9.145,24826032.290
20160113,9.334,9.572,8.380,8.480,26096413.490
20160114,8.639,9.175,8.291,8.998,33105458.000
20160115,8.082,8.311,7.655,8.082,38861288.020
20160119,8.152,8.197,7.387,7.616,28509553.250
20160120,7.298,7.983,7.030,7.814,44126282.200
20160121,7.695,8.827,7.665,8.728,36616589.590
20160122,10.118,10.555,8.579,8.956,37677883.610
20160125,8.668,9.125,8.058,8.075,18569433.487
20160126,8.301,8.440,7.874,8.380,15594569.530
20160127,8.281,9.284,8.122,8.698,26710126.550
20160128,9.274,9.482,8.777,9.105,20331176.810
20160129,9.155,9.780,9.105,9.661,19476480.500
20160201,9.314,9.731,9.155,9.661,16542656.830
20160202,9.254,9.279,8.629,8.678,19382662.300
20160203,8.956,9.363,8.380,9.343,23271241.150
20160204,9.443,10.207,9.026,9.105,32877338.300
20160205,9.036,9.036,8.281,8.400,28897377.270
20160208,8.202,8.370,7.576,7.755,44567758.280
20160209,7.576,7.655,6.980,7.234,23770891.830
20160210,7.179,7.566,6.960,7.080,21395611.710
20160211,6.911,7.248,6.474,7.020,36157249.934
20160212,7.220,7.660,7.045,7.480,28147105.000
20160216,7.760,7.840,7.180,7.390,20065656.000
20160217,7.670,7.720,6.750,7.410,61690716.000
20160218,7.600,7.620,6.700,6.930,52997774.000
20160219,6.850,6.880,6.520,6.720,34482317.000
20160222,6.950,7.508,6.850,7.480,31307245.000
20160223,7.290,7.467,6.900,7.020,27164650.000
20160224,6.750,7.260,6.660,7.220,17745150.000
20160225,7.250,7.430,6.960,7.380,20080986.000
20160226,7.750,8.200,7.590,8.020,35238946.000
20160229,8.520,8.530,7.970,8.200,33031304.000
20160301,7.780,8.070,7.560,7.970,202578642.000
20160302,7.940,9.150,7.900,9.119,72647250.000
20160303,9.030,10.000,8.970,9.980,63842147.000
20160304,10.380,11.480,10.080,11.010,84057454.000
20160307,11.150,11.590,10.720,11.030,54533335.000
20160308,10.840,10.870,9.920,10.120,34341542.000
20160309,10.500,10.680,10.080,10.460,29607164.000
20160310,10.310,10.620,10.010,10.600,32936427.000
20160311,11.140,11.350,10.950,11.150,28852164.000
20160314,10.920,11.320,10.679,11.090,24854536.000
20160315,10.870,11.310,10.600,11.300,22866196.000
20160316,11.540,11.830,11.090,11.520,31761669.000
20160317,11.720,11.750,11.310,11.440,29564960.000
20160318,11.720,11.880,11.200,11.620,26774565.000
20160321,11.470,11.850,11.260,11.430,21830854.000
20160322,11.260,11.575,11.250,11.318,20150532.000
20160323,11.150,11.230,10.120,10.190,29899425.000
20160324,9.790,10.450,9.650,10.290,27364664.000
