Date,Open,High,Low,Close,Volume
20160104,30.519,31.330,30.380,31.295,13957285.800
20160105,31.295,31.518,30.748,31.086,9475081.240
20160106,30.450,30.599,30.072,30.311,12349174.284
20160107,29.704,29.893,28.611,28.800,16619590.590
20160108,29.237,29.317,28.134,28.203,14162509.400
20160111,28.283,28.432,27.646,28.283,18658328.430
20160112,28.571,28.710,27.823,28.302,14095937.090
20160113,28.561,28.631,26.344,26.742,28505205.300
20160114,26.831,27.159,26.076,26.980,22644179.360
20160115,25.877,26.255,25.360,25.787,26870830.570
20160119,26.642,26.970,25.608,26.105,25361003.870
20160120,25.549,25.618,24.525,25.102,25254996.900
20160121,25.102,25.439,24.545,24.634,21097444.570
20160122,25.111,25.827,25.032,25.449,21071758.600
20160125,25.310,25.360,24.793,24.803,18944893.880
20160126,24.893,25.509,24.883,25.350,12634902.230
20160127,25.250,26.160,25.050,25.370,19149212.000
20160128,25.670,25.840,24.940,25.170,15196634.000
20160129,25.350,25.890,25.120,25.880,16485216.000
20160201,25.770,25.930,25.420,25.705,10203741.000
20160202,25.360,25.370,24.390,24.510,17246783.000
20160203,24.430,24.520,23.290,24.330,23884010.000
20160204,24.150,25.195,24.120,25.000,16710508.000
20160205,25.090,25.420,24.180,24.350,15029570.000
20160208,23.810,23.840,22.320,22.670,23224534.000
20160209,21.890,23.290,21.760,22.940,24558030.000
20160210,23.380,23.780,22.640,22.690,20602829.000
20160211,21.670,22.130,21.155,21.690,27592515.000
20160212,21.930,23.200,21.860,23.085,21560383.000
20160216,24.070,24.140,23.210,23.720,18667517.000
20160217,24.240,24.665,24.120,24.225,18201850.000
20160218,24.360,24.540,23.780,23.960,15758825.000
20160219,23.780,24.190,23.640,23.980,11709304.000
20160222,24.360,24.740,24.330,24.540,11265209.000
20160223,24.450,24.490,23.680,23.720,13770446.000
20160224,23.160,23.710,22.680,23.700,19467644.000
20160225,23.800,24.680,23.760,24.630,16360321.000
20160226,24.980,25.665,24.780,25.160,17560121.000
20160229,25.010,25.150,24.670,24.700,11598380.000
20160301,25.090,26.115,25.060,26.080,16507523.000
20160302,26.000,26.290,25.830,26.100,14871766.000
20160303,26.100,26.190,25.810,26.140,11042398.000
20160304,26.260,26.500,25.910,26.130,12885931.000
20160307,25.840,26.330,25.700,26.090,9243702.000
20160308,25.700,25.860,24.940,25.000,20237790.000
20160309,25.200,25.260,24.440,24.600,22573210.000
20160310,24.910,25.150,24.440,24.650,18851745.000
20160311,25.140,26.090,25.110,26.010,23294657.000
20160314,25.830,26.070,25.660,25.920,16672110.000
20160315,25.630,25.690,25.120,25.420,14786490.000
20160316,25.300,25.790,24.710,25.170,17109330.000
20160317,25.010,26.030,24.580,25.860,19189647.000
20160318,26.070,26.550,25.980,26.270,17776865.000
20160321,26.170,26.610,25.852,25.940,9297939.000
20160322,25.610,26.020,25.440,25.830,11225712.000
20160323,25.830,25.870,25.200,25.260,9038209.000
20160324,24.940,24.960,24.280,24.915,14218509.000
