Date,Open,High,Low,Close,Volume
20160104,118.398,118.448,115.448,116.699,879627.279
20160105,117.087,118.199,116.292,117.335,554638.281
20160106,114.623,116.451,114.504,115.001,764892.641
20160107,113.292,113.809,111.117,111.732,854228.421
20160108,112.785,113.113,109.219,109.428,784270.499
20160111,109.358,110.521,107.592,108.385,1192690.004
20160112,109.646,110.004,108.266,109.785,1199010.321
20160113,110.441,110.580,105.782,105.991,1364659.058
20160114,106.339,107.302,104.719,106.448,1010881.732
20160115,105.117,105.464,102.027,103.796,1612623.172
20160119,104.988,107.521,104.104,105.574,1485478.183
20160120,110.530,110.530,101.213,104.054,1933132.256
20160121,104.024,104.213,101.148,101.521,1636145.215
20160122,103.050,104.620,102.415,103.895,1644357.975
20160125,103.478,103.766,100.835,101.104,1528595.845
20160126,101.580,105.196,101.302,104.978,2602858.402
20160127,104.610,108.653,104.064,106.835,1991121.615
20160128,107.213,108.872,106.189,107.451,1630577.506
20160129,108.315,109.507,107.868,109.438,1574331.688
20160201,109.050,109.438,106.448,107.401,1184390.876
20160202,105.862,105.872,104.054,104.858,1078695.063
20160203,105.226,105.554,102.484,105.474,1169949.201
20160204,105.593,108.832,105.176,107.471,930716.954
20160205,107.481,109.110,106.229,107.093,1093666.971
20160208,105.633,105.663,103.835,105.196,1046822.588
20160209,104.014,107.560,103.547,106.805,1338373.200
20160210,107.501,108.156,104.680,104.739,947724.838
20160211,102.464,103.100,99.345,100.080,1549558.089
20160212,103.488,105.723,101.868,105.226,1263696.848
20160216,107.004,109.517,105.494,108.156,1036593.685
20160217,109.130,110.362,107.143,107.779,1211452.038
20160218,108.256,108.275,104.580,105.554,1208527.283
20160219,105.027,106.666,104.143,106.309,639070.575
20160222,107.719,108.911,107.461,108.683,528913.403
20160223,108.256,108.762,104.868,105.236,642589.929
20160224,103.984,104.461,101.272,104.133,983337.656
20160225,104.362,105.405,102.753,104.620,1746639.783
20160226,105.770,107.350,103.830,106.210,1235700.000
20160229,106.340,106.590,102.530,102.600,1225463.000
20160301,103.710,105.820,103.150,105.180,1967193.000
20160302,105.380,108.970,104.700,108.870,1041280.000
20160303,108.610,109.870,107.630,109.820,902366.000
20160304,110.260,111.460,108.660,110.200,928043.000
20160307,109.670,110.080,108.630,109.680,653033.000
20160308,108.540,108.920,107.070,107.870,829880.000
20160309,108.760,108.980,107.460,107.950,871764.000
20160310,108.680,109.239,106.030,107.780,916373.000
20160311,109.510,111.460,108.180,111.270,1400258.000
20160314,111.240,112.240,110.330,111.570,757266.000
20160315,110.880,111.610,110.000,111.410,615751.000
20160316,110.900,112.140,109.260,110.670,718528.000
20160317,110.280,111.410,108.790,111.080,660772.000
20160318,111.160,113.390,111.160,112.610,1322651.000
20160321,112.180,113.340,111.680,112.530,383061.000
20160322,111.190,113.030,111.050,112.490,411742.000
20160323,112.500,113.020,111.470,111.990,554464.000
20160324,111.430,111.430,109.750,111.220,553601.000
