Date,Open,High,Low,Close,Volume
20160104,8.690,8.695,8.540,8.640,4565853.000
20160105,8.670,8.720,8.600,8.660,5315431.000
20160106,8.550,8.640,8.400,8.440,3886474.000
20160107,8.270,8.430,8.145,8.190,4546964.000
20160108,8.220,8.260,7.835,7.880,4345020.000
20160111,7.940,8.030,7.770,7.820,8782089.000
20160112,7.870,7.930,7.520,7.680,7401522.000
20160113,7.730,7.830,7.490,7.575,6662475.000
20160114,7.600,7.695,7.330,7.590,6627362.000
20160115,7.350,7.485,7.310,7.420,6772862.000
20160119,7.420,7.550,7.260,7.320,6187893.000
20160120,7.150,7.370,6.895,7.290,7021847.000
20160121,7.140,7.140,6.350,6.360,19367482.000
20160122,6.510,6.540,6.260,6.300,11733494.000
20160125,6.280,6.310,5.630,5.655,13076664.000
20160126,5.680,5.990,5.660,5.980,9843743.000
20160127,5.940,6.500,5.920,6.320,13051634.000
20160128,6.540,6.550,6.280,6.350,6532469.000
20160129,6.390,6.620,6.375,6.610,7394646.000
20160201,6.660,6.830,6.500,6.730,8725900.000
20160202,6.670,6.670,6.370,6.490,8553442.000
20160203,6.560,6.570,6.230,6.480,5249981.000
20160204,6.480,6.720,6.440,6.690,6160462.000
20160205,6.670,6.780,6.540,6.550,4746354.000
20160208,6.440,6.480,6.045,6.260,6660920.000
20160209,6.160,6.390,6.120,6.320,6317635.000
20160210,6.360,6.615,6.300,6.495,6155273.000
20160211,6.370,6.459,6.200,6.400,3774111.000
20160212,6.510,6.790,6.480,6.770,5262412.000
20160216,6.890,6.928,6.590,6.700,6235951.000
20160217,6.770,6.850,6.680,6.790,3891361.000
20160218,6.810,6.820,6.665,6.800,2162374.000
20160219,6.780,6.830,6.675,6.720,4749389.000
20160222,6.780,6.845,6.740,6.780,7804969.000
20160223,6.750,6.800,6.510,6.680,5988408.000
20160224,6.590,6.690,6.460,6.635,2679732.000
20160225,6.660,6.850,6.640,6.780,3180097.000
20160226,6.830,6.980,6.830,6.940,6632093.000
20160229,6.920,6.945,6.800,6.840,5463840.000
20160301,6.900,7.415,6.870,7.350,8740619.000
20160302,7.360,7.460,7.280,7.430,3660940.000
20160303,7.430,7.600,7.380,7.580,3565494.000
20160304,7.620,7.740,7.510,7.545,3462753.000
20160307,7.500,7.600,7.480,7.570,3230482.000
20160308,7.500,7.530,7.310,7.450,5124018.000
20160309,7.480,7.510,7.310,7.370,2445375.000
20160310,7.410,7.440,7.260,7.340,3358117.000
20160311,7.460,7.540,7.380,7.520,3741401.000
20160314,7.510,7.715,7.490,7.650,3439149.000
20160315,7.600,7.660,7.355,7.400,3816074.000
20160316,7.380,7.590,7.370,7.560,2535395.000
20160317,7.550,7.835,7.520,7.790,2277927.000
20160318,7.860,8.140,7.850,7.950,4908368.000
20160321,7.920,8.010,7.765,7.840,3069976.000
20160322,7.770,7.830,7.660,7.720,3548359.000
20160323,7.690,7.730,7.400,7.410,2940152.000
20160324,7.330,7.375,7.120,7.350,3588378.000
