Date,Open,High,Low,Close,Volume
20160104,3.299,3.309,3.136,3.304,9662940.117
20160105,3.322,3.343,3.206,3.252,7586108.013
20160106,3.193,3.244,3.130,3.147,9352713.518
20160107,3.096,3.102,2.967,3.001,14923718.771
20160108,3.054,3.054,2.959,2.963,13611114.471
20160111,2.993,2.999,2.823,2.883,9510294.861
20160112,2.946,2.974,2.811,2.908,13039493.363
20160113,2.957,3.005,2.802,2.804,21807690.658
20160114,2.815,2.855,2.678,2.813,14336544.803
20160115,2.688,2.741,2.650,2.709,14434623.393
20160119,2.747,2.760,2.659,2.695,14877733.580
20160120,2.619,2.703,2.479,2.665,18135796.140
20160121,2.663,2.760,2.589,2.640,24129088.837
20160122,2.688,2.778,2.640,2.756,26951020.078
20160125,2.733,2.853,2.722,2.749,12248262.275
20160126,2.798,3.305,2.776,3.189,58481965.740
20160127,3.189,3.197,2.978,3.022,20916531.210
20160128,3.018,3.136,2.950,2.959,15967857.740
20160129,3.280,3.396,3.170,3.322,45935260.580
20160201,3.288,3.362,3.227,3.326,24161973.360
20160202,3.255,3.295,3.197,3.202,15754586.839
20160203,3.244,3.244,2.929,3.047,33765847.658
20160204,3.115,3.362,3.107,3.282,27952791.170
20160205,3.261,3.291,3.183,3.191,12701415.575
20160208,3.086,3.143,2.921,2.999,13288317.378
20160209,2.954,3.024,2.936,2.997,13942418.284
20160210,3.037,3.086,2.883,2.891,17695455.118
20160211,2.840,3.075,2.783,2.963,30832269.940
20160212,3.033,3.187,2.984,3.164,17833678.930
20160216,3.216,3.238,3.143,3.219,15184217.312
20160217,3.297,3.308,3.206,3.286,13636408.410
20160218,3.299,3.356,3.219,3.295,11686866.743
20160219,3.225,3.263,3.130,3.236,10624719.706
20160222,3.318,3.386,3.312,3.373,10743292.442
20160223,3.345,3.396,3.267,3.286,8330075.621
20160224,3.223,3.318,3.096,3.293,15144951.642
20160225,3.309,3.329,3.183,3.248,4941169.093
20160226,3.314,3.316,3.214,3.280,8445096.771
20160229,3.284,3.396,3.278,3.349,8512807.384
20160301,3.379,3.428,3.311,3.413,8150807.207
20160302,3.405,3.481,3.351,3.477,5814001.474
20160303,3.472,3.677,3.472,3.576,11123812.462
20160304,4.150,4.350,4.020,4.050,8300588.000
20160307,4.250,4.290,4.060,4.240,8274628.000
20160308,4.250,4.270,4.000,4.160,8405503.000
20160309,4.200,4.220,4.050,4.090,4746347.000
20160310,4.180,4.190,4.060,4.110,4157106.000
20160311,4.200,4.240,4.120,4.200,4162423.000
20160314,4.150,4.240,4.120,4.200,2778583.000
20160315,4.070,4.230,4.030,4.200,6112512.000
20160316,4.150,4.390,4.150,4.380,6920260.000
20160317,4.430,4.460,4.380,4.430,3782233.000
20160318,4.420,4.580,4.410,4.530,3545684.000
20160321,4.540,4.590,4.439,4.490,3281416.000
20160322,4.500,4.540,4.460,4.500,2552113.000
20160323,4.470,4.520,4.380,4.400,2195249.000
20160324,4.370,4.410,4.220,4.360,2051456.000
