Date,Open,High,Low,Close,Volume
20160104,13.830,14.360,13.815,14.340,21440602.000
20160105,14.420,15.080,14.360,14.830,26025575.000
20160106,14.500,14.685,14.110,14.210,25394599.000
20160107,13.860,14.270,13.630,13.670,23159463.000
20160108,13.810,13.948,13.290,13.330,24853108.000
20160111,13.370,13.460,12.210,12.520,41137285.000
20160112,12.700,13.240,12.400,12.720,24289695.000
20160113,12.780,12.970,11.910,12.060,32419304.000
20160114,12.120,12.260,11.530,12.020,34558583.000
20160115,11.350,11.660,10.910,11.070,35823427.000
20160119,11.340,11.365,10.710,10.790,33898057.000
20160120,10.380,10.400,9.310,10.060,62520600.000
20160121,10.460,10.900,10.130,10.845,48596556.000
20160122,11.180,11.570,10.880,11.070,33863514.000
20160125,11.050,11.170,10.460,10.460,22688172.000
20160126,10.560,10.715,10.355,10.550,25599723.000
20160127,10.500,10.830,10.320,10.400,22124885.000
20160128,10.480,10.550,9.710,9.890,35289001.000
20160129,9.990,11.050,9.940,11.030,34996989.000
20160201,11.000,11.095,10.510,10.970,73782367.000
20160202,10.800,11.070,10.480,10.590,18535019.000
20160203,10.670,10.860,10.180,10.755,17652173.000
20160204,10.720,11.550,10.700,11.225,20268791.000
20160205,11.150,11.380,10.760,11.005,19637862.000
20160208,10.710,10.720,9.940,10.170,26069148.000
20160209,10.010,10.340,9.750,9.990,26422056.000
20160210,10.080,10.280,9.822,9.900,19625129.000
20160211,9.720,9.950,9.440,9.690,25356391.000
20160212,9.880,10.240,9.480,10.020,22566169.000
20160216,10.330,10.870,10.310,10.805,24284039.000
20160217,10.970,11.650,10.920,11.438,30396450.000
20160218,11.570,11.750,11.320,11.480,20690290.000
20160219,11.380,11.390,10.950,11.150,17520931.000
20160222,11.370,11.440,10.900,11.040,19016254.000
20160223,11.000,11.080,10.390,10.480,20847072.000
20160224,10.250,10.670,10.060,10.640,17517616.000
20160225,10.670,10.740,10.210,10.720,15108123.000
20160226,10.790,11.000,10.570,10.700,15750782.000
20160229,10.650,10.890,10.520,10.625,18565637.000
20160301,10.770,11.100,10.590,11.070,14545350.000
20160302,11.010,11.685,10.970,11.680,17172631.000
20160303,11.730,11.850,11.600,11.790,15663044.000
20160304,11.800,12.290,11.600,11.870,28739988.000
20160307,11.450,11.780,11.050,11.580,26699268.000
20160308,11.440,11.450,10.650,10.660,28213825.000
20160309,10.760,10.910,10.530,10.810,14284054.000
20160310,10.950,11.060,10.660,10.875,17221343.000
20160311,10.990,11.400,10.850,11.390,16583044.000
20160314,11.340,11.350,11.010,11.140,13126843.000
20160315,11.150,11.150,10.720,10.850,14660918.000
20160316,10.710,10.890,10.550,10.720,18990370.000
20160317,10.720,11.000,10.600,10.870,19212543.000
20160318,10.840,11.170,10.750,11.140,27752837.000
20160321,11.140,11.600,11.060,11.540,17534801.000
20160322,11.450,11.600,11.330,11.440,11788140.000
20160323,11.430,11.460,10.630,10.660,27919645.000
20160324,10.540,10.600,10.330,10.500,21307091.000
