Date,Open,High,Low,Close,Volume
20160104,52.900,54.000,52.700,53.270,4982634.000
20160105,53.580,54.422,53.250,54.080,3968295.000
20160106,52.960,54.440,52.780,53.370,4001033.000
20160107,52.520,52.650,51.570,51.610,5704068.000
20160108,51.500,51.925,49.260,49.410,6250934.000
20160111,50.060,50.230,48.330,49.500,5624561.000
20160112,49.730,50.670,48.770,50.070,4064729.000
20160113,50.500,50.990,48.770,48.920,3723859.000
20160114,48.970,51.650,48.400,50.720,6225255.000
20160115,48.900,50.410,48.020,49.720,8605503.000
20160119,50.550,51.780,48.740,50.210,6830906.000
20160120,49.710,52.170,49.540,51.380,5269788.000
20160121,51.870,52.270,50.440,51.450,3915411.000
20160122,52.600,53.410,51.940,53.110,3387793.000
20160125,52.960,53.630,52.400,52.610,2926826.000
20160126,52.730,54.230,52.050,53.920,3440608.000
20160127,53.850,53.920,50.830,51.210,6272671.000
20160128,51.890,51.970,49.500,50.430,5371168.000
20160129,50.840,52.770,50.294,52.690,4098030.000
20160201,51.920,52.670,50.620,52.360,4851337.000
20160202,52.010,53.050,50.530,50.810,4874448.000
20160203,51.390,52.550,49.330,52.270,5414020.000
20160204,51.940,53.220,51.150,52.310,3814746.000
20160205,50.840,52.910,50.840,51.400,4054224.000
20160208,50.810,51.150,49.340,50.450,4431211.000
20160209,49.770,51.590,49.130,50.740,5363921.000
20160210,51.210,51.730,49.140,50.530,9850118.000
20160211,44.000,44.000,40.040,41.420,30367092.000
20160212,41.340,42.000,40.050,41.825,14126014.000
20160216,42.270,43.200,41.940,43.150,9558834.000
20160217,43.800,46.420,43.720,46.270,9545478.000
20160218,46.460,47.050,44.620,44.730,7838237.000
20160219,43.800,45.980,43.800,45.340,4898859.000
20160222,46.350,46.900,45.620,46.810,4725329.000
20160223,46.700,47.970,46.530,46.710,5811388.000
20160224,45.840,46.780,44.860,46.590,3354174.000
20160225,47.010,47.430,46.180,47.420,3291620.000
20160226,47.300,47.770,46.830,47.140,2875414.000
20160229,47.000,47.040,45.040,45.070,4427960.000
20160301,46.460,46.790,45.190,46.060,5528438.000
20160302,45.950,46.170,44.870,46.130,4066236.000
20160303,45.820,46.120,45.170,45.730,3876819.000
20160304,46.000,46.020,44.300,44.780,4678704.000
20160307,44.870,47.020,44.620,46.140,4939964.000
20160308,45.950,46.010,44.560,44.750,4110185.000
20160309,44.980,46.590,44.640,46.550,5512132.000
20160310,47.220,48.710,46.660,47.290,7089441.000
20160311,47.000,48.610,46.954,48.600,4824702.000
20160314,48.400,48.430,46.360,47.870,4165346.000
20160315,47.180,47.320,45.340,45.930,6390595.000
20160316,45.640,47.180,45.610,46.410,4832648.000
20160317,46.080,46.200,43.650,44.230,7144131.000
20160318,44.620,45.280,43.840,45.050,5476982.000
20160321,45.130,46.130,45.080,45.470,3679028.000
20160322,45.290,46.380,45.250,46.210,4711731.000
20160323,46.220,46.450,45.370,45.440,2060001.000
20160324,45.000,46.130,44.470,45.870,2277259.000
