Date,Open,High,Low,Close,Volume
20160104,8.740,9.800,8.500,9.630,2177008.000
20160105,9.580,9.610,8.690,8.740,2746218.000
20160106,8.580,9.150,8.550,8.720,1688385.000
20160107,8.500,8.550,7.870,7.980,2253489.000
20160108,8.050,8.120,7.550,7.900,1612770.000
20160111,7.940,8.040,7.200,7.500,1766301.000
20160112,7.600,7.740,6.880,7.060,2033172.000
20160113,7.110,7.510,6.580,6.680,1879343.000
20160114,6.730,6.780,5.990,6.740,2206643.000
20160115,6.470,6.780,6.330,6.730,992655.000
20160119,6.750,6.800,6.030,6.220,1491371.000
20160120,5.960,6.710,5.775,6.700,1675590.000
20160121,6.650,7.230,6.470,6.740,2021078.000
20160122,7.050,7.790,6.860,7.180,2287208.000
20160125,6.980,7.290,6.510,6.540,1345070.000
20160126,6.610,7.090,6.400,7.030,1259868.000
20160127,6.930,7.270,6.750,6.860,1392576.000
20160128,7.120,7.340,6.690,6.750,1032815.000
20160129,6.770,7.310,6.710,7.270,1695034.000
20160201,7.250,7.320,6.830,7.150,1092743.000
20160202,6.960,7.370,6.690,7.120,1822958.000
20160203,7.170,7.170,6.240,6.930,1827448.000
20160204,6.940,7.960,6.930,7.940,1825474.000
20160205,7.760,8.130,7.590,7.800,1794324.000
20160208,7.800,7.880,7.310,7.510,1527134.000
20160209,7.310,7.460,6.900,7.140,1390276.000
20160210,7.160,7.590,6.960,7.170,1521355.000
20160211,6.840,7.130,6.490,6.800,2287472.000
20160212,6.850,7.650,6.740,7.500,1292599.000
20160216,7.650,8.287,7.510,8.150,1428374.000
20160217,8.180,9.020,8.180,8.450,1903472.000
20160218,8.400,8.520,7.790,8.290,1273327.000
20160219,8.210,8.220,7.639,7.800,1319430.000
20160222,7.830,8.770,7.810,8.650,1649186.000
20160223,8.550,8.640,7.970,8.050,1680463.000
20160224,7.780,7.830,7.070,7.810,2232846.000
20160225,7.710,8.070,7.290,7.630,1549885.000
20160226,7.730,8.440,7.680,8.080,1459875.000
20160229,8.120,8.630,7.970,8.405,1512472.000
20160301,8.570,8.979,8.050,8.830,1831575.000
20160302,8.770,9.330,8.550,9.260,2029287.000
20160303,9.420,11.340,9.370,10.850,3518495.000
20160304,10.750,12.000,10.410,11.100,2819669.000
20160307,11.070,11.935,10.860,11.760,2513326.000
20160308,11.700,11.820,9.850,10.350,2471018.000
20160309,10.500,11.150,10.400,10.920,1251032.000
20160310,10.990,11.300,10.720,11.060,1298670.000
20160311,11.150,11.510,11.090,11.420,853613.000
20160314,11.520,13.110,11.420,12.920,2842500.000
20160315,12.720,12.810,11.930,12.370,1565068.000
20160316,12.360,12.820,12.240,12.610,1315375.000
20160317,12.510,13.870,12.510,13.600,1577799.000
20160318,13.680,14.290,13.220,14.020,2114087.000
20160321,14.000,14.280,13.190,13.610,1154315.000
20160322,13.610,13.630,13.210,13.480,790523.000
20160323,13.290,13.400,12.030,12.140,1482953.000
20160324,12.030,12.277,11.460,12.235,900682.000
