Date,Open,High,Low,Close,Volume
20160104,11.174,11.421,11.017,11.332,6969497.326
20160105,11.332,11.440,10.780,11.174,5627447.648
20160106,11.046,11.090,10.672,10.780,4773993.815
20160107,10.583,10.681,10.051,10.110,5974953.552
20160108,10.218,10.366,9.883,10.011,5693738.113
20160111,10.061,10.125,9.657,9.854,4896400.453
20160112,9.982,10.130,9.666,9.864,4370904.621
20160113,9.933,10.053,9.282,9.282,5188257.198
20160114,9.302,9.371,8.908,9.262,4682342.785
20160115,9.607,9.607,8.773,8.868,5668905.126
20160119,9.016,9.026,8.612,8.622,4149641.485
20160120,8.454,8.947,8.208,8.839,7658711.333
20160121,8.947,9.302,8.868,9.021,4335962.823
20160122,9.223,9.449,8.947,9.105,5658242.379
20160125,9.065,9.105,8.691,8.740,5236230.511
20160126,8.770,9.351,8.730,9.312,3812817.809
20160127,8.947,9.834,8.937,9.341,6926309.708
20160128,9.430,9.676,8.868,8.888,4859552.044
20160129,8.957,9.470,8.928,9.420,4899363.606
20160201,9.371,9.455,9.046,9.174,3777521.541
20160202,9.016,9.115,8.622,8.632,4387090.419
20160203,8.671,9.105,8.257,9.046,3589531.891
20160204,8.987,9.588,8.987,9.400,3147805.941
20160205,9.381,9.529,9.233,9.371,3111502.869
20160208,9.144,9.154,8.553,8.819,3326015.627
20160209,8.750,8.760,8.297,8.376,8974815.824
20160210,8.494,8.573,8.317,8.425,5009808.061
20160211,8.257,8.415,8.080,8.287,3441829.599
20160212,8.366,9.016,8.356,8.987,2784328.022
20160216,9.056,9.538,9.006,9.529,3175757.553
20160217,9.588,10.169,9.519,9.775,4247635.587
20160218,9.775,10.031,9.617,9.982,2813096.820
20160219,9.962,9.962,9.588,9.775,2553797.577
20160222,9.982,10.233,9.952,10.199,2435215.450
20160223,10.139,10.337,9.972,10.085,2424242.888
20160224,9.864,10.207,9.529,10.144,2627273.406
20160225,10.307,10.563,9.952,10.504,2871683.560
20160226,10.573,10.829,10.396,10.435,3135645.458
20160229,10.445,10.898,10.406,10.681,3766951.994
20160301,10.731,11.085,10.504,10.780,5116366.470
20160302,10.730,10.900,10.400,10.890,3581952.000
20160303,10.860,11.390,10.810,11.260,2934775.000
20160304,11.130,11.650,11.130,11.400,3492175.000
20160307,11.350,11.465,11.168,11.400,3577172.000
20160308,11.300,11.360,10.940,11.100,3056103.000
20160309,11.190,11.390,11.050,11.180,2643984.000
20160310,11.280,11.750,11.270,11.665,5249411.000
20160311,11.740,12.000,11.640,11.970,3001563.000
20160314,12.000,12.200,11.675,11.700,5340398.000
20160315,11.750,11.750,11.110,11.540,5332824.000
20160316,11.440,11.920,11.440,11.680,2915439.000
20160317,11.680,12.085,11.550,11.950,3395645.000
20160318,12.060,12.490,11.920,12.420,4813619.000
20160321,12.340,12.600,12.265,12.430,2286290.000
20160322,12.290,12.497,12.120,12.370,2759418.000
20160323,12.310,12.390,11.890,11.890,2422351.000
20160324,11.820,11.990,11.650,11.950,1826878.000
