Date,Open,High,Low,Close,Volume
20160104,32.610,33.540,32.400,33.510,3949144.850
20160105,33.430,33.870,32.960,33.650,3701953.930
20160106,32.710,32.710,31.520,31.700,5475085.803
20160107,31.180,32.665,30.631,30.890,5208114.559
20160108,31.120,31.380,30.381,30.810,3504493.594
20160111,30.830,30.980,28.681,28.971,5923710.310
20160112,29.441,29.551,27.322,28.601,6625642.980
20160113,29.111,29.641,27.761,27.941,6285435.020
20160114,28.331,29.221,27.561,29.051,6306138.135
20160115,27.641,28.311,26.742,27.631,6043056.787
20160119,27.881,27.991,25.207,25.822,6644189.993
20160120,25.262,26.132,23.763,25.702,7959681.499
20160121,26.122,28.701,25.792,28.391,7220108.690
20160122,29.451,30.211,28.131,29.011,6028764.030
20160125,28.201,29.336,27.232,27.271,4722250.502
20160126,27.941,28.821,27.162,28.741,5449394.320
20160127,28.441,30.425,28.181,29.841,10174793.980
20160128,31.400,31.560,29.851,30.950,5111801.630
20160129,31.170,32.620,31.150,32.350,6608530.090
20160201,31.740,32.120,30.935,31.630,4043130.764
20160202,30.950,31.260,29.941,30.671,3507110.298
20160203,31.400,32.250,29.951,32.240,5062546.500
20160204,32.510,33.040,31.265,31.400,5876068.000
20160205,30.710,30.940,28.600,29.260,8498699.000
20160208,28.580,28.640,27.220,28.350,7021300.000
20160209,27.740,28.470,27.000,27.870,6609118.000
20160210,27.880,28.940,27.440,28.090,5789564.000
20160211,27.590,28.180,26.700,27.910,5612679.000
20160212,28.600,29.320,28.280,28.720,4770318.000
20160216,29.380,29.590,28.260,28.640,5201219.000
20160217,29.410,31.125,29.410,30.450,7818307.000
20160218,30.920,30.920,28.360,29.170,6280956.000
20160219,28.830,29.860,28.370,29.850,5043975.000
20160222,30.770,31.990,30.750,31.620,4335068.000
20160223,31.220,31.370,29.770,29.900,3719209.000
20160224,29.040,30.050,28.750,29.840,3738909.000
20160225,29.710,30.570,29.070,30.260,2664754.000
20160226,31.050,31.090,29.590,29.720,6141001.000
20160229,29.800,29.950,28.810,29.490,4490703.000
20160301,29.490,29.700,27.850,29.160,5390299.000
20160302,29.130,31.070,28.940,31.050,3874529.000
20160303,30.890,31.940,30.510,31.860,6353795.000
20160304,32.330,33.570,31.880,32.440,6619392.000
20160307,32.380,33.040,31.400,32.710,6953445.000
20160308,32.150,32.230,30.600,30.740,4340549.000
20160309,31.350,32.390,30.460,32.050,3951014.000
20160310,31.780,32.130,31.010,31.990,3039402.000
20160311,32.710,33.870,32.650,33.540,3590025.000
20160314,32.790,33.550,32.580,33.220,2583908.000
20160315,32.570,32.790,31.920,32.480,4522681.000
20160316,32.750,33.950,32.680,33.770,3489220.000
20160317,34.270,34.420,33.050,34.050,3942872.000
20160318,34.480,34.990,33.800,34.470,4435411.000
20160321,34.200,35.040,33.680,34.150,3039049.000
20160322,33.810,34.530,33.650,33.750,2480870.000
20160323,33.330,33.460,32.270,32.560,2666360.000
20160324,31.880,32.380,31.200,32.330,3349989.000
