Date,Open,High,Low,Close,Volume
20160104,56.812,56.931,55.796,56.324,1220849.978
20160105,56.383,57.310,56.154,57.190,1165379.902
20160106,56.473,57.519,56.135,57.001,690085.204
20160107,56.154,57.659,56.055,56.872,2482191.637
20160108,57.250,57.290,55.507,55.606,1177002.505
20160111,56.314,57.370,55.905,57.081,1399349.587
20160112,57.669,57.748,57.053,57.360,1204247.720
20160113,57.539,57.699,55.248,55.537,1333399.433
20160114,55.876,57.768,55.581,57.270,1454894.949
20160115,55.617,57.051,55.617,56.274,1409835.671
20160119,56.991,57.918,56.822,57.250,1013652.672
20160120,56.274,56.752,55.059,56.095,1132608.521
20160121,56.135,57.071,55.527,55.587,1060349.274
20160122,56.443,57.709,55.706,57.519,921138.829
20160125,57.320,57.773,56.344,56.383,962461.044
20160126,56.872,58.396,56.872,58.316,1326101.481
20160127,58.515,59.731,57.748,58.097,1597230.417
20160128,57.758,59.621,56.035,58.665,1827535.941
20160129,59.223,62.121,58.730,61.743,2031175.961
20160201,61.663,61.873,60.159,61.504,1881521.391
20160202,60.767,62.291,60.518,62.062,1942995.646
20160203,62.301,62.530,60.169,61.364,1981782.005
20160204,61.494,61.972,58.465,59.631,2435099.659
20160205,60.050,60.428,58.306,59.173,1828330.300
20160208,58.426,60.348,57.609,59.990,1970957.550
20160209,59.741,61.967,59.666,61.265,1180008.856
20160210,61.693,62.341,60.348,60.647,886782.408
20160211,59.103,60.239,58.705,59.731,988952.395
20160212,61.265,61.305,59.850,61.075,696425.412
20160216,62.311,62.380,60.707,61.424,746930.715
20160217,61.653,62.978,61.574,62.719,936000.649
20160218,62.948,63.297,62.450,62.639,894159.746
20160219,62.291,62.918,61.992,62.689,807033.570
20160222,63.925,64.094,62.998,63.307,1089744.630
20160223,64.174,64.722,62.839,62.898,1166670.801
20160224,62.012,63.576,61.823,63.397,937156.072
20160225,63.636,64.283,63.118,64.273,1149042.654
20160226,64.542,64.891,63.566,63.616,728234.198
20160229,63.715,64.144,62.540,63.038,1043999.765
20160301,63.705,64.174,62.928,64.024,1068509.444
20160302,64.741,64.751,63.337,64.243,1763279.621
20160303,64.313,64.990,63.616,64.961,816173.321
20160304,65.001,65.240,63.835,64.692,1123008.796
20160307,64.522,64.652,63.715,63.994,706082.476
20160308,63.626,64.990,63.556,64.642,888139.586
20160309,65.160,65.698,64.622,65.120,716975.081
20160310,64.800,65.090,63.110,64.990,2278696.000
20160311,65.480,66.410,64.970,65.980,1038037.000
20160314,65.710,67.280,65.570,66.820,812615.000
20160315,66.570,67.620,66.570,67.040,1172624.000
20160316,66.440,66.950,66.170,66.600,1139335.000
20160317,66.520,67.010,65.770,65.840,1644000.000
20160318,65.870,66.100,63.890,64.510,3012214.000
20160321,64.250,64.500,63.680,64.240,2870498.000
20160322,64.100,65.460,63.740,65.420,1384498.000
20160323,64.620,66.360,64.480,65.640,1506680.000
20160324,65.350,65.650,63.800,64.010,1386746.000
